#Session,ID,Occassion,Detector,Sex
Flathead_2007,F_10739-c,1,1862107_518067_BS,M
Flathead_2007,F_10916a,2,1803213_574583_BS,F
Flathead_2007,F_10916a,3,1801910_570820_BS,F
Flathead_2007,F_10940,4,1805325_557079_BS,F
Flathead_2007,F_14795-2a,2,1815144_570668_BS,F
Flathead_2007,F_14795-30r,2,1815144_570668_BS,M
Flathead_2007,F_14808-6a,2,1840742_533258_BS,M
Flathead_2007,F_14837-21f,3,1822612_523675_BS,F
Flathead_2007,F_15003-9b,1,1834768_514873_BS,M
Flathead_2007,F_15003-9b,1,1846233_527667_BS,M
Flathead_2007,F_15007-15x,1,1849898_516858_BS,F
Flathead_2007,F_15038-3a,2,1818572_523045_BS,M
Flathead_2007,F_15039-1v,2,1820395_527055_BS,F
Flathead_2007,F_15039-1v,3,1822612_523675_BS,F
Flathead_2007,F_15042-2x,2,1796439_544621_BS,M
Flathead_2007,F_15050-18v,1,1849898_516858_BS,F
Flathead_2007,F_15050-18v,3,1848791_513418_BS,F
Flathead_2007,F_15050-29x,1,1849898_516858_BS,F
Flathead_2007,F_15050-29x,3,1848791_513418_BS,F
Flathead_2007,F_15050-30r,3,1848791_513418_BS,M
Flathead_2007,F_15051-16x,2,1842523_518129_BS,F
Flathead_2007,F_15051-16x,3,1842971_519711_BS,F
Flathead_2007,F_15051-16x,4,1846131_517488_BS,F
Flathead_2007,F_15052-8v,3,1829344_511609_BS,M
Flathead_2007,F_15055-6b,1,1831510_535223_BS,M
Flathead_2007,F_15055-6b,3,1821447_548952_BS,M
Flathead_2007,F_15070-17c,4,1846131_517488_BS,M
Flathead_2007,F_15078-6x,4,1839258_527003_BS,F
Flathead_2007,F_15120-9t,1,1821410_567852_BS,F
Flathead_2007,F_15124-9x,1,1831245_525932_BS,M
Flathead_2007,F_15138-10s,1,1805654_576874_BS,F
Flathead_2007,F_15147-13b,1,1862107_518067_BS,F
Flathead_2007,F_15147-13b,2,1862285_516440_BS,F
Flathead_2007,F_15147-13b,2,1864772_517399_BS,F
Flathead_2007,F_15166-8s,1,1839255_536825_BS,F
Flathead_2007,F_15166-8s,2,1836827_534323_BS,F
Flathead_2007,F_15169-2x,2,1807217_510761_BS,F
Flathead_2007,F_15174-11x,1,1814352_526407_BS,F
Flathead_2007,F_15174-11x,2,1810544_523649_BS,F
Flathead_2007,F_15174-11x,3,1817099_525481_BS,F
Flathead_2007,F_15174-15x,2,1810544_523649_BS,M
Flathead_2007,F_15174-15x,2,1826507_519829_BS,M
Flathead_2007,F_15175-4x,2,1834149_529828_BS,F
Flathead_2007,F_15175-6b,2,1834149_529828_BS,M
Flathead_2007,F_15175-6b,3,1836323_526587_BS,M
Flathead_2007,F_15177-21x,2,1815646_529705_BS,F
Flathead_2007,F_15178-8x,2,1817446_547150_BS,F
Flathead_2007,F_15181-8x,2,1813493_546042_BS,F
Flathead_2007,F_15181-8x,2,1817446_547150_BS,F
Flathead_2007,F_15183-4s,2,1818256_554973_BS,F
Flathead_2007,F_15202-7s,3,1859160_515787_BS,F
Flathead_2007,F_15205-4x,2,1858438_530136_BS,M
