#Session,ID,Occassion,Detector,Sex
HWY3_2005,H_10165b,1,1742552_507799_BS,F
HWY3_2005,H_10165b,3,1741699_509672_BS,F
HWY3_2005,H_10408,1,1697609_514665_BS,F
HWY3_2005,H_10408,2,1693473_518621_BS,F
HWY3_2005,H_10408,3,1693334_515598_BS,F
HWY3_2005,H_10408,4,1693334_515598_BS,F
HWY3_2005,H_10429,1,1693473_518621_BS,M
HWY3_2005,H_10429,4,1693473_518621_BS,M
HWY3_2005,H_10429,4,1695393_518563_BS,M
HWY3_2005,H_10521,3,1718462_512103_BS,F
HWY3_2005,H_10521,4,1718462_512103_BS,F
HWY3_2005,H_10535,3,1697609_514665_BS,F
HWY3_2005,H_10535,4,1693473_518621_BS,F
HWY3_2005,H_10535,4,1695393_518563_BS,F
HWY3_2005,H_10535,4,1697609_514665_BS,F
HWY3_2005,H_10554d,3,1712799_518288_BS,F
HWY3_2005,H_10554d,4,1712799_518288_BS,F
HWY3_2005,H_10554d2,3,1712799_518288_BS,F
HWY3_2005,H_10562,4,1695393_518563_BS,F
HWY3_2005,H_10569c1,4,1718462_512103_BS,F
HWY3_2005,H_10605n3,4,1712799_518288_BS,F
HWY3_2005,H_11,1,1693473_518621_BS,M
HWY3_2005,H_675,4,1734565_497927_BS,F
HWY3_2005,H_9114,1,1693473_518621_BS,F
HWY3_2005,H_9114,2,1693473_518621_BS,F
HWY3_2005,H_9114,4,1695393_518563_BS,F
HWY3_2005,H_9183,3,1739645_514069_BS,M
HWY3_2005,H_9190,1,1706938_514202_BS,M
HWY3_2005,H_9190,2,1700001_511430_BS,M
HWY3_2005,H_9195,4,1718462_512103_BS,F
HWY3_2005,H_9221,2,1708100_522588_BS,F
