#Session,ID,Occassion,Detector,Sex
Herrick_2000,H_6256-031D,1,1312282_1026347_BS,F
Herrick_2000,H_6256-031D,3,1321685_1029197_BS,F
Herrick_2000,H_6256-031D,4,1322061_1026118_BS,F
Herrick_2000,H_6258-010B,1,1310014_1044484_BS,F
Herrick_2000,H_6258-010B,1,1320014_1036797_BS,F
Herrick_2000,H_6258-030D,1,1310014_1044484_BS,M
Herrick_2000,H_6258-030D,1,1320014_1036797_BS,M
Herrick_2000,H_6264-012B,1,1328018_1020033_BS,F
Herrick_2000,H_6264-012B,3,1333821_1023115_BS,F
Herrick_2000,H_6265-040+041E,1,1340411_1012260_BS,M
Herrick_2000,H_6265-040+041E,4,1331781_1016030_BS,M
Herrick_2000,H_6267-002A,1,1351487_1020472_BS,F
Herrick_2000,H_6267-021C,1,1351487_1020472_BS,M
Herrick_2000,H_6269-040E,1,1342832_1028840_BS,M
Herrick_2000,H_6269-040E,1,1346823_1017091_BS,M
Herrick_2000,H_6270-001A,1,1341011_1035549_BS,M
Herrick_2000,H_6270-001A,2,1338633_1035510_BS,M
Herrick_2000,H_6270-060G,1,1341011_1035549_BS,M
Herrick_2000,H_6270-060G,2,1347374_1019468_BS,M
Herrick_2000,H_6271-001A,1,1345886_1039460_BS,F
Herrick_2000,H_6271-001A,2,1336800_1043061_BS,F
Herrick_2000,H_6271-001A,2,1342436_1038677_BS,F
Herrick_2000,H_6271-001A,3,1338184_1040015_BS,F
Herrick_2000,H_6271-012B,1,1345886_1039460_BS,M
Herrick_2000,H_6271-012B,3,1338686_1046072_BS,M
Herrick_2000,H_6271-012B,3,1338184_1040015_BS,M
Herrick_2000,H_6271-012B,4,1344045_1029776_BS,M
Herrick_2000,H_6272-001A,1,1336163_1048688_BS,M
Herrick_2000,H_6272-001A,3,1338686_1046072_BS,M
Herrick_2000,H_6272-006A,1,1336163_1048688_BS,F
Herrick_2000,H_6272-006A,3,1338686_1046072_BS,F
Herrick_2000,H_6272-015B+016B,1,1336163_1048688_BS,F
Herrick_2000,H_6273-021C,1,1338626_1054729_BS,M
Herrick_2000,H_6273-021C,2,1336800_1043061_BS,M
Herrick_2000,H_6273-021C,2,1347374_1019468_BS,M
Herrick_2000,H_6273-031D,1,1338626_1054729_BS,F
Herrick_2000,H_6273-031D,3,1340858_1056555_BS,F
Herrick_2000,H_6275-004A,1,1318322_1053811_BS,M
Herrick_2000,H_6275-004A,2,1328210_1056452_BS,M
Herrick_2000,H_6275-004A,4,1339706_1048942_BS,M
Herrick_2000,H_6275-007A,1,1318322_1053811_BS,F
Herrick_2000,H_6277-001A,1,1317187_1061168_BS,M
Herrick_2000,H_6278-001A,1,1310787_1054317_BS,F
Herrick_2000,H_6278-011B,1,1310787_1054317_BS,F
Herrick_2000,H_6280-005A,1,1284260_1052417_BS,M
Herrick_2000,H_6284-010B,1,1296940_1060521_BS,F
Herrick_2000,H_6284-010B,3,1298198_1064816_BS,F
Herrick_2000,H_6284-010B,4,1299888_1060779_BS,F
Herrick_2000,H_6284-010B,4,1304984_1069789_BS,F
Herrick_2000,H_6284-014B,1,1296940_1060521_BS,F
Herrick_2000,H_6284-014B,2,1295194_1063714_BS,F
Herrick_2000,H_6287-030D+031D,1,1293443_1088991_BS,F
Herrick_2000,H_6287-030D+031D,3,1302330_1076147_BS,F
Herrick_2000,H_6360-011B,2,1338954_1018025_BS,M
Herrick_2000,H_6362-030D,2,1347374_1019468_BS,F
Herrick_2000,H_6362-030D,4,1343018_1024473_BS,F
Herrick_2000,H_6362-030D,4,1347548_1018656_BS,F
Herrick_2000,H_6363-040E,2,1335871_1023116_BS,F
Herrick_2000,H_6368-002A,2,1342436_1038677_BS,M
Herrick_2000,H_6369-022C,2,1328210_1056452_BS,F
Herrick_2000,H_6369-022C,2,1336800_1043061_BS,F
