#Session,ID,Occassion,Detector,Sex
Jumbo_1998,J_4491,1,1672549_646853_BS,F
Jumbo_1998,J_4491,4,1660495_658326_BS,F
Jumbo_1998,J_4604,1,1679939_628529_BS,M
Jumbo_1998,J_4604a,1,1676160_627338_BS,M
Jumbo_1998,J_4607a,1,1675852_634462_BS,F
Jumbo_1998,J_4607a,2,1675852_634462_BS,F
Jumbo_1998,J_4607b,1,1675852_634462_BS,F
Jumbo_1998,J_4607c,1,1675852_634462_BS,F
Jumbo_1998,J_4607c,2,1675852_634462_BS,F
Jumbo_1998,J_4609,1,1685234_636775_BS,M
Jumbo_1998,J_4609,1,1668664_628395_BS,M
Jumbo_1998,J_4609,1,1690624_641906_BS,M
Jumbo_1998,J_4609,1,1671779_639489_BS,M
Jumbo_1998,J_4609,3,1677287_624052_BS,M
Jumbo_1998,J_4610,1,1677287_624052_BS,F
Jumbo_1998,J_4614,1,1679712_641313_BS,F
Jumbo_1998,J_4622,1,1659035_645323_BS,NA
Jumbo_1998,J_4622,1,1658044_645196_BS,NA
Jumbo_1998,J_4632,1,1660495_658326_BS,F
Jumbo_1998,J_4649,1,1658009_628140_BS,M
Jumbo_1998,J_4649,1,1666502_629531_BS,M
Jumbo_1998,J_4649,4,1660760_641306_BS,M
Jumbo_1998,J_4649,4,1658044_645196_BS,M
Jumbo_1998,J_4650,1,1661387_623024_BS,F
Jumbo_1998,J_4653,1,1651497_623877_BS,NA
Jumbo_1998,J_4653,2,1651497_623877_BS,NA
Jumbo_1998,J_4653,3,1651497_623877_BS,NA
Jumbo_1998,J_4661,1,1675852_634462_BS,M
Jumbo_1998,J_4661,2,1675852_634462_BS,M
Jumbo_1998,J_4664,2,1690624_641906_BS,M
Jumbo_1998,J_4664,3,1668664_628395_BS,M
Jumbo_1998,J_4664,3,1676160_627338_BS,M
Jumbo_1998,J_4664,3,1677287_624052_BS,M
Jumbo_1998,J_4664,3,1672675_630927_BS,M
Jumbo_1998,J_4675,2,1663135_635355_BS,F
Jumbo_1998,J_4694,2,1651378_626384_BS,F
Jumbo_1998,J_4694,2,1654810_631867_BS,F
Jumbo_1998,J_4694,3,1651378_626384_BS,F
Jumbo_1998,J_4701,2,1673306_627578_BS,F
Jumbo_1998,J_4713,3,1675852_634462_BS,M
Jumbo_1998,J_4715,3,1685234_636775_BS,F
Jumbo_1998,J_4715,4,1685234_636775_BS,F
Jumbo_1998,J_4716,3,1690624_641906_BS,F
Jumbo_1998,J_4717,3,1688279_646044_BS,M
Jumbo_1998,J_4717,3,1690624_641906_BS,M
Jumbo_1998,J_4717,3,1675852_634462_BS,M
Jumbo_1998,J_4717,4,1685234_636775_BS,M
Jumbo_1998,J_4749,3,1651378_626384_BS,F
Jumbo_1998,J_4749,4,1654810_631867_BS,F
Jumbo_1998,J_4768,3,1685234_636775_BS,M
Jumbo_1998,J_4768,3,1675852_634462_BS,M
Jumbo_1998,J_4768,4,1685234_636775_BS,M
Jumbo_1998,J_4776a,1,1674091_641904_BS,F
Jumbo_1998,J_4776a,1,1679712_641313_BS,F
Jumbo_1998,J_4776a,4,1670843_641286_BS,F
Jumbo_1998,J_4786,4,1666502_629531_BS,F
Jumbo_1998,J_4855,3,1660760_641306_BS,F
