#Session,ID,Occassion,Detector,Sex
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_ApexS248M,4,1591659_500923_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1001,3,1529032_583327_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1001,4,1532172_598381_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1016,2,1518982_555802_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1016,3,1525591_556628_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1016,3,1529478_558169_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1016,4,1525591_556628_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1016,4,1529478_558169_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1087,4,1543068_574000_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1105,4,1534927_542274_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1105,4,1534315_538973_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1107,4,1534927_542274_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1169,3,1528044_530849_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1169,4,1528044_530849_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1173,3,1529032_583327_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1173,3,1532172_598381_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1173,4,1533058_595148_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-118,1,1596741_493905_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-118,2,1591605_509960_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-118,4,1591659_500923_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-127,1,1564145_510426_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-127,2,1557340_524738_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-127,3,1580353_509876_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1306,4,1516602_590436_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1306,4,1515283_585536_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1329,2,1543068_574000_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1329,3,1542031_569141_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1329,4,1542031_569141_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1329,4,1543068_574000_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1330,1,1531549_571355_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1330,3,1536461_566747_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1334,2,1511795_564582_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1334,3,1515322_566867_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1334,3,1511795_564582_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-134,1,1546398_573542_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-134,3,1552116_568305_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-134,4,1546317_569825_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-135,1,1546385_560085_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-135,1,1546141_553979_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-135,2,1558849_532972_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-135,3,1529478_558169_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-136,1,1546385_560085_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-136,3,1546141_553979_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-136,3,1545483_550161_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1462,3,1540519_530930_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1462,3,1545455_545021_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1462,3,1542364_536389_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1462,4,1546141_553979_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1462,4,1545483_550161_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1465,1,1511795_564582_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1465,3,1515322_566867_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1466,3,1546398_573542_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-148,1,1537879_561542_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-148,4,1541407_575427_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-148,4,1543068_574000_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1509,4,1546398_573542_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1510,2,1552792_576874_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1510,3,1552116_568305_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1510,4,1546398_573542_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1510,4,1552792_576874_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1515,4,1542031_569141_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1516,1,1542031_569141_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1516,4,1542031_569141_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1558,4,1546317_569825_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-168,2,1528044_530849_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-168,3,1532749_532361_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-181,1,1546385_560085_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1818,3,1502996_561891_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1818,3,1509658_552120_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1818,4,1512202_578480_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1855,3,1545455_545021_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1855,3,1542364_536389_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1855,4,1546141_553979_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1881,4,1531092_521750_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1890,3,1577509_502544_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1892,3,1577509_502544_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1893,3,1590573_503474_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1893,3,1585676_505399_BS,M
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1935,1,1591605_509960_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-1935,4,1581888_498167_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-199,1,1537154_550656_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-199,2,1537879_561542_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-199,3,1537154_550656_BS,F
Kettle-Granby_Grizzly_Bear_Population_Unit_2015,KGBPU_GK15-199,4,1546317_569825_BS,F
