#Session,ID,Occassion,Detector,Sex
Kingcome_1997,K_1112,1,981230_680261_BS,M
Kingcome_1997,K_1133,1,982378_660484_BS,M
Kingcome_1997,K_1133,1,986157_654255_BS,M
Kingcome_1997,K_1133,3,986975_656671_BS,M
Kingcome_1997,K_1133,3,986157_654255_BS,M
Kingcome_1997,K_1170,2,961489_665500_BS,M
Kingcome_1997,K_1170,3,961489_665500_BS,M
Kingcome_1997,K_1172,2,961489_665500_BS,M
Kingcome_1997,K_1172,3,962562_669568_BS,M
Kingcome_1997,K_1172,5,961489_665500_BS,M
Kingcome_1997,K_118,1,991491_692620_BS,M
Kingcome_1997,K_129,1,989282_700507_BS,F
Kingcome_1997,K_129,2,984574_707574_BS,F
Kingcome_1997,K_129,4,989282_700507_BS,F
Kingcome_1997,K_1359,1,986687_661959_BS,M
Kingcome_1997,K_136,1,992875_669603_BS,M
Kingcome_1997,K_136,3,1003220_687609_BS,M
Kingcome_1997,K_136,4,987329_659232_BS,M
Kingcome_1997,K_1420,2,968443_701807_BS,NA
Kingcome_1997,K_1458,1,992875_669603_BS,M
Kingcome_1997,K_1458,4,987329_659232_BS,M
Kingcome_1997,K_1460,1,992875_669603_BS,M
Kingcome_1997,K_1460,4,987329_659232_BS,M
Kingcome_1997,K_1528,2,976544_668371_BS,NA
Kingcome_1997,K_154,1,1001555_671585_BS,M
Kingcome_1997,K_154,1,992875_669603_BS,M
Kingcome_1997,K_154,2,1000488_672337_BS,M
Kingcome_1997,K_154,3,992003_665066_BS,M
Kingcome_1997,K_1547,2,976544_668371_BS,M
Kingcome_1997,K_157,1,992875_669603_BS,F
Kingcome_1997,K_157,5,987329_659232_BS,F
Kingcome_1997,K_1641,3,968447_704625_BS,F
Kingcome_1997,K_1643,3,968447_704625_BS,F
Kingcome_1997,K_1658,3,995221_671878_BS,M
Kingcome_1997,K_1659,2,998546_693382_BS,M
Kingcome_1997,K_1659,3,985055_698175_BS,M
Kingcome_1997,K_1659,3,1003220_687609_BS,M
Kingcome_1997,K_1659,3,1003235_680063_BS,M
Kingcome_1997,K_1659,3,995221_671878_BS,M
Kingcome_1997,K_1659,4,987643_688538_BS,M
Kingcome_1997,K_1659,4,1002607_681421_BS,M
Kingcome_1997,K_1659,5,1003235_680063_BS,M
Kingcome_1997,K_1743,3,980141_680718_BS,M
Kingcome_1997,K_1743,3,973910_674111_BS,M
Kingcome_1997,K_1743,5,980747_676832_BS,M
Kingcome_1997,K_1746,3,980141_680718_BS,M
Kingcome_1997,K_1746,3,973910_674111_BS,M
Kingcome_1997,K_1798,4,964563_673703_BS,F
Kingcome_1997,K_1811,4,964563_673703_BS,M
Kingcome_1997,K_1811,4,963951_669466_BS,M
Kingcome_1997,K_1899,4,989064_682653_BS,F
Kingcome_1997,K_1914,5,957534_720062_BS,M
Kingcome_1997,K_1931,2,976544_668371_BS,F
Kingcome_1997,K_1931,3,976544_668371_BS,F
Kingcome_1997,K_1931,4,976544_668371_BS,F
Kingcome_1997,K_1931,5,976544_668371_BS,F
Kingcome_1997,K_2008,4,969037_711837_BS,M
Kingcome_1997,K_2008,5,970190_714804_BS,M
Kingcome_1997,K_2015,5,970190_714804_BS,M
Kingcome_1997,K_2047,5,970190_714804_BS,NA
Kingcome_1997,K_2086,5,970000_686883_BS,F
Kingcome_1997,K_2093,5,980651_702589_BS,F
Kingcome_1997,K_2094,5,980651_702589_BS,M
Kingcome_1997,K_2097,5,980651_702589_BS,F
Kingcome_1997,K_2104,5,980651_702589_BS,M
Kingcome_1997,K_2310,2,982378_660484_BS,M
Kingcome_1997,K_2310,5,962562_669568_BS,M
Kingcome_1997,K_2310,5,963951_669466_BS,M
Kingcome_1997,K_2441,1,989177_668894_BS,M
Kingcome_1997,K_2441,2,988795_674649_BS,M
Kingcome_1997,K_2441,2,985756_659457_BS,M
Kingcome_1997,K_2441,3,963509_693378_BS,M
Kingcome_1997,K_2441,3,969165_678241_BS,M
Kingcome_1997,K_2441,4,994358_663532_BS,M
Kingcome_1997,K_2481,3,963323_704217_BS,M
Kingcome_1997,K_2589,3,976544_668371_BS,NA
Kingcome_1997,K_2652,3,985055_698175_BS,M
Kingcome_1997,K_2674,3,985055_698175_BS,F
Kingcome_1997,K_2853,3,963691_673014_BS,M
Kingcome_1997,K_2853,4,962562_669568_BS,M
Kingcome_1997,K_2866,4,983924_671809_BS,M
Kingcome_1997,K_2971,4,991491_692620_BS,F
Kingcome_1997,K_3143,5,1003220_687609_BS,M
Kingcome_1997,K_3188,5,998546_693382_BS,NA
Kingcome_1997,K_3193,5,998546_693382_BS,NA
Kingcome_1997,K_394,2,987124_699242_BS,M
Kingcome_1997,K_394,3,985055_698175_BS,M
Kingcome_1997,K_429,1,963509_693378_BS,M
Kingcome_1997,K_429,2,980141_680718_BS,M
Kingcome_1997,K_429,2,971594_676093_BS,M
Kingcome_1997,K_429,2,983067_671494_BS,M
Kingcome_1997,K_429,3,963323_704217_BS,M
Kingcome_1997,K_429,4,970190_714804_BS,M
Kingcome_1997,K_429,4,969037_711837_BS,M
Kingcome_1997,K_429,5,975047_708305_BS,M
Kingcome_1997,K_467,1,982026_706489_BS,M
Kingcome_1997,K_467,1,989282_700507_BS,M
Kingcome_1997,K_467,1,985055_698175_BS,M
Kingcome_1997,K_467,2,987124_699242_BS,M
Kingcome_1997,K_467,2,984168_693941_BS,M
Kingcome_1997,K_467,2,986632_687526_BS,M
Kingcome_1997,K_467,2,991294_668346_BS,M
Kingcome_1997,K_467,4,987329_659232_BS,M
Kingcome_1997,K_507,1,981230_680261_BS,M
Kingcome_1997,K_507,1,975241_672149_BS,M
Kingcome_1997,K_507,5,972445_697400_BS,M
Kingcome_1997,K_585,1,984558_699937_BS,M
Kingcome_1997,K_585,1,985055_698175_BS,M
Kingcome_1997,K_585,3,982806_704581_BS,M
Kingcome_1997,K_585,3,985055_698175_BS,M
Kingcome_1997,K_585,4,980651_702589_BS,M
Kingcome_1997,K_585,5,980651_702589_BS,M
Kingcome_1997,K_648,1,972553_688296_BS,M
Kingcome_1997,K_648,3,968447_704625_BS,M
Kingcome_1997,K_648,3,975283_706085_BS,M
Kingcome_1997,K_671,2,966557_682141_BS,F
Kingcome_1997,K_716,2,963323_704217_BS,F
Kingcome_1997,K_716,3,963323_704217_BS,F
Kingcome_1997,K_716,5,963323_704217_BS,F
Kingcome_1997,K_729,2,963323_704217_BS,M
Kingcome_1997,K_729,4,963323_704217_BS,M
Kingcome_1997,K_769,1,998546_693382_BS,M
Kingcome_1997,K_769,2,984168_693941_BS,M
Kingcome_1997,K_769,2,991491_692620_BS,M
Kingcome_1997,K_769,3,991491_692620_BS,M
Kingcome_1997,K_769,3,998546_693382_BS,M
Kingcome_1997,K_769,4,991491_692620_BS,M
Kingcome_1997,K_769,4,987643_688538_BS,M
Kingcome_1997,K_769,5,984168_693941_BS,M
Kingcome_1997,K_769,5,991491_692620_BS,M
Kingcome_1997,K_769,5,989839_691212_BS,M
Kingcome_1997,K_866,1,989282_700507_BS,M
Kingcome_1997,K_933,2,1000488_672337_BS,M
Kingcome_1997,K_936,2,975128_681469_BS,F
Kingcome_1997,K_936,2,980141_680718_BS,F
Kingcome_1997,K_936,5,970000_686883_BS,F
Kingcome_1997,K_936,5,972553_688296_BS,F
Kingcome_1997,K_940,2,975128_681469_BS,F
Kingcome_1997,K_940,2,980141_680718_BS,F
Kingcome_1997,K_96,1,970190_714804_BS,M
Kingcome_1997,K_975,2,975128_681469_BS,F
Kingcome_1997,K_975,2,980141_680718_BS,F
Kingcome_1997,K_975,5,970000_686883_BS,F
Kingcome_1997,K_995,2,1007214_671553_BS,M
Kingcome_1997,K_995,4,1007214_671553_BS,M
Kingcome_1997,K_995,5,1007214_671553_BS,M
