#Session,ID,Occassion,Detector,Sex
Lower_Stikine_River_2005,LSR_1022,1,664131_1380364_RT,M
Lower_Stikine_River_2005,LSR_1022,2,674482_1373014_RT,M
Lower_Stikine_River_2005,LSR_1022,2,652310_1381188_RT,M
Lower_Stikine_River_2005,LSR_1022,3,674482_1373014_RT,M
Lower_Stikine_River_2005,LSR_1022,3,664131_1380364_RT,M
Lower_Stikine_River_2005,LSR_1022,3,652310_1381188_RT,M
Lower_Stikine_River_2005,LSR_1107,2,663910_1351404_BS,F
Lower_Stikine_River_2005,LSR_1107,3,663166_1347717_BS,F
Lower_Stikine_River_2005,LSR_1194,2,663972_1392578_BS,F
Lower_Stikine_River_2005,LSR_1203,1,664131_1380364_RT,F
Lower_Stikine_River_2005,LSR_1203,1,655007_1382655_RT,F
Lower_Stikine_River_2005,LSR_1203,1,652310_1381188_RT,F
Lower_Stikine_River_2005,LSR_1203,2,649087_1382122_BS,F
Lower_Stikine_River_2005,LSR_1203,2,652392_1381198_RT,F
Lower_Stikine_River_2005,LSR_1203,3,649087_1382122_BS,F
Lower_Stikine_River_2005,LSR_1203,3,652392_1381198_RT,F
Lower_Stikine_River_2005,LSR_128,2,688681_1353281_BS,F
Lower_Stikine_River_2005,LSR_128,3,688681_1353281_BS,F
Lower_Stikine_River_2005,LSR_1312,1,652310_1381188_RT,F
Lower_Stikine_River_2005,LSR_1312,1,654447_1368249_RT,F
Lower_Stikine_River_2005,LSR_1312,2,649087_1382122_BS,F
Lower_Stikine_River_2005,LSR_1312,2,654305_1382023_RT,F
Lower_Stikine_River_2005,LSR_1312,2,652310_1381188_RT,F
Lower_Stikine_River_2005,LSR_1312,3,652310_1381188_RT,F
Lower_Stikine_River_2005,LSR_1312,4,654305_1382023_RT,F
Lower_Stikine_River_2005,LSR_1356,1,670800_1373470_RT,M
Lower_Stikine_River_2005,LSR_1356,1,652310_1381188_RT,M
Lower_Stikine_River_2005,LSR_1356,2,649087_1382122_BS,M
Lower_Stikine_River_2005,LSR_1356,2,647441_1375903_RT,M
Lower_Stikine_River_2005,LSR_1356,2,670800_1373470_RT,M
Lower_Stikine_River_2005,LSR_1356,3,647441_1375903_RT,M
Lower_Stikine_River_2005,LSR_1356,3,655007_1382655_RT,M
Lower_Stikine_River_2005,LSR_1356,3,652310_1381188_RT,M
Lower_Stikine_River_2005,LSR_1356,4,652392_1381198_RT,M
Lower_Stikine_River_2005,LSR_1356,4,652310_1381188_RT,M
Lower_Stikine_River_2005,LSR_136,1,676536_1359943_BS,F
Lower_Stikine_River_2005,LSR_1398,3,698030_1311314_RT,M
Lower_Stikine_River_2005,LSR_1407,2,647441_1375903_RT,F
Lower_Stikine_River_2005,LSR_1407,4,654447_1368249_RT,F
Lower_Stikine_River_2005,LSR_1411,2,654447_1368249_RT,M
Lower_Stikine_River_2005,LSR_1444,1,684910_1352230_BS,M
Lower_Stikine_River_2005,LSR_1453,1,658228_1350393_RT,M
Lower_Stikine_River_2005,LSR_1453,1,657834_1350385_RT,M
Lower_Stikine_River_2005,LSR_1453,2,657834_1350385_RT,M
Lower_Stikine_River_2005,LSR_1453,2,658163_1351952_RT,M
Lower_Stikine_River_2005,LSR_1453,4,657834_1350385_RT,M
Lower_Stikine_River_2005,LSR_1453,4,658163_1351952_RT,M
Lower_Stikine_River_2005,LSR_1476,3,652617_1348087_RT,M
Lower_Stikine_River_2005,LSR_1535,2,698030_1311314_RT,M
Lower_Stikine_River_2005,LSR_1535,3,698030_1311314_RT,M
Lower_Stikine_River_2005,LSR_1552,4,694339_1311294_RT,M
Lower_Stikine_River_2005,LSR_1595,3,654447_1368249_RT,F
Lower_Stikine_River_2005,LSR_1595,4,647441_1375903_RT,F
Lower_Stikine_River_2005,LSR_1674,4,678722_1352580_BS,F
Lower_Stikine_River_2005,LSR_1788,2,649161_1371381_BS,M
Lower_Stikine_River_2005,LSR_1794,4,647441_1375903_RT,F
Lower_Stikine_River_2005,LSR_1798,1,652310_1381188_RT,M
Lower_Stikine_River_2005,LSR_1798,2,647441_1375903_RT,M
Lower_Stikine_River_2005,LSR_1806,1,654447_1368249_RT,F
Lower_Stikine_River_2005,LSR_1806,2,640974_1377904_RT,F
Lower_Stikine_River_2005,LSR_1806,3,647441_1375903_RT,F
Lower_Stikine_River_2005,LSR_1835,2,652310_1381188_RT,F
Lower_Stikine_River_2005,LSR_1835,3,664131_1380364_RT,F
Lower_Stikine_River_2005,LSR_1835,3,652310_1381188_RT,F
Lower_Stikine_River_2005,LSR_1835,4,652310_1381188_RT,F
Lower_Stikine_River_2005,LSR_1838,1,678722_1352580_BS,M
Lower_Stikine_River_2005,LSR_1838,2,678722_1352580_BS,M
Lower_Stikine_River_2005,LSR_1863,1,684910_1352230_BS,M
Lower_Stikine_River_2005,LSR_1885,3,698030_1311314_RT,M
Lower_Stikine_River_2005,LSR_198,1,672863_1343299_BS,M
Lower_Stikine_River_2005,LSR_198,3,649087_1382122_BS,M
Lower_Stikine_River_2005,LSR_2037,4,698030_1311314_RT,M
Lower_Stikine_River_2005,LSR_2273,2,694339_1311294_RT,F
Lower_Stikine_River_2005,LSR_2273,2,698030_1311314_RT,F
Lower_Stikine_River_2005,LSR_2273,3,694339_1311294_RT,F
Lower_Stikine_River_2005,LSR_2273,4,694339_1311294_RT,F
Lower_Stikine_River_2005,LSR_2274,2,694339_1311294_RT,F
Lower_Stikine_River_2005,LSR_2274,2,698030_1311314_RT,F
Lower_Stikine_River_2005,LSR_2274,3,694339_1311294_RT,F
Lower_Stikine_River_2005,LSR_2278,3,658228_1350393_RT,M
Lower_Stikine_River_2005,LSR_2278,3,657400_1350836_RT,M
Lower_Stikine_River_2005,LSR_2349,1,735707_1357230_BS,M
Lower_Stikine_River_2005,LSR_2349,3,735707_1357230_BS,M
Lower_Stikine_River_2005,LSR_2402,1,747242_1347491_BS,M
Lower_Stikine_River_2005,LSR_2432,1,720342_1356164_BS,M
Lower_Stikine_River_2005,LSR_2452,1,678722_1352580_BS,F
Lower_Stikine_River_2005,LSR_2452,2,678722_1352580_BS,F
Lower_Stikine_River_2005,LSR_2557,1,649087_1382122_BS,F
Lower_Stikine_River_2005,LSR_2557,1,640974_1377904_RT,F
Lower_Stikine_River_2005,LSR_2557,2,640974_1377904_RT,F
Lower_Stikine_River_2005,LSR_2557,4,647441_1375903_RT,F
Lower_Stikine_River_2005,LSR_2614,1,656700_1360323_BS,M
Lower_Stikine_River_2005,LSR_2621,1,656336_1396293_BS,M
Lower_Stikine_River_2005,LSR_2621,1,663972_1392578_BS,M
Lower_Stikine_River_2005,LSR_2621,1,674482_1373014_RT,M
Lower_Stikine_River_2005,LSR_2621,1,664131_1380364_RT,M
Lower_Stikine_River_2005,LSR_2621,2,656336_1396293_BS,M
Lower_Stikine_River_2005,LSR_2621,2,652392_1381198_RT,M
Lower_Stikine_River_2005,LSR_2621,2,664131_1380364_RT,M
Lower_Stikine_River_2005,LSR_2621,2,659798_1383373_RT,M
Lower_Stikine_River_2005,LSR_2621,3,664131_1380364_RT,M
Lower_Stikine_River_2005,LSR_2621,4,664131_1380364_RT,M
Lower_Stikine_River_2005,LSR_2671,1,664131_1380364_RT,F
Lower_Stikine_River_2005,LSR_2671,2,649087_1382122_BS,F
Lower_Stikine_River_2005,LSR_2671,2,652392_1381198_RT,F
Lower_Stikine_River_2005,LSR_2671,3,649087_1382122_BS,F
Lower_Stikine_River_2005,LSR_2683,2,694339_1311294_RT,M
Lower_Stikine_River_2005,LSR_2683,2,698030_1311314_RT,M
Lower_Stikine_River_2005,LSR_2683,3,694339_1311294_RT,M
Lower_Stikine_River_2005,LSR_2691,2,694339_1311294_RT,F
Lower_Stikine_River_2005,LSR_2691,2,698030_1311314_RT,F
Lower_Stikine_River_2005,LSR_2691,3,694339_1311294_RT,F
Lower_Stikine_River_2005,LSR_2691,4,698030_1311314_RT,F
Lower_Stikine_River_2005,LSR_2728,1,664131_1380364_RT,M
Lower_Stikine_River_2005,LSR_2728,1,652310_1381188_RT,M
Lower_Stikine_River_2005,LSR_2728,2,649087_1382122_BS,M
Lower_Stikine_River_2005,LSR_2728,2,652392_1381198_RT,M
Lower_Stikine_River_2005,LSR_2728,3,665257_1379625_RT,M
Lower_Stikine_River_2005,LSR_2738,2,694339_1311294_RT,F
Lower_Stikine_River_2005,LSR_2738,2,698030_1311314_RT,F
Lower_Stikine_River_2005,LSR_2738,3,694339_1311294_RT,F
Lower_Stikine_River_2005,LSR_2738,3,698030_1311314_RT,F
Lower_Stikine_River_2005,LSR_2738,4,694339_1311294_RT,F
Lower_Stikine_River_2005,LSR_2871,2,747242_1347491_BS,F
Lower_Stikine_River_2005,LSR_2887,2,702256_1360270_BS,M
Lower_Stikine_River_2005,LSR_2888,2,694165_1354619_BS,F
Lower_Stikine_River_2005,LSR_2888,4,694165_1354619_BS,F
Lower_Stikine_River_2005,LSR_2893,2,736528_1326286_BS,F
Lower_Stikine_River_2005,LSR_2903,2,688681_1353281_BS,M
Lower_Stikine_River_2005,LSR_2903,3,688681_1353281_BS,M
Lower_Stikine_River_2005,LSR_2944,2,663972_1392578_BS,F
Lower_Stikine_River_2005,LSR_2956,3,718718_1340242_BS,M
Lower_Stikine_River_2005,LSR_2970,2,688681_1353281_BS,F
Lower_Stikine_River_2005,LSR_2970,2,694165_1354619_BS,F
Lower_Stikine_River_2005,LSR_2970,4,694165_1354619_BS,F
Lower_Stikine_River_2005,LSR_2971,2,684910_1352230_BS,F
Lower_Stikine_River_2005,LSR_2977,1,688681_1353281_BS,M
Lower_Stikine_River_2005,LSR_2977,2,678722_1352580_BS,M
Lower_Stikine_River_2005,LSR_2977,2,663910_1351404_BS,M
Lower_Stikine_River_2005,LSR_2988,1,660183_1350767_RT,F
Lower_Stikine_River_2005,LSR_2988,2,663910_1351404_BS,F
Lower_Stikine_River_2005,LSR_2988,2,657834_1350385_RT,F
Lower_Stikine_River_2005,LSR_2988,2,658163_1351952_RT,F
Lower_Stikine_River_2005,LSR_2988,2,660183_1350767_RT,F
