#Session,ID,Occassion,Detector,Sex
PWC_2002,P_10001,1,1684038_625886_BS,F
PWC_2002,P_10001,2,1684463_622402_BS,F
PWC_2002,P_10002,1,1684463_622402_BS,F
PWC_2002,P_10002,2,1684463_622402_BS,F
PWC_2002,P_10002,4,1684463_622402_BS,F
PWC_2002,P_10003,1,1689124_615567_BS,F
PWC_2002,P_10003,1,1678307_615363_BS,F
PWC_2002,P_10003,2,1689615_612282_BS,F
PWC_2002,P_10003,2,1678307_615363_BS,F
PWC_2002,P_10003,4,1689124_615567_BS,F
PWC_2002,P_10003,4,1678307_615363_BS,F
PWC_2002,P_10003,4,1684463_622402_BS,F
PWC_2002,P_10003b,1,1678307_615363_BS,F
PWC_2002,P_10003c,1,1678307_615363_BS,F
PWC_2002,P_10003c,4,1678307_615363_BS,F
PWC_2002,P_10004,1,1675132_611926_BS,M
PWC_2002,P_10004,4,1675132_611926_BS,M
PWC_2002,P_10004a,1,1675132_611926_BS,M
PWC_2002,P_10004a,4,1678307_615363_BS,M
PWC_2002,P_10005,1,1673035_616086_BS,M
PWC_2002,P_10005,2,1673035_616086_BS,M
PWC_2002,P_10005,3,1673035_616086_BS,M
PWC_2002,P_10005a,1,1673035_616086_BS,F
PWC_2002,P_10005b,1,1673035_616086_BS,F
PWC_2002,P_10007,1,1675533_596073_BS,M
PWC_2002,P_10007,2,1679442_600027_BS,M
PWC_2002,P_10010a,1,1678307_615363_BS,M
PWC_2002,P_10010a,1,1688284_598866_BS,M
PWC_2002,P_10010a,2,1681908_588870_BS,M
PWC_2002,P_10010a,3,1675533_596073_BS,M
PWC_2002,P_10010a,4,1687809_605138_BS,M
PWC_2002,P_10010a,4,1688284_598866_BS,M
PWC_2002,P_10014,1,1695975_623972_BS,F
PWC_2002,P_10014,1,1693367_619486_BS,F
PWC_2002,P_10014,2,1695975_623972_BS,F
PWC_2002,P_10014,3,1695975_623972_BS,F
PWC_2002,P_10014a,2,1695975_623972_BS,M
PWC_2002,P_10014a,2,1689615_612282_BS,M
PWC_2002,P_10014a,3,1695975_623972_BS,M
PWC_2002,P_10016,2,1689124_615567_BS,F
PWC_2002,P_10016,3,1685429_610171_BS,F
PWC_2002,P_10016,3,1689124_615567_BS,F
PWC_2002,P_10021,2,1687387_628743_BS,M
PWC_2002,P_10021,3,1695975_623972_BS,M
PWC_2002,P_10021,3,1684463_622402_BS,M
PWC_2002,P_10021,4,1695975_623972_BS,M
PWC_2002,P_10021a,2,1687387_628743_BS,F
PWC_2002,P_10024,2,1678307_615363_BS,F
PWC_2002,P_10024a,2,1678307_615363_BS,F
PWC_2002,P_10025,2,1665166_613209_BS,M
PWC_2002,P_10025,2,1675132_611926_BS,M
PWC_2002,P_10025,3,1665166_613209_BS,M
PWC_2002,P_10025,4,1693957_589014_BS,M
PWC_2002,P_10026,2,1673035_616086_BS,F
PWC_2002,P_10026a,2,1673035_616086_BS,M
PWC_2002,P_10032,4,1687809_605138_BS,M
PWC_2002,P_10032,4,1679010_592775_BS,M
PWC_2002,P_10036,3,1685429_610171_BS,F
PWC_2002,P_10036,3,1689615_612282_BS,F
PWC_2002,P_10036,4,1689615_612282_BS,F
PWC_2002,P_10058,4,1689615_612282_BS,M
PWC_2002,P_10058a,4,1689615_612282_BS,M
PWC_2002,P_10956a,1,1693957_589014_BS,M
PWC_2002,P_10956b,1,1693957_589014_BS,F
PWC_2002,P_10960,1,1693367_619486_BS,M
PWC_2002,P_10960,1,1687387_628743_BS,M
PWC_2002,P_10960,1,1678307_615363_BS,M
PWC_2002,P_10960,1,1684463_622402_BS,M
PWC_2002,P_10960,2,1685429_610171_BS,M
PWC_2002,P_10960,2,1689615_612282_BS,M
PWC_2002,P_10960,2,1684463_622402_BS,M
PWC_2002,P_10960,3,1673035_616086_BS,M
PWC_2002,P_10960,4,1673035_616086_BS,M
PWC_2002,P_10960,4,1678307_615363_BS,M
PWC_2002,P_4604,1,1689124_615567_BS,M
PWC_2002,P_4604,3,1681908_588870_BS,M
PWC_2002,P_4604,3,1688284_598866_BS,M
PWC_2002,P_4604,4,1687809_605138_BS,M
PWC_2002,P_4604,4,1686988_602061_BS,M
PWC_2002,P_4604,4,1685429_610171_BS,M
PWC_2002,P_4604a,2,1673035_616086_BS,M
PWC_2002,P_4604a,2,1678307_615363_BS,M
PWC_2002,P_4609,4,1684038_625886_BS,M
PWC_2002,P_4609,4,1684463_622402_BS,M
PWC_2002,P_4701,1,1678307_615363_BS,F
PWC_2002,P_4715,2,1686502_630827_BS,F
PWC_2002,P_4715,2,1687387_628743_BS,F
PWC_2002,P_4715,4,1686502_630827_BS,F
PWC_2002,P_4715,4,1687387_628743_BS,F
PWC_2002,P_4768,2,1681908_588870_BS,M
PWC_2002,P_4806,3,1688284_598866_BS,M
PWC_2002,P_4820,1,1693957_589014_BS,M
PWC_2002,P_4861,1,1681908_588870_BS,F
PWC_2002,P_4861,2,1684010_591614_BS,F
PWC_2002,P_4861,3,1679010_592775_BS,F
