#Session,ID,Occassion,Detector,Sex
Parsnip_2000,P_6413-001A+002,4,1300123_1089226_BS,M
Parsnip_2000,P_6501-001,1,1298005_1092780_BS,M
Parsnip_2000,P_6504-001,1,1276450_1116701_BS,M
Parsnip_2000,P_6505-001,1,1271821_1114904_BS,M
Parsnip_2000,P_6505-010,1,1271821_1114904_BS,M
Parsnip_2000,P_6506-002,1,1272945_1093582_BS,M
Parsnip_2000,P_6506-002,3,1258281_1105514_BS,M
Parsnip_2000,P_6506-011,1,1279938_1098740_BS,M
Parsnip_2000,P_6506-011,1,1272945_1093582_BS,M
Parsnip_2000,P_6506-011,1,1291451_1085423_BS,M
Parsnip_2000,P_6506-011,2,1287586_1101023_BS,M
Parsnip_2000,P_6507-033,1,1279938_1098740_BS,F
Parsnip_2000,P_6508-001,1,1269237_1099192_BS,F
Parsnip_2000,P_6508-001,2,1267738_1102106_BS,F
Parsnip_2000,P_6509-001,1,1258041_1101531_BS,F
Parsnip_2000,P_6509-001,1,1262087_1099384_BS,F
Parsnip_2000,P_6509-005,1,1255654_1107950_BS,M
Parsnip_2000,P_6509-005,1,1262087_1099384_BS,M
Parsnip_2000,P_6509-005,1,1253741_1111334_BS,M
Parsnip_2000,P_6509-005,2,1261870_1107867_BS,M
Parsnip_2000,P_6509-052,1,1262087_1099384_BS,F
Parsnip_2000,P_6512-003,1,1255654_1107950_BS,F
Parsnip_2000,P_6514-001,1,1238871_1131785_BS,F
Parsnip_2000,P_6514-001,3,1235868_1131257_BS,F
Parsnip_2000,P_6514-012,1,1238871_1131785_BS,M
Parsnip_2000,P_6514-012,1,1244190_1115758_BS,M
Parsnip_2000,P_6514-012,3,1248471_1123113_BS,M
Parsnip_2000,P_6522-010,1,1291451_1085423_BS,M
Parsnip_2000,P_6522-052,1,1291451_1085423_BS,M
Parsnip_2000,P_6522-052,2,1284743_1082700_BS,M
Parsnip_2000,P_6523-033,1,1278565_1084196_BS,M
Parsnip_2000,P_6523-033,4,1282013_1090159_BS,M
Parsnip_2000,P_6524-008,1,1271372_1078139_BS,M
Parsnip_2000,P_6524-008,2,1238419_1069842_BS,M
Parsnip_2000,P_6524-008,4,1265487_1078874_BS,M
Parsnip_2000,P_6532-001,1,1275444_1064964_BS,M
Parsnip_2000,P_6534-002,1,1225992_1108590_BS,F
Parsnip_2000,P_6534-002,2,1235230_1110267_BS,F
Parsnip_2000,P_6538-001,1,1258041_1101531_BS,F
Parsnip_2000,P_6538-015,1,1258041_1101531_BS,F
Parsnip_2000,P_6538-015,4,1256748_1103154_BS,F
Parsnip_2000,P_6543-001,1,1254451_1082794_BS,F
Parsnip_2000,P_6543-001,4,1254883_1086029_BS,F
Parsnip_2000,P_6543-040,1,1254451_1082794_BS,F
Parsnip_2000,P_6547-050,1,1234707_1089417_BS,M
Parsnip_2000,P_6550-001,2,1294285_1089682_BS,F
Parsnip_2000,P_6551-040,2,1287586_1101023_BS,F
Parsnip_2000,P_6551-040,2,1282769_1096169_BS,F
Parsnip_2000,P_6551-040,2,1285644_1093648_BS,F
Parsnip_2000,P_6551-040,3,1285749_1098983_BS,F
Parsnip_2000,P_6553-000,2,1278783_1105946_BS,F
Parsnip_2000,P_6553-007,2,1278783_1105946_BS,M
Parsnip_2000,P_6553-020,2,1278783_1105946_BS,F
Parsnip_2000,P_6553-020,3,1275791_1103586_BS,F
Parsnip_2000,P_6553-020,4,1273581_1107611_BS,F
Parsnip_2000,P_6555-001,2,1284427_1109407_BS,M
Parsnip_2000,P_6555-013,2,1284427_1109407_BS,F
Parsnip_2000,P_6555-020,2,1284427_1109407_BS,F
Parsnip_2000,P_6555-052,2,1284427_1109407_BS,F
Parsnip_2000,P_6557-010,2,1262474_1115733_BS,F
Parsnip_2000,P_6557-010,4,1263054_1117360_BS,F
Parsnip_2000,P_6558-010,2,1261870_1107867_BS,F
Parsnip_2000,P_6558-010,4,1264242_1106208_BS,F
Parsnip_2000,P_6561-001,2,1275146_1099365_BS,F
Parsnip_2000,P_6561-008,2,1275146_1099365_BS,F
Parsnip_2000,P_6563-001,2,1280663_1082022_BS,M
Parsnip_2000,P_6563-001,2,1266087_1068737_BS,M
Parsnip_2000,P_6564-020,2,1284743_1082700_BS,F
Parsnip_2000,P_6564-020,3,1281728_1074838_BS,F
Parsnip_2000,P_6565-030,2,1254505_1117625_BS,M
Parsnip_2000,P_6565-030,4,1257724_1119097_BS,M
Parsnip_2000,P_6565-210,2,1254505_1117625_BS,M
Parsnip_2000,P_6566-003,1,1253741_1111334_BS,F
Parsnip_2000,P_6566-003,2,1248981_1111567_BS,F
Parsnip_2000,P_6567-001,2,1248058_1125508_BS,F
Parsnip_2000,P_6567-001,3,1248471_1123113_BS,F
Parsnip_2000,P_6573-033,2,1235230_1110267_BS,M
Parsnip_2000,P_6573-060,2,1235230_1110267_BS,F
Parsnip_2000,P_6576-080,2,1240319_1098592_BS,M
Parsnip_2000,P_6576-080,3,1248116_1114348_BS,M
Parsnip_2000,P_6581-010,2,1229392_1058357_BS,M
Parsnip_2000,P_6591-001,2,1256146_1085068_BS,F
Parsnip_2000,P_6594-002,3,1297631_1094392_BS,F
Parsnip_2000,P_6594-009,3,1297631_1094392_BS,F
Parsnip_2000,P_6594-054,3,1297631_1094392_BS,F
Parsnip_2000,P_6597-011,3,1275791_1103586_BS,F
Parsnip_2000,P_6597-017,3,1275791_1103586_BS,M
Parsnip_2000,P_6598-001,3,1281226_1093458_BS,M
Parsnip_2000,P_6599-001,3,1267036_1097113_BS,M
Parsnip_2000,P_6603-001,3,1231544_1117656_BS,F
Parsnip_2000,P_6604-001,3,1288123_1080681_BS,M
Parsnip_2000,P_6604-010,3,1288123_1080681_BS,F
Parsnip_2000,P_6607-013,3,1271984_1107658_BS,F
Parsnip_2000,P_6607-070,3,1271984_1107658_BS,F
Parsnip_2000,P_6608-001,3,1273577_1115569_BS,M
Parsnip_2000,P_6608-010,3,1273577_1115569_BS,F
Parsnip_2000,P_6609-022,3,1264677_1114731_BS,F
Parsnip_2000,P_6609-030,3,1264677_1114731_BS,F
Parsnip_2000,P_6609-070,3,1264677_1114731_BS,F
Parsnip_2000,P_6610-001,3,1255140_1116728_BS,F
Parsnip_2000,P_6610-052,3,1255140_1116728_BS,F
Parsnip_2000,P_6612-010,3,1258281_1105514_BS,F
Parsnip_2000,P_6612-050,3,1258281_1105514_BS,NA
Parsnip_2000,P_6613-001,3,1274468_1085932_BS,M
Parsnip_2000,P_6614-041,3,1281728_1074838_BS,M
Parsnip_2000,P_6614-054,3,1281728_1074838_BS,F
Parsnip_2000,P_6616-010,3,1262268_1095167_BS,F
Parsnip_2000,P_6625-001,3,1245070_1095852_BS,F
Parsnip_2000,P_6628-003,4,1282013_1090159_BS,F
Parsnip_2000,P_6629-001,4,1268210_1096574_BS,F
Parsnip_2000,P_6629-010,4,1268210_1096574_BS,F
Parsnip_2000,P_6630-001,4,1294045_1098134_BS,F
Parsnip_2000,P_6631-010,4,1277516_1108638_BS,F
Parsnip_2000,P_6631-051,4,1277516_1108638_BS,F
Parsnip_2000,P_6632-004,3,1271984_1107658_BS,M
Parsnip_2000,P_6632-004,4,1273581_1107611_BS,M
Parsnip_2000,P_6633-025,4,1264242_1106208_BS,M
Parsnip_2000,P_6633-025,4,1263054_1117360_BS,M
Parsnip_2000,P_6634-001,2,1267738_1102106_BS,F
Parsnip_2000,P_6634-001,4,1265108_1102909_BS,F
Parsnip_2000,P_6635-050,4,1229125_1126430_BS,M
Parsnip_2000,P_6635-070,4,1229125_1126430_BS,M
Parsnip_2000,P_6635-070,4,1235278_1116976_BS,M
Parsnip_2000,P_6636-001,4,1235278_1116976_BS,F
Parsnip_2000,P_6640-019,3,1248116_1114348_BS,F
Parsnip_2000,P_6640-019,4,1247416_1111808_BS,F
Parsnip_2000,P_6642-001,4,1252557_1121609_BS,F
Parsnip_2000,P_6643-015,1,1249353_1120336_BS,M
Parsnip_2000,P_6643-015,2,1248058_1125508_BS,M
Parsnip_2000,P_6643-015,4,1257724_1119097_BS,M
Parsnip_2000,P_6643-026,4,1257724_1119097_BS,M
Parsnip_2000,P_6643-026,4,1263054_1117360_BS,M
Parsnip_2000,P_6643-100,4,1257724_1119097_BS,F
Parsnip_2000,P_6643-100,4,1263054_1117360_BS,F
Parsnip_2000,P_6644-004,4,1263054_1117360_BS,F
Parsnip_2000,P_6645-001,2,1269538_1056072_BS,F
Parsnip_2000,P_6645-001,4,1272285_1055695_BS,F
Parsnip_2000,P_6645-010,4,1272285_1055695_BS,M
Parsnip_2000,P_6647-001,4,1267414_1067814_BS,M
Parsnip_2000,P_6648-001,4,1261837_1079945_BS,F
Parsnip_2000,P_6650-001,2,1274774_1078847_BS,F
Parsnip_2000,P_6650-001,4,1270811_1079048_BS,F
Parsnip_2000,P_6701-001,3,1288428_1089106_BS,F
Parsnip_2000,P_6701-001,4,1287457_1086938_BS,F
Parsnip_2000,P_6701-053,3,1288428_1089106_BS,F
Parsnip_2000,P_6701-053,4,1287457_1086938_BS,F
Parsnip_2000,P_6702-001,2,1229392_1058357_BS,F
Parsnip_2000,P_6702-001,4,1227248_1053792_BS,F
Parsnip_2000,P_6708-001,4,1245950_1084188_BS,F
Parsnip_2000,P_6714-050,4,1249288_1100552_BS,F
Parsnip_2000,P_6715-001,2,1239448_1102520_BS,M
Parsnip_2000,P_6715-001,2,1240319_1098592_BS,M
Parsnip_2000,P_6715-001,4,1243773_1098357_BS,M
Parsnip_2000,P_6715-020,4,1243773_1098357_BS,F
Parsnip_2000,P_6715-050,2,1240319_1098592_BS,F
Parsnip_2000,P_6715-050,4,1243773_1098357_BS,F
Parsnip_2000,P_6715-073,4,1243773_1098357_BS,F
Parsnip_2000,P_6715-081,4,1243773_1098357_BS,F
Parsnip_2000,P_6853-059,1,1198126_1102617_BS,F
Parsnip_2000,P_6871-005,1,1223128_1090784_BS,M
Parsnip_2000,P_6871-020,1,1223128_1090784_BS,M
Parsnip_2000,P_6877-001,1,1224045_1075540_BS,F
Parsnip_2000,P_6877-001,3,1224743_1074700_BS,F
Parsnip_2000,P_6877-010,1,1224045_1075540_BS,F
Parsnip_2000,P_6887-016,2,1192574_1093889_BS,F
Parsnip_2000,P_6889-055,2,1198143_1084775_BS,M
Parsnip_2000,P_6889-058,2,1198143_1084775_BS,F
Parsnip_2000,P_6901-003,2,1208900_1092218_BS,F
Parsnip_2000,P_6901-003,3,1216476_1090839_BS,F
Parsnip_2000,P_6906-002,2,1217640_1078396_BS,M
Parsnip_2000,P_6925-015,3,1228520_1087512_BS,M
Parsnip_2000,P_6932-019,3,1212136_1089025_BS,M
Parsnip_2000,P_6932-050,3,1212136_1089025_BS,M
Parsnip_2000,P_6936-070,3,1224743_1074700_BS,M
Parsnip_2000,P_6942-002,4,1202006_1095905_BS,M
Parsnip_2000,P_6946-001,4,1195909_1071218_BS,F
Parsnip_2000,P_6957-001A,4,1277337_1065030_BS,F
Parsnip_2000,P_GF10,2,1267821_1107516_BS,F
Parsnip_2000,P_GF10,3,1265169_1108896_BS,F
Parsnip_2000,P_GF16,2,1254505_1117625_BS,F
Parsnip_2000,P_GF16,4,1257724_1119097_BS,F
Parsnip_2000,P_GF17,3,1255140_1116728_BS,F
Parsnip_2000,P_GF18,2,1254505_1117625_BS,F
Parsnip_2000,P_GF30,4,1277516_1108638_BS,F
Parsnip_2000,P_GF4,1,1238871_1131785_BS,F
Parsnip_2000,P_GF5,3,1285749_1098983_BS,F
Parsnip_2000,P_GF7,3,1248471_1123113_BS,F
Parsnip_2000,P_GF9,3,1275791_1103586_BS,F
Parsnip_2000,P_GM22,1,1298005_1092780_BS,M
Parsnip_2000,P_GM28,3,1264677_1114731_BS,M
Parsnip_2000,P_GM28,4,1265108_1102909_BS,M
Parsnip_2000,P_GM31,4,1273581_1107611_BS,M
Parsnip_2000,P_GM39,1,1212530_1074655_BS,M
