#Session,ID,Occassion,Detector,Sex
Region_2005,R_F59,2,1277181_603993_BS,F
Region_2005,R_F60,4,1278880_610295_BS,F
Region_2005,R_F61,2,1293031_601312_BS,F
Region_2005,R_F61,2,1276578_590209_BS,F
Region_2005,R_F61,4,1293031_601312_BS,F
Region_2005,R_F61,5,1275454_597963_BS,F
Region_2005,R_F64,1,1266462_604758_BS,F
Region_2005,R_F64,2,1266462_604758_BS,F
Region_2005,R_F64,3,1265718_593837_BS,F
Region_2005,R_F64,5,1275454_597963_BS,F
Region_2005,R_F68,3,1278880_610295_BS,F
Region_2005,R_F68,4,1278880_610295_BS,F
Region_2005,R_F68,5,1278880_610295_BS,F
Region_2005,R_F71,2,1298571_570321_BS,F
Region_2005,R_F71,2,1314941_567874_BS,F
Region_2005,R_F71,3,1298571_570321_BS,F
Region_2005,R_F71,4,1298571_570321_BS,F
Region_2005,R_F71,5,1292907_566646_BS,F
Region_2005,R_F71,5,1314941_567874_BS,F
Region_2005,R_F73,5,1285782_610832_BS,F
Region_2005,R_F74,5,1289885_582144_BS,F
Region_2005,R_F75,1,1296296_582953_BS,F
Region_2005,R_F75,4,1289885_582144_BS,F
Region_2005,R_F75,5,1289885_582144_BS,F
Region_2005,R_F76,1,1289885_582144_BS,F
Region_2005,R_F76,1,1293103_577653_BS,F
Region_2005,R_F76,2,1293103_577653_BS,F
Region_2005,R_F76,3,1293103_577653_BS,F
Region_2005,R_F76,4,1296296_582953_BS,F
Region_2005,R_F76,5,1302697_585592_BS,F
Region_2005,R_F78,1,1293103_577653_BS,F
Region_2005,R_F78,1,1296296_582953_BS,F
Region_2005,R_F78,3,1289885_582144_BS,F
Region_2005,R_F78,4,1289885_582144_BS,F
Region_2005,R_F78,4,1296296_582953_BS,F
Region_2005,R_F78,5,1302697_585592_BS,F
Region_2005,R_F78,5,1296296_582953_BS,F
Region_2005,R_M62,1,1275454_597963_BS,M
Region_2005,R_M62,4,1254527_574732_BS,M
Region_2005,R_M63,5,1285782_610832_BS,M
Region_2005,R_M65,1,1285782_610832_BS,M
Region_2005,R_M65,5,1293103_577653_BS,M
Region_2005,R_M66,2,1293103_577653_BS,M
Region_2005,R_M66,5,1296296_582953_BS,M
Region_2005,R_M69,4,1266462_604758_BS,M
Region_2005,R_M70,1,1266462_604758_BS,M
Region_2005,R_M70,2,1258721_621154_BS,M
Region_2005,R_M70,2,1257478_617302_BS,M
Region_2005,R_M70,3,1265338_616614_BS,M
Region_2005,R_M70,4,1266462_604758_BS,M
Region_2005,R_M70,4,1257478_617302_BS,M
Region_2005,R_M70,5,1258721_621154_BS,M
Region_2005,R_M72,1,1277181_603993_BS,M
Region_2005,R_M72,2,1265718_593837_BS,M
Region_2005,R_M72,3,1278880_610295_BS,M
Region_2005,R_M72,3,1275454_597963_BS,M
Region_2005,R_M72,4,1277181_603993_BS,M
Region_2005,R_M72,4,1265718_593837_BS,M
Region_2005,R_M72,5,1265718_593837_BS,M
Region_2005,R_M77,1,1289885_582144_BS,M
Region_2005,R_M77,1,1293103_577653_BS,M
Region_2005,R_M77,1,1296296_582953_BS,M
Region_2005,R_M77,2,1293103_577653_BS,M
Region_2005,R_M77,3,1293103_577653_BS,M
Region_2005,R_M77,4,1289885_582144_BS,M
Region_2005,R_M77,4,1296296_582953_BS,M
Region_2005,R_M77,5,1296296_582953_BS,M
Region_2005,R_M79,2,1266462_604758_BS,M
Region_2005,R_M79,3,1277181_603993_BS,M
