#Session,ID,Occassion,Detector,Sex
S_Purcell_2001,SP_9101,1,1708671_539298_BS,M
S_Purcell_2001,SP_9102,1,1704209_548079_BS,F
S_Purcell_2001,SP_9102a,1,1704209_548079_BS,M
S_Purcell_2001,SP_9104,1,1688541_550246_BS,M
S_Purcell_2001,SP_9104,1,1686542_544288_BS,M
S_Purcell_2001,SP_9104,2,1686542_544288_BS,M
S_Purcell_2001,SP_9104,3,1691838_538228_BS,M
S_Purcell_2001,SP_9104,3,1686455_546343_BS,M
S_Purcell_2001,SP_9104,3,1686542_544288_BS,M
S_Purcell_2001,SP_9104,4,1691838_538228_BS,M
S_Purcell_2001,SP_9104,4,1686455_546343_BS,M
S_Purcell_2001,SP_9105,1,1686542_544288_BS,F
S_Purcell_2001,SP_9111,1,1713123_528045_BS,M
S_Purcell_2001,SP_9111,1,1686542_544288_BS,M
S_Purcell_2001,SP_9111,2,1686542_544288_BS,M
S_Purcell_2001,SP_9111,3,1693427_529993_BS,M
S_Purcell_2001,SP_9112,1,1716857_527417_BS,M
S_Purcell_2001,SP_9112,3,1726288_495767_BS,M
S_Purcell_2001,SP_9114,1,1693427_529993_BS,F
S_Purcell_2001,SP_9114,1,1686542_544288_BS,F
S_Purcell_2001,SP_9114,2,1686542_544288_BS,F
S_Purcell_2001,SP_9124,3,1710170_537177_BS,M
S_Purcell_2001,SP_9124,4,1710170_537177_BS,M
S_Purcell_2001,SP_9127,3,1712607_541570_BS,F
S_Purcell_2001,SP_9127,4,1708671_539298_BS,F
S_Purcell_2001,SP_9145,1,1686542_544288_BS,M
S_Purcell_2001,SP_9145,2,1686455_546343_BS,M
S_Purcell_2001,SP_9145,2,1686542_544288_BS,M
S_Purcell_2001,SP_9145,3,1686455_546343_BS,M
S_Purcell_2001,SP_9145,3,1686542_544288_BS,M
S_Purcell_2001,SP_9145,4,1686542_544288_BS,M
S_Purcell_2001,SP_9152,2,1710170_537177_BS,F
S_Purcell_2001,SP_9152,3,1712607_541570_BS,F
S_Purcell_2001,SP_9152,3,1710170_537177_BS,F
S_Purcell_2001,SP_9152,4,1712607_541570_BS,F
S_Purcell_2001,SP_9152a,2,1710170_537177_BS,F
S_Purcell_2001,SP_9152a,3,1716857_527417_BS,F
S_Purcell_2001,SP_9170,2,1726288_495767_BS,M
S_Purcell_2001,SP_9180,4,1707514_529809_BS,F
S_Purcell_2001,SP_9180a,4,1707514_529809_BS,F
S_Purcell_2001,SP_9180b,4,1707514_529809_BS,F
S_Purcell_2001,SP_9182,1,1693427_529993_BS,M
S_Purcell_2001,SP_9182,3,1691838_538228_BS,M
S_Purcell_2001,SP_9182,3,1686542_544288_BS,M
S_Purcell_2001,SP_9182,4,1691838_538228_BS,M
S_Purcell_2001,SP_9183,3,1686455_546343_BS,M
S_Purcell_2001,SP_9186,3,1698534_548575_BS,F
S_Purcell_2001,SP_9186,3,1686455_546343_BS,F
S_Purcell_2001,SP_9190,2,1710170_537177_BS,M
S_Purcell_2001,SP_9190,3,1712607_541570_BS,M
S_Purcell_2001,SP_9192,3,1712607_541570_BS,F
S_Purcell_2001,SP_9192,3,1710170_537177_BS,F
S_Purcell_2001,SP_9192a,3,1710170_537177_BS,F
S_Purcell_2001,SP_9194,2,1710170_537177_BS,F
S_Purcell_2001,SP_9194,3,1716857_527417_BS,F
S_Purcell_2001,SP_9195,3,1714084_511606_BS,F
S_Purcell_2001,SP_9197,3,1716927_510531_BS,F
S_Purcell_2001,SP_9214,4,1712077_503266_BS,M
S_Purcell_2001,SP_9214,4,1715506_502467_BS,M
S_Purcell_2001,SP_9221,4,1713123_528045_BS,F
S_Purcell_2001,SP_9224,3,1693609_524430_BS,F
S_Purcell_2001,SP_9224,4,1710170_537177_BS,F
