#Session,ID,Occassion,Detector,Sex
S_Selk_2005,SS_10653b,1,1638492_532663_BS,F
S_Selk_2005,SS_10653b,2,1641197_528269_BS,F
S_Selk_2005,SS_10663c1,2,1638492_532663_BS,F
S_Selk_2005,SS_10663c1,4,1636312_539823_BS,F
S_Selk_2005,SS_10663c1,4,1635915_534975_BS,F
S_Selk_2005,SS_10663c1,4,1633890_533591_BS,F
S_Selk_2005,SS_10666l3,3,1641670_531731_BS,F
S_Selk_2005,SS_10669a1,3,1635915_534975_BS,F
S_Selk_2005,SS_10669a1,4,1636312_539823_BS,F
S_Selk_2005,SS_10669a1,4,1640586_545619_BS,F
S_Selk_2005,SS_10735g,3,1649084_503722_BS,F
S_Selk_2005,SS_10735g,4,1649084_503722_BS,F
S_Selk_2005,SS_10735g,4,1648928_506478_BS,F
S_Selk_2005,SS_10739a,3,1655433_498056_BS,F
S_Selk_2005,SS_10739a,4,1643193_493067_BS,F
S_Selk_2005,SS_10739c1,3,1655433_498056_BS,M
S_Selk_2005,SS_10751o,4,1649707_519350_BS,M
S_Selk_2005,SS_10815b1,2,1662467_513898_BS,M
S_Selk_2005,SS_10815b1,2,1656332_504670_BS,M
S_Selk_2005,SS_10815b1,3,1651307_505087_BS,M
S_Selk_2005,SS_10815b1,4,1663944_515142_BS,M
S_Selk_2005,SS_10820n3,2,1650983_522220_BS,F
S_Selk_2005,SS_10820n3,4,1653556_528649_BS,F
S_Selk_2005,SS_10821e,2,1651459_512871_BS,F
S_Selk_2005,SS_10823t7,2,1648928_506478_BS,M
S_Selk_2005,SS_10856c1,1,1650983_522220_BS,F
S_Selk_2005,SS_10856c1,1,1653047_522538_BS,F
S_Selk_2005,SS_10856c1,2,1653047_522538_BS,F
S_Selk_2005,SS_10857f,1,1656575_532111_BS,F
S_Selk_2005,SS_10857f,1,1650983_522220_BS,F
S_Selk_2005,SS_10857f,2,1652077_538191_BS,F
S_Selk_2005,SS_10857r5,1,1650983_522220_BS,F
S_Selk_2005,SS_10857r5,2,1650983_522220_BS,F
S_Selk_2005,SS_10857r5,3,1655160_518758_BS,F
S_Selk_2005,SS_10857r5,3,1650983_522220_BS,F
S_Selk_2005,SS_10857r5,3,1653047_522538_BS,F
S_Selk_2005,SS_10857r5,3,1649707_519350_BS,F
S_Selk_2005,SS_10857r5,4,1650983_522220_BS,F
S_Selk_2005,SS_10857r5,4,1653047_522538_BS,F
S_Selk_2005,SS_10857r5,4,1649707_519350_BS,F
S_Selk_2005,SS_10858c1,1,1649707_519350_BS,M
S_Selk_2005,SS_10858c1,2,1656332_504670_BS,M
S_Selk_2005,SS_10858c1,3,1657440_499498_BS,M
S_Selk_2005,SS_10858c1,4,1649084_503722_BS,M
S_Selk_2005,SS_10858c1,4,1648928_506478_BS,M
S_Selk_2005,SS_10861b1,1,1664994_506074_BS,F
S_Selk_2005,SS_10861b1,1,1662467_513898_BS,F
S_Selk_2005,SS_10861b1,2,1659999_518835_BS,F
S_Selk_2005,SS_10861b1,2,1662467_513898_BS,F
S_Selk_2005,SS_10871a1,1,1651459_512871_BS,F
S_Selk_2005,SS_10871a1,3,1656715_514245_BS,F
S_Selk_2005,SS_10871a1,4,1656715_514245_BS,F
S_Selk_2005,SS_10879c1,1,1652100_493190_BS,F
S_Selk_2005,SS_10879c1,2,1649389_493576_BS,F
S_Selk_2005,SS_10879c1,2,1663202_500316_BS,F
S_Selk_2005,SS_10936j3,4,1656273_536255_BS,F
S_Selk_2005,SS_10966a,1,1652970_532491_BS,M
S_Selk_2005,SS_10966a,1,1652077_538191_BS,M
S_Selk_2005,SS_10966a,2,1638492_532663_BS,M
S_Selk_2005,SS_10966a,4,1651459_512871_BS,M
S_Selk_2005,SS_10966a,4,1641661_514233_BS,M
S_Selk_2005,SS_10966d1,1,1652077_538191_BS,M
S_Selk_2005,SS_10966d1,2,1641197_528269_BS,M
S_Selk_2005,SS_10966d1,3,1663161_530752_BS,M
S_Selk_2005,SS_10966d1,3,1643636_539192_BS,M
S_Selk_2005,SS_10966d1,4,1656033_538815_BS,M
S_Selk_2005,SS_10967a1,2,1656033_538815_BS,F
S_Selk_2005,SS_10967a1,3,1656033_538815_BS,F
S_Selk_2005,SS_10969b1,1,1649263_537529_BS,F
S_Selk_2005,SS_10969b1,1,1649080_534921_BS,F
S_Selk_2005,SS_10969b1,2,1648402_529483_BS,F
S_Selk_2005,SS_10969b1,4,1648402_529483_BS,F
S_Selk_2005,SS_10969j3,1,1649080_534921_BS,M
S_Selk_2005,SS_10969j3,2,1652970_532491_BS,M
S_Selk_2005,SS_10969j3,2,1652077_538191_BS,M
S_Selk_2005,SS_10969j3,3,1649263_537529_BS,M
S_Selk_2005,SS_10969j3,3,1652077_538191_BS,M
S_Selk_2005,SS_10969j3,4,1652077_538191_BS,M
S_Selk_2005,SS_10981a,1,1644881_527498_BS,F
S_Selk_2005,SS_10981a,4,1643854_522121_BS,F
S_Selk_2005,SS_10986d,2,1649263_537529_BS,F
S_Selk_2005,SS_10988d1,2,1656824_531767_BS,F
S_Selk_2005,SS_10991b,2,1640120_522467_BS,F
S_Selk_2005,SS_10991b,4,1640120_522467_BS,F
S_Selk_2005,SS_10992a,2,1641197_528269_BS,F
