#Session,ID,Occassion,Detector,Sex
Southern_Rockies_2015,SR_0667,1,1782607_663426_RT,M
Southern_Rockies_2015,SR_09195,2,1817478_525317_RT,M
Southern_Rockies_2015,SR_09422,4,1831216_513800_RT,F
Southern_Rockies_2015,SR_09547,4,1781005_637342_RT,F
Southern_Rockies_2015,SR_09547,4,1781311_637277_RT,F
Southern_Rockies_2015,SR_09547,4,1780438_637387_RT,F
Southern_Rockies_2015,SR_09547,4,1789019_627837_RT,F
Southern_Rockies_2015,SR_09694,5,1829841_511691_RT,F
Southern_Rockies_2015,SR_1021,2,1786379_633772_RT,F
Southern_Rockies_2015,SR_1021,5,1789019_627837_RT,F
Southern_Rockies_2015,SR_10549EV,2,1789161_610660_RT,M
Southern_Rockies_2015,SR_10549EV,5,1797629_630693_RT,M
Southern_Rockies_2015,SR_10549EV,5,1798750_624234_RT,M
Southern_Rockies_2015,SR_10707,5,1789084_629136_RT,F
Southern_Rockies_2015,SR_10726,5,1835650_534524_RT,M
Southern_Rockies_2015,SR_10739-c,1,1856962_521236_RT,M
Southern_Rockies_2015,SR_10739-c,1,1845788_527596_RT,M
Southern_Rockies_2015,SR_10739-c,1,1847811_528526_RT,M
Southern_Rockies_2015,SR_10739-c,2,1845328_514971_RT,M
Southern_Rockies_2015,SR_10739-c,5,1839034_528582_RT,M
Southern_Rockies_2015,SR_10744,4,1798758_581851_RT,F
Southern_Rockies_2015,SR_10764-a,4,1828867_545811_RT,F
Southern_Rockies_2015,SR_11052,4,1774876_646894_RT,F
Southern_Rockies_2015,SR_11478,2,1790047_624731_RT,F
Southern_Rockies_2015,SR_11677,2,1850631_529874_RT,M
Southern_Rockies_2015,SR_11888,2,1788397_630450_RT,M
Southern_Rockies_2015,SR_11888,4,1789084_629136_RT,M
Southern_Rockies_2015,SR_11968,3,1828739_546779_RT,F
Southern_Rockies_2015,SR_12578,2,1803318_596805_RT,F
Southern_Rockies_2015,SR_12578,4,1803643_596075_RT,F
Southern_Rockies_2015,SR_12578,5,1805464_591691_RT,F
Southern_Rockies_2015,SR_12578,5,1804522_600988_RT,F
Southern_Rockies_2015,SR_12705,4,1794557_600175_RT,M
Southern_Rockies_2015,SR_13138,2,1818378_523175_RT,M
Southern_Rockies_2015,SR_13252,4,1798758_581851_RT,F
Southern_Rockies_2015,SR_13252,4,1793504_561389_RT,F
Southern_Rockies_2015,SR_13253,1,1793504_561389_RT,M
Southern_Rockies_2015,SR_13376,0,1782010_644159_RT,M
Southern_Rockies_2015,SR_13376,0,1778957_644667_RT,M
Southern_Rockies_2015,SR_13376,0,1780476_644574_RT,M
Southern_Rockies_2015,SR_13376,0,1778878_644671_RT,M
Southern_Rockies_2015,SR_13376,1,1784409_653689_RT,M
Southern_Rockies_2015,SR_13376,1,1780864_666322_RT,M
Southern_Rockies_2015,SR_13376,1,1776647_644490_RT,M
Southern_Rockies_2015,SR_13376,2,1780476_644574_RT,M
Southern_Rockies_2015,SR_13376,5,1780864_666322_RT,M
Southern_Rockies_2015,SR_13376,5,1778499_664522_RT,M
Southern_Rockies_2015,SR_13601,4,1856962_521236_RT,M
Southern_Rockies_2015,SR_13615,4,1818289_549913_RT,F
Southern_Rockies_2015,SR_13647,2,1783672_568960_RT,F
