#Session,ID,Occassion,Detector,Sex
Southern_Rockies_2017,SR_09195,2,1809855_522552_RT,M
Southern_Rockies_2017,SR_09547,4,1787364_632132_RT,F
Southern_Rockies_2017,SR_09547,5,1789084_629136_RT,F
Southern_Rockies_2017,SR_10209,1,1825322_531609_RT,M
Southern_Rockies_2017,SR_10209,2,1827429_531576_RT,M
Southern_Rockies_2017,SR_10397,4,1800438_617621_RT,F
Southern_Rockies_2017,SR_10420,3,1781005_637342_RT,F
Southern_Rockies_2017,SR_10420,3,1780438_637387_RT,F
Southern_Rockies_2017,SR_10549EV,5,1804522_600988_RT,M
Southern_Rockies_2017,SR_10667,1,1774876_646894_RT,F
Southern_Rockies_2017,SR_10738-a,4,1784711_571160_RT,F
Southern_Rockies_2017,SR_10738-a,4,1783846_566259_RT,F
Southern_Rockies_2017,SR_10738-a,4,1784127_563671_RT,F
Southern_Rockies_2017,SR_10739-c,1,1841857_524764_RT,M
Southern_Rockies_2017,SR_10744,4,1803399_582522_RT,F
Southern_Rockies_2017,SR_10744,4,1802739_582582_RT,F
Southern_Rockies_2017,SR_10744,4,1796909_576941_RT,F
Southern_Rockies_2017,SR_10744,5,1798758_581851_RT,F
Southern_Rockies_2017,SR_10784-I,5,1780667_559686_RT,F
Southern_Rockies_2017,SR_10794-b,1,1795562_583040_RT,F
Southern_Rockies_2017,SR_11027,1,1786388_646832_RT,F
Southern_Rockies_2017,SR_11423,5,1835435_526500_RT,F
Southern_Rockies_2017,SR_11423,5,1836202_527037_RT,F
Southern_Rockies_2017,SR_11513,1,1796909_576941_RT,M
Southern_Rockies_2017,SR_11513,4,1796990_577283_RT,M
Southern_Rockies_2017,SR_11513,5,1796990_577283_RT,M
Southern_Rockies_2017,SR_11677,1,1853610_520325_RT,M
Southern_Rockies_2017,SR_11796,4,1783023_647242_RT,M
Southern_Rockies_2017,SR_11888,1,1816956_550461_RT,M
Southern_Rockies_2017,SR_11888,5,1794264_549462_RT,M
Southern_Rockies_2017,SR_12482,2,1856962_521236_RT,F
Southern_Rockies_2017,SR_13252,5,1796842_573398_RT,F
Southern_Rockies_2017,SR_13253,2,1818411_549795_RT,M
Southern_Rockies_2017,SR_13253,2,1818289_549913_RT,M
Southern_Rockies_2017,SR_13253,3,1818411_549795_RT,M
Southern_Rockies_2017,SR_13253,5,1793368_561228_RT,M
Southern_Rockies_2017,SR_13376,0,1782010_644159_RT,M
Southern_Rockies_2017,SR_13376,0,1780476_644574_RT,M
Southern_Rockies_2017,SR_13376,1,1782010_644159_RT,M
Southern_Rockies_2017,SR_13376,1,1776758_651215_RT,M
Southern_Rockies_2017,SR_13376,1,1781168_648898_RT,M
Southern_Rockies_2017,SR_13376,2,1779296_664583_RT,M
Southern_Rockies_2017,SR_13376,2,1776758_651215_RT,M
Southern_Rockies_2017,SR_13376,2,1778002_650315_RT,M
Southern_Rockies_2017,SR_13376,2,1778829_649661_RT,M
Southern_Rockies_2017,SR_13376,2,1775125_664779_RT,M
Southern_Rockies_2017,SR_13376,5,1780864_666322_RT,M
Southern_Rockies_2017,SR_13580,1,1809252_530490_RT,M
Southern_Rockies_2017,SR_13580,2,1801014_525627_RT,M
Southern_Rockies_2017,SR_13580,3,1809252_530490_RT,M
Southern_Rockies_2017,SR_13615,5,1817699_550277_RT,F
Southern_Rockies_2017,SR_13615,5,1817232_550601_RT,F
Southern_Rockies_2017,SR_13615,5,1809306_560535_RT,F
Southern_Rockies_2017,SR_13647,3,1784127_563671_RT,F
Southern_Rockies_2017,SR_13647,3,1783891_565205_RT,F
Southern_Rockies_2017,SR_13655,2,1784039_564763_RT,F
Southern_Rockies_2017,SR_13655,4,1784305_564090_RT,F
Southern_Rockies_2017,SR_13668,5,1778115_664353_RT,M
Southern_Rockies_2017,SR_13696,2,1790317_592874_RT,F
Southern_Rockies_2017,SR_13702,2,1797918_631259_RT,M
Southern_Rockies_2017,SR_13702,4,1796957_629732_RT,M
Southern_Rockies_2017,SR_13702,4,1798055_632395_RT,M
Southern_Rockies_2017,SR_13702,4,1797918_631259_RT,M
Southern_Rockies_2017,SR_13724,2,1796957_629732_RT,F
Southern_Rockies_2017,SR_13724,5,1797918_631259_RT,F
Southern_Rockies_2017,SR_14395,1,1780476_644574_RT,M
Southern_Rockies_2017,SR_14395,2,1780476_644574_RT,M
Southern_Rockies_2017,SR_14395,2,1777387_650599_RT,M
Southern_Rockies_2017,SR_14395,2,1781168_648898_RT,M
Southern_Rockies_2017,SR_14395,4,1778829_649661_RT,M
Southern_Rockies_2017,SR_14395,5,1775545_645607_RT,M
Southern_Rockies_2017,SR_14395,5,1776647_644490_RT,M
Southern_Rockies_2017,SR_14489,4,1789797_591055_RT,M
Southern_Rockies_2017,SR_14636,4,1787409_622732_RT,F
Southern_Rockies_2017,SR_14636,5,1787282_622846_RT,F
Southern_Rockies_2017,SR_14637,0,1790674_607926_RT,M
Southern_Rockies_2017,SR_14637,1,1786624_590128_RT,M
Southern_Rockies_2017,SR_14696,4,1796140_601661_RT,F
Southern_Rockies_2017,SR_14765,2,1779296_664583_RT,M
Southern_Rockies_2017,SR_14765,3,1784409_653689_RT,M
Southern_Rockies_2017,SR_14765,3,1777387_650599_RT,M
Southern_Rockies_2017,SR_14795-30r,1,1799949_623550_RT,M
Southern_Rockies_2017,SR_14795-30r,1,1799420_634016_RT,M
Southern_Rockies_2017,SR_148,1,1816719_567016_RT,M
Southern_Rockies_2017,SR_148,1,1801989_582750_RT,M
Southern_Rockies_2017,SR_148,1,1796909_576941_RT,M
Southern_Rockies_2017,SR_148,2,1807658_568499_RT,M
Southern_Rockies_2017,SR_148,2,1810362_559047_RT,M
Southern_Rockies_2017,SR_148,2,1806990_564377_RT,M
Southern_Rockies_2017,SR_148,3,1808878_561548_RT,M
Southern_Rockies_2017,SR_148,3,1809306_560535_RT,M
Southern_Rockies_2017,SR_148,4,1802739_582582_RT,M
Southern_Rockies_2017,SR_148,5,1808878_561548_RT,M
Southern_Rockies_2017,SR_148,5,1810190_580730_RT,M
Southern_Rockies_2017,SR_14837-21f,5,1822629_521694_RT,F
Southern_Rockies_2017,SR_14916,3,1796957_629732_RT,F
Southern_Rockies_2017,SR_14948,3,1790189_602996_RT,F
Southern_Rockies_2017,SR_14948,3,1792267_605059_RT,F
Southern_Rockies_2017,SR_14948,3,1788670_603406_RT,F
Southern_Rockies_2017,SR_14948,4,1790189_602996_RT,F
Southern_Rockies_2017,SR_14948,4,1789733_603117_RT,F
Southern_Rockies_2017,SR_14948,5,1788148_603580_RT,F
Southern_Rockies_2017,SR_14948,5,1792267_605059_RT,F
Southern_Rockies_2017,SR_14948,5,1790674_607926_RT,F
Southern_Rockies_2017,SR_14963,1,1806990_564377_RT,M
Southern_Rockies_2017,SR_14963,1,1803399_582522_RT,M
Southern_Rockies_2017,SR_14963,1,1793948_561320_RT,M
