#Session,ID,Occassion,Detector,Sex
Southgate_2010,S_F215,1,1132371_679998_BS,F
Southgate_2010,S_F332,1,1116725_673201_BS,F
Southgate_2010,S_F332,1,1112876_680844_BS,F
Southgate_2010,S_F332,2,1116725_673201_BS,F
Southgate_2010,S_F332,2,1112876_680844_BS,F
Southgate_2010,S_F332,3,1109985_662721_BS,F
Southgate_2010,S_F332,4,1109985_662721_BS,F
Southgate_2010,S_F335,1,1097490_649796_BS,F
Southgate_2010,S_F335,3,1092426_645151_BS,F
Southgate_2010,S_F335,4,1092426_645151_BS,F
Southgate_2010,S_F337,1,1084228_637224_BS,F
Southgate_2010,S_F337,2,1084228_637224_BS,F
Southgate_2010,S_F337,3,1084228_637224_BS,F
Southgate_2010,S_F337,4,1084228_637224_BS,F
Southgate_2010,S_F338,1,1109924_638453_BS,F
Southgate_2010,S_F338,2,1106559_642104_BS,F
Southgate_2010,S_F338,2,1110595_642298_BS,F
Southgate_2010,S_F338,2,1111964_638649_BS,F
Southgate_2010,S_F338,3,1106559_642104_BS,F
Southgate_2010,S_F338,3,1110595_642298_BS,F
Southgate_2010,S_F338,3,1109924_638453_BS,F
Southgate_2010,S_F338,4,1109924_638453_BS,F
Southgate_2010,S_F338,4,1111964_638649_BS,F
Southgate_2010,S_F339,1,1123412_686829_BS,F
Southgate_2010,S_F339,2,1127822_689459_BS,F
Southgate_2010,S_F339,2,1123412_686829_BS,F
Southgate_2010,S_F340,1,1132371_679998_BS,F
Southgate_2010,S_F340,2,1132371_679998_BS,F
Southgate_2010,S_F340,2,1123988_678767_BS,F
Southgate_2010,S_F340,3,1132371_679998_BS,F
Southgate_2010,S_F342,1,1132371_679998_BS,F
Southgate_2010,S_F343,2,1084492_655652_BS,F
Southgate_2010,S_F344,2,1139456_659235_BS,F
Southgate_2010,S_F346,2,1097327_643160_BS,F
Southgate_2010,S_F346,3,1097327_643160_BS,F
Southgate_2010,S_F346,4,1097327_643160_BS,F
Southgate_2010,S_F347,2,1123412_686829_BS,F
Southgate_2010,S_F347,3,1123412_686829_BS,F
Southgate_2010,S_F351,2,1123988_678767_BS,F
Southgate_2010,S_F351,3,1123988_678767_BS,F
Southgate_2010,S_F351,4,1123988_678767_BS,F
Southgate_2010,S_F352,2,1097157_660418_BS,F
Southgate_2010,S_F352,3,1097157_660418_BS,F
Southgate_2010,S_F352,3,1092470_651107_BS,F
Southgate_2010,S_F352,4,1097157_660418_BS,F
Southgate_2010,S_F355,1,1106559_642104_BS,F
Southgate_2010,S_F355,1,1109924_638453_BS,F
Southgate_2010,S_F355,2,1105797_647815_BS,F
Southgate_2010,S_F355,2,1109924_638453_BS,F
Southgate_2010,S_F355,3,1106559_642104_BS,F
Southgate_2010,S_F355,4,1106559_642104_BS,F
Southgate_2010,S_F361,1,1107221_650055_BS,F
Southgate_2010,S_F361,2,1101540_647350_BS,F
Southgate_2010,S_F361,2,1105797_647815_BS,F
Southgate_2010,S_F361,4,1107221_650055_BS,F
