#Session,ID,Occassion,Detector,Sex
Stein_Nahat_2010,SN_F127,2,1214298_630530_HT,F
Stein_Nahat_2010,SN_F130,1,1235996_638800_HT,F
Stein_Nahat_2010,SN_F132,1,1238910_637156_HT,F
Stein_Nahat_2010,SN_F139,1,1223644_621230_HT,F
Stein_Nahat_2010,SN_F139,2,1225324_618008_HT,F
Stein_Nahat_2010,SN_F139,2,1223644_621230_HT,F
Stein_Nahat_2010,SN_F149,1,1286226_611645_HT,F
Stein_Nahat_2010,SN_F149,1,1273044_609971_HT,F
Stein_Nahat_2010,SN_F237,2,1254045_642074_HT,F
Stein_Nahat_2010,SN_F319,1,1267833_606147_HT,F
Stein_Nahat_2010,SN_F321,2,1281622_617260_HT,F
Stein_Nahat_2010,SN_F322,1,1236409_627990_HT,F
Stein_Nahat_2010,SN_F323,2,1223644_621230_HT,F
Stein_Nahat_2010,SN_F60,1,1286226_611645_HT,F
Stein_Nahat_2010,SN_F64,1,1265030_595226_HT,F
Stein_Nahat_2010,SN_M101,2,1214298_630530_HT,M
Stein_Nahat_2010,SN_M104,1,1254045_642074_HT,M
Stein_Nahat_2010,SN_M105,1,1225762_638019_HT,M
Stein_Nahat_2010,SN_M105,1,1223644_621230_HT,M
Stein_Nahat_2010,SN_M105,1,1236695_637730_RT,M
Stein_Nahat_2010,SN_M105,2,1236095_638738_RT,M
Stein_Nahat_2010,SN_M123,1,1223644_621230_HT,M
Stein_Nahat_2010,SN_M123,2,1225324_618008_HT,M
Stein_Nahat_2010,SN_M128,1,1254045_642074_HT,M
Stein_Nahat_2010,SN_M128,1,1236095_638738_RT,M
Stein_Nahat_2010,SN_M133,1,1235996_638800_HT,M
Stein_Nahat_2010,SN_M133,1,1238910_637156_HT,M
Stein_Nahat_2010,SN_M133,1,1225762_638019_HT,M
Stein_Nahat_2010,SN_M133,2,1236695_637730_RT,M
Stein_Nahat_2010,SN_M133,2,1237033_637428_RT,M
Stein_Nahat_2010,SN_M133,2,1236396_638329_RT,M
Stein_Nahat_2010,SN_M140,1,1267833_606147_HT,M
Stein_Nahat_2010,SN_M140,1,1265030_595226_HT,M
Stein_Nahat_2010,SN_M140,2,1286226_611645_HT,M
Stein_Nahat_2010,SN_M239,1,1266257_592733_RT,M
Stein_Nahat_2010,SN_M239,2,1266257_592733_RT,M
Stein_Nahat_2010,SN_M320,1,1273044_609971_HT,M
Stein_Nahat_2010,SN_M324,1,1238910_637156_HT,M
Stein_Nahat_2010,SN_M72,1,1273044_609971_HT,M
