#Session,ID,Occassion,Detector,Sex
Toba_2008,T_F142,1,1143613_622675_BS,F
Toba_2008,T_F143,1,1154422_621549_BS,F
Toba_2008,T_F143,2,1154422_621549_BS,F
Toba_2008,T_F143,2,1155600_618934_BS,F
Toba_2008,T_F143,3,1154422_621549_BS,F
Toba_2008,T_F143,3,1155600_618934_BS,F
Toba_2008,T_F143,4,1153758_629851_BS,F
Toba_2008,T_F143,4,1154422_621549_BS,F
Toba_2008,T_F269,1,1091430_633663_BS,F
Toba_2008,T_F269,1,1096234_636958_BS,F
Toba_2008,T_F269,4,1092913_632515_BS,F
Toba_2008,T_F271,1,1092913_632515_BS,F
Toba_2008,T_F271,2,1093943_629471_BS,F
Toba_2008,T_F271,3,1092913_632515_BS,F
Toba_2008,T_F271,3,1093943_629471_BS,F
Toba_2008,T_F271,4,1093943_629471_BS,F
Toba_2008,T_F272,1,1100076_631886_BS,F
Toba_2008,T_F272,4,1092913_632515_BS,F
Toba_2008,T_F272,4,1084103_625410_BS,F
Toba_2008,T_F272,4,1083553_623209_BS,F
Toba_2008,T_F273,1,1100076_631886_BS,F
Toba_2008,T_F276,1,1087250_620613_BS,F
Toba_2008,T_F279,1,1094675_621288_BS,F
Toba_2008,T_F279,2,1104205_624359_BS,F
Toba_2008,T_F279,3,1094675_621288_BS,F
Toba_2008,T_F28,1,1143613_622675_BS,F
Toba_2008,T_F28,1,1147514_620907_BS,F
Toba_2008,T_F28,2,1142469_614583_BS,F
Toba_2008,T_F280,1,1094675_621288_BS,F
Toba_2008,T_F280,1,1089312_619303_BS,F
Toba_2008,T_F280,2,1094675_621288_BS,F
Toba_2008,T_F280,4,1094675_621288_BS,F
Toba_2008,T_F281,1,1152506_624008_BS,F
Toba_2008,T_F281,2,1143613_622675_BS,F
Toba_2008,T_F281,3,1138057_614726_BS,F
Toba_2008,T_F282,1,1096721_619355_BS,F
Toba_2008,T_F282,2,1087250_620613_BS,F
Toba_2008,T_F282,2,1089312_619303_BS,F
Toba_2008,T_F282,2,1096721_619355_BS,F
Toba_2008,T_F282,3,1096721_619355_BS,F
Toba_2008,T_F282,4,1096721_619355_BS,F
Toba_2008,T_F283,1,1154422_621549_BS,F
Toba_2008,T_F283,4,1153758_629851_BS,F
Toba_2008,T_F284,1,1084179_608512_BS,F
Toba_2008,T_F284,1,1082965_606405_BS,F
Toba_2008,T_F285,1,1083405_603566_BS,F
Toba_2008,T_F285,1,1077414_597204_BS,F
Toba_2008,T_F285,1,1083336_599217_BS,F
Toba_2008,T_F285,1,1084179_608512_BS,F
