#Session,ID,Occassion,Detector,Sex
West_Slopes_1996,WS_132,3,1643282_764457_BS,F
West_Slopes_1996,WS_286,4,1618707_777880_BS,M
West_Slopes_1996,WS_287,1,1623986_773605_BS,M
West_Slopes_1996,WS_287,1,1626963_776309_BS,M
West_Slopes_1996,WS_287,1,1625601_775933_BS,M
West_Slopes_1996,WS_288,1,1605726_777030_BS,M
West_Slopes_1996,WS_288,1,1625601_775933_BS,M
West_Slopes_1996,WS_294,2,1620050_776032_BS,F
West_Slopes_1996,WS_294,4,1614520_777547_BS,F
West_Slopes_1996,WS_294,4,1618707_777880_BS,F
West_Slopes_1996,WS_295,2,1620050_776032_BS,F
West_Slopes_1996,WS_295,4,1618707_777880_BS,F
West_Slopes_1996,WS_298,1,1636494_760053_BS,M
West_Slopes_1996,WS_298,1,1647355_742860_BS,M
West_Slopes_1996,WS_298,2,1644325_767318_BS,M
West_Slopes_1996,WS_298,3,1641581_754139_BS,M
West_Slopes_1996,WS_298,3,1644864_746581_BS,M
West_Slopes_1996,WS_298,4,1634469_757774_BS,M
West_Slopes_1996,WS_298,4,1625685_776853_BS,M
West_Slopes_1996,WS_299,1,1596560_772324_BS,F
West_Slopes_1996,WS_299,2,1594662_772991_BS,F
West_Slopes_1996,WS_299,2,1631570_753667_BS,F
West_Slopes_1996,WS_300,4,1644752_754545_BS,F
West_Slopes_1996,WS_301,4,1644752_754545_BS,M
West_Slopes_1996,WS_301,4,1591436_731978_BS,M
West_Slopes_1996,WS_302,3,1617421_761150_BS,M
West_Slopes_1996,WS_302,4,1620574_763270_BS,M
West_Slopes_1996,WS_303,1,1590857_717565_BS,M
West_Slopes_1996,WS_303,4,1593193_719782_BS,M
West_Slopes_1996,WS_304,1,1590857_717565_BS,F
West_Slopes_1996,WS_304,4,1593193_719782_BS,F
West_Slopes_1996,WS_306,2,1620050_776032_BS,M
West_Slopes_1996,WS_306,4,1618707_777880_BS,M
West_Slopes_1996,WS_308,1,1626999_765001_BS,F
West_Slopes_1996,WS_308,3,1617421_761150_BS,F
West_Slopes_1996,WS_308,4,1620574_763270_BS,F
West_Slopes_1996,WS_309,4,1634469_757774_BS,M
West_Slopes_1996,WS_310,3,1648603_755139_BS,F
West_Slopes_1996,WS_311,1,1626999_765001_BS,F
West_Slopes_1996,WS_311,3,1617421_761150_BS,F
West_Slopes_1996,WS_311,4,1620574_763270_BS,F
West_Slopes_1996,WS_312,3,1641362_733812_BS,M
West_Slopes_1996,WS_314,4,1644752_754545_BS,M
West_Slopes_1996,WS_314,4,1591436_731978_BS,M
West_Slopes_1996,WS_315,3,1620587_726914_BS,NA
West_Slopes_1996,WS_316,3,1636423_777923_BS,F
West_Slopes_1996,WS_317,3,1643282_764457_BS,M
West_Slopes_1996,WS_318,3,1643282_764457_BS,M
West_Slopes_1996,WS_319,2,1644037_734154_BS,M
West_Slopes_1996,WS_320,3,1648603_755139_BS,M
West_Slopes_1996,WS_321,3,1608731_750344_BS,F
West_Slopes_1996,WS_322,1,1625601_775933_BS,M
West_Slopes_1996,WS_322,2,1623264_778463_BS,M
West_Slopes_1996,WS_325,2,1594662_772991_BS,F
West_Slopes_1996,WS_326,3,1623099_775815_BS,F
West_Slopes_1996,WS_327,3,1623099_775815_BS,F
West_Slopes_1996,WS_328,1,1590857_717565_BS,M
West_Slopes_1996,WS_330,4,1585126_763289_BS,F
West_Slopes_1996,WS_331,3,1611982_769041_BS,F
West_Slopes_1996,WS_331,4,1614520_777547_BS,F
West_Slopes_1996,WS_332,4,1585126_763289_BS,M
West_Slopes_1996,WS_333,4,1608918_770165_BS,M
West_Slopes_1996,WS_334,2,1586362_755972_BS,M
West_Slopes_1996,WS_335,1,1626963_776309_BS,M
West_Slopes_1996,WS_337,1,1605726_777030_BS,M
West_Slopes_1996,WS_338,1,1626963_776309_BS,F
West_Slopes_1996,WS_344,3,1588697_732133_BS,F
West_Slopes_1996,WS_345,3,1627481_773042_BS,M
West_Slopes_1996,WS_346,3,1643282_764457_BS,M
West_Slopes_1996,WS_347,3,1620587_726914_BS,M
West_Slopes_1996,WS_350,2,1626798_773662_BS,M
West_Slopes_1996,WS_351,2,1623264_778463_BS,F
West_Slopes_1996,WS_354,4,1646160_729377_BS,F
West_Slopes_1996,WS_44,1,1647355_742860_BS,F
West_Slopes_1996,WS_44,4,1644044_747485_BS,F
West_Slopes_1996,WS_455,2,1590226_730409_BS,M
West_Slopes_1996,WS_455,3,1593090_730068_BS,M
West_Slopes_1996,WS_71,3,1648603_755139_BS,F
West_Slopes_1996,WS_73,2,1602128_741320_BS,M
West_Slopes_1996,WS_77,1,1590857_717565_BS,M
West_Slopes_1996,WS_78,1,1642165_753507_BS,F
West_Slopes_1996,WS_78,2,1637059_746188_BS,F
West_Slopes_1996,WS_91,2,1590313_730521_BS,M
