#Detector,X,Y,Usage,Trap_Type
1234850_1148206_BS,1234850,1148206,1,/ BS
1234963_1152277_BS,1234963,1152277,1,/ BS
1235126_1159962_BS,1235126,1159962,1,/ BS
1237639_1164554_BS,1237639,1164554,1,/ BS
1238694_1133784_BS,1238694,1133784,1,/ BS
1240380_1154167_BS,1240380,1154167,1,/ BS
1240586_1139661_BS,1240586,1139661,1,/ BS
1241372_1143853_BS,1241372,1143853,1,/ BS
1243681_1158063_BS,1243681,1158063,1,/ BS
1243770_1165648_BS,1243770,1165648,1,/ BS
1245330_1148212_BS,1245330,1148212,1,/ BS
1247890_1133221_BS,1247890,1133221,1,/ BS
1248773_1150415_BS,1248773,1150415,1,/ BS
1248775_1156733_BS,1248775,1156733,1,/ BS
1250265_1137835_BS,1250265,1137835,1,/ BS
1252174_1152353_BS,1252174,1152353,1,/ BS
1253444_1156600_BS,1253444,1156600,1,/ BS
1254277_1140723_BS,1254277,1140723,1,/ BS
1254372_1146567_BS,1254372,1146567,1,/ BS
1257024_1167069_BS,1257024,1167069,1,/ BS
1258428_1147483_BS,1258428,1147483,1,/ BS
1260853_1165751_BS,1260853,1165751,1,/ BS
1261670_1156889_BS,1261670,1156889,1,/ BS
1261861_1150512_BS,1261861,1150512,1,/ BS
1267896_1152809_BS,1267896,1152809,1,/ BS
