#Detector,X,Y,Usage,Trap_Type
1570822_562162_BS,1570822,562162,00010,/ BS
1571017_574719_BS,1571017,574719,10000,/ BS
1572430_577928_BS,1572430,577928,01000,/ BS
1572541_578006_BS,1572541,578006,00001,/ BS
1573437_558608_BS,1573437,558608,01000,/ BS
1573830_558409_BS,1573830,558409,00100,/ BS
1574357_544617_BS,1574357,544617,10000,/ BS
1574487_639779_BS,1574487,639779,00001,/ BS
1574584_530740_BS,1574584,530740,00100,/ BS
1574861_546673_BS,1574861,546673,00001,/ BS
1575030_646053_BS,1575030,646053,00010,/ BS
1575161_642190_BS,1575161,642190,00100,/ BS
1575203_544849_BS,1575203,544849,01000,/ BS
1575240_638462_BS,1575240,638462,01000,/ BS
1575276_575530_BS,1575276,575530,00010,/ BS
1575423_573582_BS,1575423,573582,00100,/ BS
1575616_543687_BS,1575616,543687,00100,/ BS
1576375_532728_BS,1576375,532728,01000,/ BS
1576446_563541_BS,1576446,563541,10001,/ BS
1576586_629856_BS,1576586,629856,00001,/ BS
1576721_656915_BS,1576721,656915,00010,/ BS
1576951_628339_BS,1576951,628339,01000,/ BS
1577017_546119_BS,1577017,546119,00010,/ BS
1577192_658362_BS,1577192,658362,10000,/ BS
1577367_624911_BS,1577367,624911,10000,/ BS
1578102_555272_BS,1578102,555272,00001,/ BS
1578341_529954_BS,1578341,529954,00010,/ BS
1578668_554386_BS,1578668,554386,00010,/ BS
1578748_531517_BS,1578748,531517,00001,/ BS
1579023_569856_BS,1579023,569856,00001,/ BS
1579235_566203_BS,1579235,566203,00010,/ BS
1579630_661523_BS,1579630,661523,01000,/ BS
1580679_666198_BS,1580679,666198,00100,/ BS
1580687_526977_BS,1580687,526977,10000,/ BS
1580870_659158_BS,1580870,659158,00101,/ BS
1581201_566604_BS,1581201,566604,10000,/ BS
1581369_569650_BS,1581369,569650,00100,/ BS
1581541_557977_BS,1581541,557977,00100,/ BS
1582490_629801_BS,1582490,629801,00010,/ BS
1582744_643252_BS,1582744,643252,10000,/ BS
1582825_567717_BS,1582825,567717,01000,/ BS
1583033_625532_BS,1583033,625532,00100,/ BS
1583321_523355_BS,1583321,523355,01000,/ BS
1583341_538248_BS,1583341,538248,10000,/ BS
1583777_537523_BS,1583777,537523,00010,/ BS
1583978_650573_BS,1583978,650573,00010,/ BS
1584207_522263_BS,1584207,522263,10000,/ BS
1584260_597247_BS,1584260,597247,00100,/ BS
1584327_593124_BS,1584327,593124,00010,/ BS
1584382_536012_BS,1584382,536012,01000,/ BS
1584436_665970_BS,1584436,665970,01000,/ BS
1584843_555248_BS,1584843,555248,10000,/ BS
1585011_557259_BS,1585011,557259,01000,/ BS
1585037_535146_BS,1585037,535146,00001,/ BS
1585364_536381_BS,1585364,536381,00100,/ BS
1585492_594068_BS,1585492,594068,01000,/ BS
1586019_665012_BS,1586019,665012,10000,/ BS
1587100_526023_BS,1587100,526023,00100,/ BS
1587206_595739_BS,1587206,595739,00001,/ BS
1587405_668771_BS,1587405,668771,00010,/ BS
1587447_666859_BS,1587447,666859,00001,/ BS
1587785_651629_BS,1587785,651629,01000,/ BS
1587787_619075_BS,1587787,619075,10000,/ BS
1587796_581760_BS,1587796,581760,10000,/ BS
1587863_649352_BS,1587863,649352,00100,/ BS
1588392_526494_BS,1588392,526494,00010,/ BS
1588552_601401_BS,1588552,601401,00100,/ BS
1588729_595038_BS,1588729,595038,10000,/ BS
1588740_660665_BS,1588740,660665,00001,/ BS
1589437_654397_BS,1589437,654397,10000,/ BS
1589457_656619_BS,1589457,656619,00010,/ BS
1589478_549790_BS,1589478,549790,00010,/ BS
1589545_582285_BS,1589545,582285,01000,/ BS
1589584_526444_BS,1589584,526444,00001,/ BS
1589673_634347_BS,1589673,634347,10000,/ BS
1589686_649282_BS,1589686,649282,00001,/ BS
1589769_543248_BS,1589769,543248,10000,/ BS
1589903_636495_BS,1589903,636495,00001,/ BS
1590062_632480_BS,1590062,632480,00100,/ BS
1590075_575344_BS,1590075,575344,00010,/ BS
1590295_581207_BS,1590295,581207,00100,/ BS
1590710_577089_BS,1590710,577089,00001,/ BS
1590744_662334_BS,1590744,662334,10000,/ BS
1590846_605067_BS,1590846,605067,00010,/ BS
1591114_634229_BS,1591114,634229,01000,/ BS
1591219_622009_BS,1591219,622009,00001,/ BS
1591425_527837_BS,1591425,527837,10000,/ BS
1591531_550507_BS,1591531,550507,00100,/ BS
1591729_546873_BS,1591729,546873,01000,/ BS
1592042_644234_BS,1592042,644234,01000,/ BS
1592092_658872_BS,1592092,658872,00100,/ BS
1592249_633111_BS,1592249,633111,00010,/ BS
1592272_518005_BS,1592272,518005,00100,/ BS
1592735_629693_BS,1592735,629693,00001,/ BS
1592837_599999_BS,1592837,599999,01000,/ BS
1592849_591579_BS,1592849,591579,10000,/ BS
1592904_550826_BS,1592904,550826,00001,/ BS
1592949_622234_BS,1592949,622234,00010,/ BS
1593055_645776_BS,1593055,645776,00100,/ BS
1593198_621308_BS,1593198,621308,01000,/ BS
1593220_621546_BS,1593220,621546,00100,/ BS
1593507_641041_BS,1593507,641041,10000,/ BS
1593712_605002_BS,1593712,605002,00001,/ BS
1593957_606243_BS,1593957,606243,10000,/ BS
1594063_572612_BS,1594063,572612,00010,/ BS
1594216_647740_BS,1594216,647740,00010,/ BS
1594327_571965_BS,1594327,571965,00100,/ BS
1594584_587060_BS,1594584,587060,01000,/ BS
1594621_575035_BS,1594621,575035,00001,/ BS
1594666_534094_BS,1594666,534094,00010,/ BS
1594710_659633_BS,1594710,659633,01000,/ BS
1594899_519159_BS,1594899,519159,00010,/ BS
1594926_534429_BS,1594926,534429,00100,/ BS
1594936_528792_BS,1594936,528792,01000,/ BS
1595383_586799_BS,1595383,586799,00100,/ BS
1595663_572341_BS,1595663,572341,10000,/ BS
1595693_559726_BS,1595693,559726,00001,/ BS
1596259_535052_BS,1596259,535052,00001,/ BS
1596362_585774_BS,1596362,585774,00001,/ BS
1596368_625313_BS,1596368,625313,10000,/ BS
1596445_519305_BS,1596445,519305,10000,/ BS
1596605_587822_BS,1596605,587822,00010,/ BS
1596716_554463_BS,1596716,554463,10000,/ BS
1596790_571599_BS,1596790,571599,01000,/ BS
1596989_608798_BS,1596989,608798,00001,/ BS
1597054_558941_BS,1597054,558941,00010,/ BS
1597095_671015_BS,1597095,671015,00010,/ BS
1597255_536187_BS,1597255,536187,00100,/ BS
1597546_645339_BS,1597546,645339,00001,/ BS
1597592_624964_BS,1597592,624964,00100,/ BS
1597626_538068_BS,1597626,538068,00001,/ BS
1597687_519463_BS,1597687,519463,01000,/ BS
1597722_558867_BS,1597722,558867,00100,/ BS
1597906_610075_BS,1597906,610075,00100,/ BS
1598147_597095_BS,1598147,597095,00100,/ BS
1598192_524616_BS,1598192,524616,01000,/ BS
1598200_536055_BS,1598200,536055,10000,/ BS
1598289_655323_BS,1598289,655323,10000,/ BS
1598373_670472_BS,1598373,670472,00100,/ BS
1598430_538582_BS,1598430,538582,00010,/ BS
1598462_518126_BS,1598462,518126,00001,/ BS
1598799_594258_BS,1598799,594258,00010,/ BS
1598855_630321_BS,1598855,630321,00010,/ BS
1599011_614856_BS,1599011,614856,10000,/ BS
1599363_652432_BS,1599363,652432,00001,/ BS
1599511_522970_BS,1599511,522970,00100,/ BS
1599520_537180_BS,1599520,537180,01000,/ BS
1599538_649478_BS,1599538,649478,00100,/ BS
1599719_524508_BS,1599719,524508,10000,/ BS
1599753_597986_BS,1599753,597986,01000,/ BS
1599948_650211_BS,1599948,650211,00010,/ BS
1599981_600268_BS,1599981,600268,00001,/ BS
1600422_583794_BS,1600422,583794,00001,/ BS
1600453_560130_BS,1600453,560130,01000,/ BS
1600625_608908_BS,1600625,608908,00010,/ BS
1600842_626589_BS,1600842,626589,01000,/ BS
1601337_670143_BS,1601337,670143,01000,/ BS
1601432_614055_BS,1601432,614055,01000,/ BS
1601531_671783_BS,1601531,671783,00001,/ BS
1601542_583795_BS,1601542,583795,00100,/ BS
1601677_668269_BS,1601677,668269,10000,/ BS
1602366_634804_BS,1602366,634804,00001,/ BS
1602429_580505_BS,1602429,580505,00010,/ BS
1603018_561842_BS,1603018,561842,00011,/ BS
1603083_548822_BS,1603083,548822,10000,/ BS
1603107_549430_BS,1603107,549430,00110,/ BS
1603309_565031_BS,1603309,565031,00100,/ BS
1603479_654673_BS,1603479,654673,01000,/ BS
1603629_582260_BS,1603629,582260,01000,/ BS
1603709_528442_BS,1603709,528442,00010,/ BS
1603790_568486_BS,1603790,568486,01000,/ BS
1604024_552522_BS,1604024,552522,01001,/ BS
1604131_635584_BS,1604131,635584,10000,/ BS
1604422_598499_BS,1604422,598499,10000,/ BS
1604473_528388_BS,1604473,528388,00001,/ BS
1605296_635935_BS,1605296,635935,01000,/ BS
1605544_621337_BS,1605544,621337,00010,/ BS
1605616_603765_BS,1605616,603765,00001,/ BS
1605684_567535_BS,1605684,567535,10000,/ BS
1605744_615815_BS,1605744,615815,10000,/ BS
1605946_638742_BS,1605946,638742,00100,/ BS
1606149_593021_BS,1606149,593021,00011,/ BS
1606181_581990_BS,1606181,581990,10000,/ BS
1606316_589966_BS,1606316,589966,10000,/ BS
1606461_641027_BS,1606461,641027,00010,/ BS
1607068_602265_BS,1607068,602265,01000,/ BS
1607488_574435_BS,1607488,574435,01001,/ BS
1607503_606759_BS,1607503,606759,00010,/ BS
1607628_646069_BS,1607628,646069,00010,/ BS
1608032_662194_BS,1608032,662194,00010,/ BS
1608176_588035_BS,1608176,588035,01000,/ BS
