#Detector,X,Y,Usage,Trap_Type
1790386_537288_BS,1790386,537288,0010,/ BS
1791917_535253_BS,1791917,535253,0100,/ BS
1792635_563889_BS,1792635,563889,1000,/ BS
1792888_523417_BS,1792888,523417,1000,/ BS
1793418_558935_BS,1793418,558935,1000,/ BS
1794317_529448_BS,1794317,529448,0010,/ BS
1794482_567279_BS,1794482,567279,0100,/ BS
1794768_519762_BS,1794768,519762,0010,/ BS
1794804_539068_BS,1794804,539068,1000,/ BS
1794843_548323_BS,1794843,548323,1000,/ BS
1794953_555688_BS,1794953,555688,0100,/ BS
1795274_517983_BS,1795274,517983,1000,/ BS
1795663_562511_BS,1795663,562511,0001,/ BS
1795741_540871_BS,1795741,540871,1000,/ BS
1795743_526531_BS,1795743,526531,1000,/ BS
1795798_524411_BS,1795798,524411,0001,/ BS
1795830_553742_BS,1795830,553742,0010,/ BS
1796435_533304_BS,1796435,533304,0001,/ BS
1796439_544621_BS,1796439,544621,0100,/ BS
1796697_515888_BS,1796697,515888,0100,/ BS
1796779_521919_BS,1796779,521919,0100,/ BS
1796827_531792_BS,1796827,531792,0001,/ BS
1796873_568474_BS,1796873,568474,0010,/ BS
1797215_533905_BS,1797215,533905,1000,/ BS
1797765_574377_BS,1797765,574377,1000,/ BS
1798397_553615_BS,1798397,553615,0001,/ BS
1798472_560200_BS,1798472,560200,0001,/ BS
1798483_556212_BS,1798483,556212,0010,/ BS
1798540_510925_BS,1798540,510925,0010,/ BS
1798590_539149_BS,1798590,539149,0001,/ BS
1798814_546193_BS,1798814,546193,0010,/ BS
1799297_579967_BS,1799297,579967,0100,/ BS
1799448_581879_BS,1799448,581879,1000,/ BS
1799517_577017_BS,1799517,577017,0010,/ BS
1799753_549661_BS,1799753,549661,0100,/ BS
1799776_507187_BS,1799776,507187,1000,/ BS
1799781_567341_BS,1799781,567341,0001,/ BS
1799843_520049_BS,1799843,520049,0010,/ BS
1799922_528484_BS,1799922,528484,1000,/ BS
1800109_524466_BS,1800109,524466,0001,/ BS
