#Detector,X,Y,Usage,Trap_Type
1713154_528195_BS,1713154,528195,1111,/ BS
1715382_530885_BS,1715382,530885,1111,/ BS
1716879_527566_BS,1716879,527566,1111,/ BS
1717849_537707_BS,1717849,537707,1111,/ BS
1719129_541346_BS,1719129,541346,1111,/ BS
1720110_531995_BS,1720110,531995,1111,/ BS
1720443_527882_BS,1720443,527882,1111,/ BS
1720805_547043_BS,1720805,547043,1111,/ BS
1720953_545454_BS,1720953,545454,1111,/ BS
1721354_524826_BS,1721354,524826,1111,/ BS
1722806_538273_BS,1722806,538273,1111,/ BS
1723296_531286_BS,1723296,531286,1111,/ BS
1725276_517649_BS,1725276,517649,1111,/ BS
1725820_522732_BS,1725820,522732,1111,/ BS
1726257_540627_BS,1726257,540627,1111,/ BS
1726827_530394_BS,1726827,530394,1111,/ BS
1727023_542913_BS,1727023,542913,1111,/ BS
1729273_525014_BS,1729273,525014,1111,/ BS
1729764_547831_BS,1729764,547831,1111,/ BS
1730180_534005_BS,1730180,534005,1111,/ BS
1730365_543566_BS,1730365,543566,1111,/ BS
1731572_529584_BS,1731572,529584,1111,/ BS
1732206_548757_BS,1732206,548757,1111,/ BS
1733096_519637_BS,1733096,519637,1111,/ BS
1734289_528202_BS,1734289,528202,1111,/ BS
1734595_526593_BS,1734595,526593,1111,/ BS
1734960_541717_BS,1734960,541717,1111,/ BS
1735644_532484_BS,1735644,532484,1111,/ BS
1736187_521080_BS,1736187,521080,1111,/ BS
1737434_543366_BS,1737434,543366,1111,/ BS
1737949_524314_BS,1737949,524314,1111,/ BS
1739693_530299_BS,1739693,530299,1111,/ BS
1739833_535387_BS,1739833,535387,1111,/ BS
1740548_539918_BS,1740548,539918,1111,/ BS
1741579_536621_BS,1741579,536621,1111,/ BS
1741960_520519_BS,1741960,520519,1111,/ BS
1743228_527705_BS,1743228,527705,1111,/ BS
1744461_516443_BS,1744461,516443,1111,/ BS
1744614_541113_BS,1744614,541113,1111,/ BS
1747088_530250_BS,1747088,530250,1111,/ BS
1747560_532185_BS,1747560,532185,1111,/ BS
1747885_523915_BS,1747885,523915,1111,/ BS
1749383_535458_BS,1749383,535458,1111,/ BS
1750415_526092_BS,1750415,526092,1111,/ BS
1753061_523128_BS,1753061,523128,1111,/ BS
