#Detector,X,Y,Usage,Trap_Type
1277366_1066825_BS,1277366,1066825,0001,/ BS
1278388_1063547_BS,1278388,1063547,0001,/ BS
1279529_1065820_BS,1279529,1065820,0010,/ BS
1280368_1062163_BS,1280368,1062163,0100,/ BS
1282738_1066246_BS,1282738,1066246,1000,/ BS
1282756_1057781_BS,1282756,1057781,1000,/ BS
1282832_1071619_BS,1282832,1071619,0100,/ BS
1284260_1052417_BS,1284260,1052417,1000,/ BS
1284577_1057699_BS,1284577,1057699,0010,/ BS
1285186_1070274_BS,1285186,1070274,0001,/ BS
1286503_1072735_BS,1286503,1072735,0100,/ BS
1286683_1079793_BS,1286683,1079793,1000,/ BS
1287310_1059206_BS,1287310,1059206,0010,/ BS
1287702_1056089_BS,1287702,1056089,0001,/ BS
1287858_1065634_BS,1287858,1065634,0100,/ BS
1288193_1077678_BS,1288193,1077678,0001,/ BS
1288419_1050282_BS,1288419,1050282,0100,/ BS
1290340_1065024_BS,1290340,1065024,0010,/ BS
1290382_1075903_BS,1290382,1075903,0010,/ BS
1290445_1068359_BS,1290445,1068359,1000,/ BS
1291012_1062384_BS,1291012,1062384,1000,/ BS
1291835_1057006_BS,1291835,1057006,0100,/ BS
1292380_1085644_BS,1292380,1085644,0001,/ BS
1293394_1063473_BS,1293394,1063473,0001,/ BS
1293443_1088991_BS,1293443,1088991,1000,/ BS
1294199_1052919_BS,1294199,1052919,0010,/ BS
1294318_1054688_BS,1294318,1054688,0010,/ BS
1294665_1050966_BS,1294665,1050966,0001,/ BS
1294812_1039935_BS,1294812,1039935,0100,/ BS
1295057_1078660_BS,1295057,1078660,0010,/ BS
1295141_1080146_BS,1295141,1080146,1000,/ BS
1295194_1063714_BS,1295194,1063714,0100,/ BS
1296940_1060521_BS,1296940,1060521,1000,/ BS
1297217_1075085_BS,1297217,1075085,0100,/ BS
1298027_1042420_BS,1298027,1042420,0001,/ BS
1298127_1048269_BS,1298127,1048269,1000,/ BS
1298198_1064816_BS,1298198,1064816,0010,/ BS
1298603_1045914_BS,1298603,1045914,0010,/ BS
1298945_1044416_BS,1298945,1044416,0100,/ BS
1299508_1050852_BS,1299508,1050852,1000,/ BS
1299531_1058519_BS,1299531,1058519,0010,/ BS
1299570_1086246_BS,1299570,1086246,0100,/ BS
1299852_1052675_BS,1299852,1052675,0100,/ BS
1299888_1060779_BS,1299888,1060779,0001,/ BS
1300086_1071343_BS,1300086,1071343,0001,/ BS
1300170_1077281_BS,1300170,1077281,0001,/ BS
1300297_1066591_BS,1300297,1066591,0100,/ BS
1300683_1035502_BS,1300683,1035502,1000,/ BS
1300825_1039296_BS,1300825,1039296,0010,/ BS
1301584_1071035_BS,1301584,1071035,1000,/ BS
1301978_1048023_BS,1301978,1048023,1000,/ BS
1302330_1076147_BS,1302330,1076147,0010,/ BS
1302512_1034975_BS,1302512,1034975,0001,/ BS
1302700_1036007_BS,1302700,1036007,0010,/ BS
1302746_1082619_BS,1302746,1082619,0010,/ BS
1302776_1063194_BS,1302776,1063194,0100,/ BS
1304088_1073560_BS,1304088,1073560,0100,/ BS
1304345_1065373_BS,1304345,1065373,0010,/ BS
1304392_1033189_BS,1304392,1033189,1000,/ BS
1304425_1061496_BS,1304425,1061496,0010,/ BS
