#Detector,X,Y,Usage,Trap_Type
1651199_636450_BS,1651199,636450,1111,/ BS
1651378_626384_BS,1651378,626384,1111,/ BS
1651497_623877_BS,1651497,623877,1111,/ BS
1652617_614336_BS,1652617,614336,1111,/ BS
1653610_618397_BS,1653610,618397,1111,/ BS
1654238_636335_BS,1654238,636335,1111,/ BS
1654810_631867_BS,1654810,631867,1111,/ BS
1655879_643204_BS,1655879,643204,1111,/ BS
1656143_617511_BS,1656143,617511,1111,/ BS
1656581_620391_BS,1656581,620391,1111,/ BS
1656886_642425_BS,1656886,642425,1111,/ BS
1658009_628140_BS,1658009,628140,1111,/ BS
1658044_645196_BS,1658044,645196,1111,/ BS
1659035_645323_BS,1659035,645323,1000,/ BS
1660495_658326_BS,1660495,658326,1111,/ BS
1660760_641306_BS,1660760,641306,1111,/ BS
1661387_623024_BS,1661387,623024,1111,/ BS
1662629_662131_BS,1662629,662131,1111,/ BS
1662858_648537_BS,1662858,648537,1111,/ BS
1663135_635355_BS,1663135,635355,1111,/ BS
1664373_628047_BS,1664373,628047,1111,/ BS
1665322_641890_BS,1665322,641890,1111,/ BS
1665426_652095_BS,1665426,652095,1111,/ BS
1665548_636975_BS,1665548,636975,1111,/ BS
1666502_629531_BS,1666502,629531,1111,/ BS
1667031_654521_BS,1667031,654521,1111,/ BS
1667540_638744_BS,1667540,638744,1111,/ BS
1668664_628395_BS,1668664,628395,1111,/ BS
1668853_662323_BS,1668853,662323,1111,/ BS
1669510_658774_BS,1669510,658774,1111,/ BS
1670462_636394_BS,1670462,636394,1111,/ BS
1670505_650223_BS,1670505,650223,1111,/ BS
1670843_641286_BS,1670843,641286,1111,/ BS
1671779_639489_BS,1671779,639489,1000,/ BS
1672549_646853_BS,1672549,646853,1111,/ BS
1672675_630927_BS,1672675,630927,1111,/ BS
1673306_627578_BS,1673306,627578,1111,/ BS
1673715_662139_BS,1673715,662139,1111,/ BS
1674091_641904_BS,1674091,641904,1111,/ BS
1674681_639659_BS,1674681,639659,1111,/ BS
1674868_654718_BS,1674868,654718,1111,/ BS
1675063_659486_BS,1675063,659486,1111,/ BS
1675852_634462_BS,1675852,634462,1111,/ BS
1676160_627338_BS,1676160,627338,1111,/ BS
1677287_624052_BS,1677287,624052,1111,/ BS
1677807_639656_BS,1677807,639656,1111,/ BS
1678126_663108_BS,1678126,663108,1111,/ BS
1679113_645979_BS,1679113,645979,1111,/ BS
1679712_641313_BS,1679712,641313,1111,/ BS
1679939_628529_BS,1679939,628529,1111,/ BS
1680072_659724_BS,1680072,659724,1111,/ BS
1680816_663352_BS,1680816,663352,1111,/ BS
1681050_634018_BS,1681050,634018,1111,/ BS
1681865_657532_BS,1681865,657532,1111,/ BS
1683483_640989_BS,1683483,640989,1111,/ BS
1683501_654210_BS,1683501,654210,1111,/ BS
1685234_636775_BS,1685234,636775,1111,/ BS
1685235_643838_BS,1685235,643838,1111,/ BS
1685418_666768_BS,1685418,666768,1111,/ BS
1685726_656514_BS,1685726,656514,1111,/ BS
1686401_651252_BS,1686401,651252,1111,/ BS
1686527_654195_BS,1686527,654195,1111,/ BS
1687500_648971_BS,1687500,648971,1111,/ BS
1688279_646044_BS,1688279,646044,1111,/ BS
1690624_641906_BS,1690624,641906,1111,/ BS
