#Detector,X,Y,Usage,Trap_Type
1502996_561891_BS,1502996,561891,1111,/ BS
1508333_558903_BS,1508333,558903,1111,/ BS
1509658_552120_BS,1509658,552120,0111,/ BS
1511795_564582_BS,1511795,564582,1111,/ BS
1512202_578480_BS,1512202,578480,0111,/ BS
1512806_547708_BS,1512806,547708,1111,/ BS
1514058_550358_BS,1514058,550358,1111,/ BS
1514350_574301_BS,1514350,574301,1111,/ BS
1515283_585536_BS,1515283,585536,0111,/ BS
1515322_566867_BS,1515322,566867,1111,/ BS
1516602_590436_BS,1516602,590436,1111,/ BS
1516929_575224_BS,1516929,575224,1111,/ BS
1517451_579603_BS,1517451,579603,1111,/ BS
1518206_548497_BS,1518206,548497,1111,/ BS
1518669_597981_BS,1518669,597981,1111,/ BS
1518982_555802_BS,1518982,555802,1111,/ BS
1519377_595497_BS,1519377,595497,1111,/ BS
1522041_587958_BS,1522041,587958,0111,/ BS
1524436_594530_BS,1524436,594530,1111,/ BS
1525082_596958_BS,1525082,596958,1111,/ BS
1525591_556628_BS,1525591,556628,1111,/ BS
1526561_582597_BS,1526561,582597,1111,/ BS
1527142_569446_BS,1527142,569446,1111,/ BS
1527533_511406_BS,1527533,511406,1111,/ BS
1527867_540912_BS,1527867,540912,1101,/ BS
1528044_530849_BS,1528044,530849,1111,/ BS
1528123_543320_BS,1528123,543320,1111,/ BS
1529032_583327_BS,1529032,583327,1111,/ BS
1529346_539606_BS,1529346,539606,1111,/ BS
1529478_558169_BS,1529478,558169,1111,/ BS
1530000_532519_BS,1530000,532519,1111,/ BS
1531092_521750_BS,1531092,521750,1111,/ BS
1531112_512847_BS,1531112,512847,1111,/ BS
1531549_571355_BS,1531549,571355,1111,/ BS
1532172_598381_BS,1532172,598381,1111,/ BS
1532556_541911_BS,1532556,541911,1111,/ BS
1532749_532361_BS,1532749,532361,1111,/ BS
1533058_595148_BS,1533058,595148,1111,/ BS
1533524_496313_BS,1533524,496313,1111,/ BS
1534315_538973_BS,1534315,538973,0111,/ BS
1534927_542274_BS,1534927,542274,1111,/ BS
1535034_547781_BS,1535034,547781,1111,/ BS
1535554_503214_BS,1535554,503214,1111,/ BS
1535798_583466_BS,1535798,583466,1111,/ BS
1536092_577318_BS,1536092,577318,1111,/ BS
1536461_566747_BS,1536461,566747,1111,/ BS
1536575_494760_BS,1536575,494760,1111,/ BS
1536659_505847_BS,1536659,505847,0111,/ BS
1536943_575363_BS,1536943,575363,1111,/ BS
1537154_550656_BS,1537154,550656,1111,/ BS
1537879_561542_BS,1537879,561542,1111,/ BS
1537933_583795_BS,1537933,583795,1111,/ BS
1538228_498949_BS,1538228,498949,1111,/ BS
1540519_530930_BS,1540519,530930,1111,/ BS
1540711_585001_BS,1540711,585001,0111,/ BS
1541193_525490_BS,1541193,525490,0111,/ BS
1541407_575427_BS,1541407,575427,1111,/ BS
1542031_569141_BS,1542031,569141,1111,/ BS
1542364_536389_BS,1542364,536389,0111,/ BS
1543068_574000_BS,1543068,574000,0111,/ BS
1543347_491553_BS,1543347,491553,1111,/ BS
1545455_545021_BS,1545455,545021,1111,/ BS
1545483_550161_BS,1545483,550161,0111,/ BS
1546141_553979_BS,1546141,553979,1111,/ BS
1546317_569825_BS,1546317,569825,0111,/ BS
1546385_560085_BS,1546385,560085,1111,/ BS
1546398_573542_BS,1546398,573542,1111,/ BS
1547323_566223_BS,1547323,566223,0011,/ BS
1548365_578216_BS,1548365,578216,1111,/ BS
1549341_515547_BS,1549341,515547,1111,/ BS
1550259_540288_BS,1550259,540288,1111,/ BS
1550671_520726_BS,1550671,520726,1111,/ BS
1552116_568305_BS,1552116,568305,1111,/ BS
1552792_576874_BS,1552792,576874,1111,/ BS
1553642_557786_BS,1553642,557786,1111,/ BS
1554193_493030_BS,1554193,493030,1111,/ BS
1554652_549115_BS,1554652,549115,1111,/ BS
1555418_521846_BS,1555418,521846,1111,/ BS
1555480_496862_BS,1555480,496862,1111,/ BS
1556285_529351_BS,1556285,529351,1111,/ BS
1557271_513267_BS,1557271,513267,1111,/ BS
1557340_524738_BS,1557340,524738,1111,/ BS
1558214_570454_BS,1558214,570454,1111,/ BS
1558382_537267_BS,1558382,537267,1111,/ BS
1558849_532972_BS,1558849,532972,1111,/ BS
1559548_547362_BS,1559548,547362,1111,/ BS
1559993_540746_BS,1559993,540746,1111,/ BS
1560950_560358_BS,1560950,560358,1111,/ BS
1561444_515799_BS,1561444,515799,1111,/ BS
1561795_485467_BS,1561795,485467,1111,/ BS
1562770_555571_BS,1562770,555571,1111,/ BS
1564145_510426_BS,1564145,510426,1111,/ BS
1564655_477909_BS,1564655,477909,1111,/ BS
1567912_500170_BS,1567912,500170,1111,/ BS
1569412_498745_BS,1569412,498745,1111,/ BS
1572922_492210_BS,1572922,492210,1111,/ BS
1573852_513594_BS,1573852,513594,1111,/ BS
1574395_509494_BS,1574395,509494,1111,/ BS
1574688_476777_BS,1574688,476777,1111,/ BS
