#Detector,X,Y,Usage,Trap_Type
1000488_672337_BS,1000488,672337,01001,/ BS
1001204_686842_BS,1001204,686842,01010,/ BS
1001555_671585_BS,1001555,671585,10010,/ BS
1001656_689154_BS,1001656,689154,10000,/ BS
1002607_681421_BS,1002607,681421,01010,/ BS
1003220_687609_BS,1003220,687609,00101,/ BS
1003235_680063_BS,1003235,680063,10101,/ BS
1004041_670295_BS,1004041,670295,00100,/ BS
1004274_665566_BS,1004274,665566,01111,/ BS
1006396_687430_BS,1006396,687430,11111,/ BS
1007214_671553_BS,1007214,671553,11111,/ BS
957534_720062_BS,957534,720062,01111,/ BS
958115_686207_BS,958115,686207,11111,/ BS
961489_665500_BS,961489,665500,01111,/ BS
962422_683910_BS,962422,683910,01000,/ BS
962562_669568_BS,962562,669568,11111,/ BS
963068_691432_BS,963068,691432,00010,/ BS
963240_680307_BS,963240,680307,10111,/ BS
963323_704217_BS,963323,704217,01111,/ BS
963473_673785_BS,963473,673785,10011,/ BS
963509_693378_BS,963509,693378,10101,/ BS
963691_673014_BS,963691,673014,01100,/ BS
963796_689528_BS,963796,689528,10100,/ BS
963951_669466_BS,963951,669466,11111,/ BS
964172_687809_BS,964172,687809,01001,/ BS
964179_694730_BS,964179,694730,01010,/ BS
964563_673703_BS,964563,673703,00010,/ BS
965025_683906_BS,965025,683906,10000,/ BS
965642_695696_BS,965642,695696,10000,/ BS
965647_686239_BS,965647,686239,00100,/ BS
965685_663477_BS,965685,663477,01110,/ BS
966070_675523_BS,966070,675523,01001,/ BS
966414_684449_BS,966414,684449,00010,/ BS
966557_682141_BS,966557,682141,01001,/ BS
966686_680536_BS,966686,680536,00100,/ BS
967738_677271_BS,967738,677271,10000,/ BS
967853_692729_BS,967853,692729,00010,/ BS
967907_696655_BS,967907,696655,00001,/ BS
967967_703648_BS,967967,703648,10000,/ BS
968443_701807_BS,968443,701807,01001,/ BS
968447_704625_BS,968447,704625,00100,/ BS
969037_711837_BS,969037,711837,00010,/ BS
969110_658825_BS,969110,658825,10001,/ BS
969165_678241_BS,969165,678241,00100,/ BS
969327_696680_BS,969327,696680,01000,/ BS
970000_686883_BS,970000,686883,01001,/ BS
970016_688000_BS,970016,688000,10010,/ BS
970190_714804_BS,970190,714804,11111,/ BS
970268_708433_BS,970268,708433,10000,/ BS
970388_705247_BS,970388,705247,00010,/ BS
970466_713322_BS,970466,713322,00100,/ BS
970965_707674_BS,970965,707674,01001,/ BS
971263_662628_BS,971263,662628,10000,/ BS
971450_696718_BS,971450,696718,00100,/ BS
971594_676093_BS,971594,676093,01000,/ BS
972445_697400_BS,972445,697400,10111,/ BS
972553_688296_BS,972553,688296,10101,/ BS
973105_674518_BS,973105,674518,00010,/ BS
973901_671139_BS,973901,671139,10000,/ BS
973910_674111_BS,973910,674111,00101,/ BS
974096_688451_BS,974096,688451,01010,/ BS
974106_698350_BS,974106,698350,01000,/ BS
974184_712022_BS,974184,712022,00100,/ BS
974479_679293_BS,974479,679293,00100,/ BS
974906_683782_BS,974906,683782,10001,/ BS
975047_708305_BS,975047,708305,10001,/ BS
975128_681469_BS,975128,681469,01010,/ BS
975215_657898_BS,975215,657898,00100,/ BS
975241_672149_BS,975241,672149,10000,/ BS
975283_706085_BS,975283,706085,11111,/ BS
975467_709553_BS,975467,709553,01000,/ BS
975852_662899_BS,975852,662899,01000,/ BS
976410_658222_BS,976410,658222,00011,/ BS
976544_668371_BS,976544,668371,01111,/ BS
977037_710165_BS,977037,710165,00010,/ BS
978734_688062_BS,978734,688062,00011,/ BS
978829_668235_BS,978829,668235,00110,/ BS
980141_680718_BS,980141,680718,01101,/ BS
980651_702589_BS,980651,702589,00011,/ BS
980686_669041_BS,980686,669041,11001,/ BS
980747_676832_BS,980747,676832,00001,/ BS
981230_680261_BS,981230,680261,10000,/ BS
981687_681942_BS,981687,681942,00010,/ BS
982026_706489_BS,982026,706489,10101,/ BS
982326_702463_BS,982326,702463,01000,/ BS
982378_660484_BS,982378,660484,11111,/ BS
982806_704581_BS,982806,704581,00100,/ BS
983067_671494_BS,983067,671494,01000,/ BS
983115_676681_BS,983115,676681,10100,/ BS
983924_671809_BS,983924,671809,00010,/ BS
984168_693941_BS,984168,693941,01001,/ BS
984558_699937_BS,984558,699937,10000,/ BS
984574_707574_BS,984574,707574,01010,/ BS
984899_696496_BS,984899,696496,00010,/ BS
985055_698175_BS,985055,698175,10100,/ BS
985341_689680_BS,985341,689680,01100,/ BS
985756_659457_BS,985756,659457,01000,/ BS
986157_654255_BS,986157,654255,11111,/ BS
986632_687526_BS,986632,687526,01000,/ BS
986687_661959_BS,986687,661959,10000,/ BS
986975_656671_BS,986975,656671,00100,/ BS
987124_699242_BS,987124,699242,01000,/ BS
987329_659232_BS,987329,659232,00011,/ BS
987620_673780_BS,987620,673780,00010,/ BS
987643_688538_BS,987643,688538,00010,/ BS
988291_685628_BS,988291,685628,00100,/ BS
988747_671462_BS,988747,671462,10000,/ BS
988795_674649_BS,988795,674649,01001,/ BS
989064_682653_BS,989064,682653,00010,/ BS
989177_668894_BS,989177,668894,10000,/ BS
989282_700507_BS,989282,700507,10010,/ BS
989839_691212_BS,989839,691212,00001,/ BS
989850_702487_BS,989850,702487,00101,/ BS
989968_678037_BS,989968,678037,00100,/ BS
990047_668942_BS,990047,668942,00010,/ BS
990116_666895_BS,990116,666895,00100,/ BS
990189_680078_BS,990189,680078,01001,/ BS
990274_676785_BS,990274,676785,00100,/ BS
990443_681201_BS,990443,681201,10000,/ BS
991294_668346_BS,991294,668346,01001,/ BS
991491_692620_BS,991491,692620,11111,/ BS
992003_665066_BS,992003,665066,00100,/ BS
992875_669603_BS,992875,669603,10000,/ BS
993949_682414_BS,993949,682414,01010,/ BS
994358_663532_BS,994358,663532,00010,/ BS
994834_662302_BS,994834,662302,11111,/ BS
995193_683652_BS,995193,683652,10101,/ BS
995221_671878_BS,995221,671878,00101,/ BS
996124_667388_BS,996124,667388,01001,/ BS
997012_684588_BS,997012,684588,10101,/ BS
997034_673275_BS,997034,673275,01000,/ BS
997892_676341_BS,997892,676341,10010,/ BS
998546_693382_BS,998546,693382,11111,/ BS
998775_685621_BS,998775,685621,01010,/ BS
999773_666900_BS,999773,666900,11111,/ BS
