#Detector,X,Y,Usage,Trap_Type
1262554_956621_BS,1262554,956621,00100,/ BS
1264074_961660_BS,1264074,961660,11000,/ BS
1267491_954196_BS,1267491,954196,01000,/ BS
1267613_958710_BS,1267613,958710,10000,/ BS
1269153_949761_BS,1269153,949761,01000,/ BS
1269925_960134_BS,1269925,960134,01100,/ BS
1270254_948404_BS,1270254,948404,00100,/ BS
1271958_965942_BS,1271958,965942,01100,/ BS
1273630_948587_BS,1273630,948587,00100,/ BS
1273738_952360_BS,1273738,952360,00100,/ BS
1274008_958613_BS,1274008,958613,10000,/ BS
1274343_944081_BS,1274343,944081,00100,/ BS
1274755_969656_BS,1274755,969656,01100,/ BS
1275218_937016_BS,1275218,937016,00100,/ BS
1275460_949834_BS,1275460,949834,11000,/ BS
1277084_942027_BS,1277084,942027,11000,/ BS
1277322_954141_BS,1277322,954141,01000,/ BS
1277375_968370_BS,1277375,968370,00100,/ BS
1278081_971255_BS,1278081,971255,10000,/ BS
1278931_961334_BS,1278931,961334,00100,/ BS
1279090_938270_BS,1279090,938270,01000,/ BS
1279294_950734_BS,1279294,950734,10000,/ BS
1280193_957055_BS,1280193,957055,10000,/ BS
1280904_947716_BS,1280904,947716,00100,/ BS
1282152_962541_BS,1282152,962541,01100,/ BS
1282175_946996_BS,1282175,946996,11000,/ BS
1282284_933303_BS,1282284,933303,10000,/ BS
1282463_931398_BS,1282463,931398,10000,/ BS
1282576_975899_BS,1282576,975899,10000,/ BS
1282834_955651_BS,1282834,955651,01000,/ BS
1282968_929153_BS,1282968,929153,01000,/ BS
1283789_962072_BS,1283789,962072,10000,/ BS
1283842_974148_BS,1283842,974148,00100,/ BS
1284694_935724_BS,1284694,935724,11000,/ BS
1284809_944628_BS,1284809,944628,01000,/ BS
1284918_940483_BS,1284918,940483,01000,/ BS
1284921_930172_BS,1284921,930172,11000,/ BS
1285122_945367_BS,1285122,945367,01000,/ BS
1285961_928584_BS,1285961,928584,00100,/ BS
1286051_953457_BS,1286051,953457,00100,/ BS
1286367_968536_BS,1286367,968536,10000,/ BS
1286546_966689_BS,1286546,966689,01100,/ BS
1286934_962240_BS,1286934,962240,00111,/ BS
1287845_961932_BS,1287845,961932,00111,/ BS
1287921_976382_BS,1287921,976382,01000,/ BS
1287951_948704_BS,1287951,948704,00100,/ BS
1288178_934138_BS,1288178,934138,01000,/ BS
1288261_940108_BS,1288261,940108,00100,/ BS
1288346_959062_BS,1288346,959062,00111,/ BS
1288365_959167_BS,1288365,959167,10111,/ BS
1288408_956655_BS,1288408,956655,10111,/ BS
1288519_929598_BS,1288519,929598,11000,/ BS
1288752_960444_BS,1288752,960444,00100,/ BS
1289014_960273_BS,1289014,960273,10111,/ BS
1289167_946653_BS,1289167,946653,10000,/ BS
1289248_950802_BS,1289248,950802,01000,/ BS
1289329_923796_BS,1289329,923796,00100,/ BS
1290286_935514_BS,1290286,935514,10100,/ BS
1290911_944229_BS,1290911,944229,10000,/ BS
1291379_961523_BS,1291379,961523,10111,/ BS
1291584_961710_BS,1291584,961710,10111,/ BS
1291743_932002_BS,1291743,932002,11000,/ BS
1291743_969699_BS,1291743,969699,10000,/ BS
1292382_924592_BS,1292382,924592,00100,/ BS
1292595_949742_BS,1292595,949742,11111,/ BS
1292602_975395_BS,1292602,975395,00100,/ BS
1292704_952614_BS,1292704,952614,10000,/ BS
1293237_921595_BS,1293237,921595,01000,/ BS
1293914_947130_BS,1293914,947130,10111,/ BS
1294135_970209_BS,1294135,970209,01100,/ BS
1294218_946429_RT,1294218,946429,00111,/ RT
1294678_945187_BS,1294678,945187,11111,/ BS
1294988_952841_BS,1294988,952841,01000,/ BS
1295061_943906_BS,1295061,943906,00100,/ BS
1295149_962232_BS,1295149,962232,10000,/ BS
1295654_942230_BS,1295654,942230,01100,/ BS
1295905_939707_BS,1295905,939707,01000,/ BS
1296143_922483_BS,1296143,922483,11000,/ BS
1296237_953626_BS,1296237,953626,00100,/ BS
1296395_973330_BS,1296395,973330,10000,/ BS
1296462_943040_BS,1296462,943040,00111,/ BS
1296684_941870_BS,1296684,941870,11111,/ BS
1297034_928371_BS,1297034,928371,01000,/ BS
1297173_938178_BS,1297173,938178,00100,/ BS
1297566_945662_BS,1297566,945662,10000,/ BS
1298051_964065_BS,1298051,964065,01000,/ BS
1298560_932925_BS,1298560,932925,10000,/ BS
1298585_927871_BS,1298585,927871,11000,/ BS
1298589_939129_BS,1298589,939129,11111,/ BS
1298703_971229_BS,1298703,971229,01000,/ BS
1299144_928755_BS,1299144,928755,00100,/ BS
1299868_967415_BS,1299868,967415,00100,/ BS
1300373_935699_RT,1300373,935699,00011,/ RT
1300556_956095_BS,1300556,956095,01000,/ BS
1300572_935277_BS,1300572,935277,11111,/ BS
1300790_934379_BS,1300790,934379,11111,/ BS
1300820_932691_BS,1300820,932691,11111,/ BS
1300839_933396_BS,1300839,933396,11111,/ BS
1301061_929883_BS,1301061,929883,11111,/ BS
1301189_933969_BS,1301189,933969,11111,/ BS
1301580_928971_BS,1301580,928971,01111,/ BS
1301756_947842_BS,1301756,947842,01000,/ BS
1301790_958853_BS,1301790,958853,11000,/ BS
1302158_943536_BS,1302158,943536,10111,/ BS
1302778_938462_BS,1302778,938462,10000,/ BS
1303069_945587_BS,1303069,945587,00100,/ BS
1303157_932075_BS,1303157,932075,01000,/ BS
1303365_960320_BS,1303365,960320,00100,/ BS
1303502_943932_BS,1303502,943932,00100,/ BS
1304167_970913_BS,1304167,970913,01100,/ BS
1304233_925755_BS,1304233,925755,01111,/ BS
1304286_951405_BS,1304286,951405,10000,/ BS
1304323_932689_BS,1304323,932689,00100,/ BS
1304340_949356_BS,1304340,949356,11000,/ BS
1304381_927115_RT,1304381,927115,01111,/ RT
1304959_927123_RT,1304959,927123,01111,/ RT
1305312_967460_BS,1305312,967460,10000,/ BS
1305538_939356_BS,1305538,939356,01100,/ BS
1307945_960670_BS,1307945,960670,00100,/ BS
1309784_933565_BS,1309784,933565,10000,/ BS
1309871_959467_BS,1309871,959467,01000,/ BS
1310009_948642_BS,1310009,948642,00100,/ BS
1310241_963788_BS,1310241,963788,10000,/ BS
1310718_945774_BS,1310718,945774,00100,/ BS
1312380_951960_BS,1312380,951960,01000,/ BS
1313434_943642_BS,1313434,943642,10000,/ BS
1313555_935196_BS,1313555,935196,00100,/ BS
1313562_957910_BS,1313562,957910,11000,/ BS
1314510_952939_BS,1314510,952939,00100,/ BS
1314974_948546_BS,1314974,948546,01100,/ BS
1316759_936272_BS,1316759,936272,10000,/ BS
1317243_948005_BS,1317243,948005,10000,/ BS
1318026_941272_BS,1318026,941272,10000,/ BS
1321095_938001_BS,1321095,938001,01000,/ BS
1322584_939968_BS,1322584,939968,00100,/ BS
