#Detector,X,Y,Usage,Trap_Type
636393_1377499_BS,636393,1377499,1111,/ BS
638719_1388392_BS,638719,1388392,1111,/ BS
641015_1377909_RT,641015,1377909,0011,/ RT
643146_1354322_BS,643146,1354322,0111,/ BS
643544_1345388_BS,643544,1345388,1000,/ BS
643932_1391897_BS,643932,1391897,0001,/ BS
644958_1341137_BS,644958,1341137,0111,/ BS
645122_1368867_BS,645122,1368867,1110,/ BS
645672_1317386_RT,645672,1317386,0111,/ RT
646438_1309363_BS,646438,1309363,0100,/ BS
646804_1327456_RT,646804,1327456,0001,/ RT
646896_1381175_RT,646896,1381175,0111,/ RT
647004_1343931_RT,647004,1343931,0110,/ RT
647116_1383434_BS,647116,1383434,0111,/ BS
647796_1376007_BS,647796,1376007,0100,/ BS
647812_1375566_RT,647812,1375566,0001,/ RT
647892_1377872_BS,647892,1377872,0100,/ BS
648030_1375167_RT,648030,1375167,0111,/ RT
648234_1373688_BS,648234,1373688,0100,/ BS
648373_1322836_BS,648373,1322836,0111,/ BS
648378_1308861_RT,648378,1308861,0011,/ RT
648528_1366650_BS,648528,1366650,1000,/ BS
648825_1308065_RT,648825,1308065,0111,/ RT
648922_1329132_RT,648922,1329132,0111,/ RT
649003_1351056_BS,649003,1351056,0001,/ BS
649353_1382025_BS,649353,1382025,0111,/ BS
649786_1322992_RT,649786,1322992,0001,/ RT
650073_1389252_BS,650073,1389252,1111,/ BS
650403_1307877_RT,650403,1307877,0111,/ RT
650537_1338109_BS,650537,1338109,0001,/ BS
650707_1335500_RT,650707,1335500,0111,/ RT
651070_1307082_RT,651070,1307082,0111,/ RT
651157_1320705_BS,651157,1320705,0111,/ BS
651392_1383060_RT,651392,1383060,0111,/ RT
651967_1323966_BS,651967,1323966,0111,/ BS
652577_1348080_BS,652577,1348080,0001,/ BS
652583_1381128_RT,652583,1381128,0111,/ RT
653076_1315220_BS,653076,1315220,1111,/ BS
653839_1335203_BS,653839,1335203,0011,/ BS
654621_1365574_RT,654621,1365574,0011,/ RT
655037_1357605_RT,655037,1357605,0001,/ RT
655399_1366562_RT,655399,1366562,0011,/ RT
655506_1318279_RT,655506,1318279,0111,/ RT
655855_1364950_BS,655855,1364950,0011,/ BS
655938_1379743_BS,655938,1379743,0001,/ BS
656207_1318328_BS,656207,1318328,0111,/ BS
656320_1382996_RT,656320,1382996,0001,/ RT
657247_1324439_BS,657247,1324439,0001,/ BS
