#Detector,X,Y,Usage,Trap_Type
776523_1240304_BS,776523,1240304,111,/ BS
784262_1238352_BS,784262,1238352,111,/ BS
792777_1239608_BS,792777,1239608,111,/ BS
794778_1251015_BS,794778,1251015,111,/ BS
795523_1243356_BS,795523,1243356,111,/ BS
796993_1237734_BS,796993,1237734,111,/ BS
797222_1234402_BS,797222,1234402,111,/ BS
801144_1239515_BS,801144,1239515,111,/ BS
806605_1233293_BS,806605,1233293,111,/ BS
807984_1235432_BS,807984,1235432,111,/ BS
810242_1229776_BS,810242,1229776,111,/ BS
811230_1215863_BS,811230,1215863,111,/ BS
811246_1226361_BS,811246,1226361,111,/ BS
814560_1221604_BS,814560,1221604,111,/ BS
815383_1210618_BS,815383,1210618,111,/ BS
817263_1218679_BS,817263,1218679,111,/ BS
818980_1203349_BS,818980,1203349,111,/ BS
820004_1208886_BS,820004,1208886,111,/ BS
823319_1195445_BS,823319,1195445,111,/ BS
823610_1199719_BS,823610,1199719,111,/ BS
825074_1221980_BS,825074,1221980,111,/ BS
825655_1212591_BS,825655,1212591,111,/ BS
826669_1180497_BS,826669,1180497,111,/ BS
826987_1218788_BS,826987,1218788,111,/ BS
828430_1192086_BS,828430,1192086,111,/ BS
829288_1175828_BS,829288,1175828,111,/ BS
830820_1221315_BS,830820,1221315,111,/ BS
831410_1187703_BS,831410,1187703,111,/ BS
834494_1177324_BS,834494,1177324,111,/ BS
836264_1185128_BS,836264,1185128,111,/ BS
836405_1178798_BS,836405,1178798,111,/ BS
