#Detector,X,Y,Usage,Trap_Type
1058348_1130605_BS,1058348,1130605,0011,/ BS
1060919_1130188_BS,1060919,1130188,0001,/ BS
1063646_1121523_BS,1063646,1121523,1110,/ BS
1064168_1130312_BS,1064168,1130312,1111,/ BS
1064669_1120967_BS,1064669,1120967,0001,/ BS
1065612_1117718_BS,1065612,1117718,0110,/ BS
1068308_1115055_BS,1068308,1115055,0001,/ BS
1068985_1108989_BS,1068985,1108989,1100,/ BS
1069139_1122568_BS,1069139,1122568,1000,/ BS
1071388_1103571_BS,1071388,1103571,0011,/ BS
1071970_1125572_BS,1071970,1125572,0010,/ BS
1072160_1114232_BS,1072160,1114232,1000,/ BS
1072642_1120302_BS,1072642,1120302,0001,/ BS
1074101_1115681_BS,1074101,1115681,1100,/ BS
1074288_1129953_BS,1074288,1129953,0001,/ BS
1076365_1126815_BS,1076365,1126815,0001,/ BS
1076752_1100826_BS,1076752,1100826,1110,/ BS
1078039_1120809_BS,1078039,1120809,1111,/ BS
1078357_1104752_BS,1078357,1104752,0011,/ BS
1079169_1117515_BS,1079169,1117515,0011,/ BS
1079225_1133965_BS,1079225,1133965,0111,/ BS
1079719_1103072_BS,1079719,1103072,0001,/ BS
1081804_1110695_BS,1081804,1110695,1110,/ BS
1081975_1121522_BS,1081975,1121522,1111,/ BS
1083327_1113774_BS,1083327,1113774,1100,/ BS
1083971_1097625_BS,1083971,1097625,0010,/ BS
1084151_1089920_BS,1084151,1089920,0100,/ BS
1084225_1124496_BS,1084225,1124496,0001,/ BS
1084282_1127759_BS,1084282,1127759,1111,/ BS
1084650_1092468_BS,1084650,1092468,0001,/ BS
1084951_1119806_BS,1084951,1119806,0011,/ BS
1085097_1114492_BS,1085097,1114492,0001,/ BS
1085327_1101797_BS,1085327,1101797,1100,/ BS
1085762_1112215_BS,1085762,1112215,0011,/ BS
1085860_1100965_BS,1085860,1100965,0001,/ BS
1086013_1096808_BS,1086013,1096808,1111,/ BS
1088481_1124711_BS,1088481,1124711,0110,/ BS
1088695_1086871_BS,1088695,1086871,1000,/ BS
1088695_1086871_RT,1088695,1086871,1000,/ RT
1088821_1126161_BS,1088821,1126161,0001,/ BS
1089482_1100209_BS,1089482,1100209,1100,/ BS
1089927_1109127_BS,1089927,1109127,1100,/ BS
1090426_1116981_BS,1090426,1116981,1000,/ BS
1091925_1096067_BS,1091925,1096067,0011,/ BS
1092385_1129921_BS,1092385,1129921,0111,/ BS
1092959_1124740_BS,1092959,1124740,1100,/ BS
1094336_1090977_BS,1094336,1090977,1100,/ BS
1094400_1107304_BS,1094400,1107304,0010,/ BS
1094401_1115516_BS,1094401,1115516,0111,/ BS
1095183_1099965_BS,1095183,1099965,0011,/ BS
1096761_1107758_BS,1096761,1107758,0001,/ BS
1096996_1124390_BS,1096996,1124390,0010,/ BS
1097336_1087298_BS,1097336,1087298,0011,/ BS
1097887_1089302_BS,1097887,1089302,1100,/ BS
1098084_1093081_BS,1098084,1093081,0010,/ BS
1098516_1115057_BS,1098516,1115057,0011,/ BS
1098912_1100704_BS,1098912,1100704,0001,/ BS
1099739_1125052_BS,1099739,1125052,1000,/ BS
1099874_1128444_BS,1099874,1128444,0100,/ BS
1100090_1110710_BS,1100090,1110710,0010,/ BS
1100607_1082143_BS,1100607,1082143,0100,/ BS
1100964_1111282_BS,1100964,1111282,0001,/ BS
1101784_1118381_BS,1101784,1118381,0110,/ BS
1102089_1125907_BS,1102089,1125907,0001,/ BS
1102111_1090814_BS,1102111,1090814,1100,/ BS
1102336_1086632_BS,1102336,1086632,0011,/ BS
1102711_1109818_BS,1102711,1109818,1100,/ BS
1103262_1100415_BS,1103262,1100415,0010,/ BS
1103432_1136619_BS,1103432,1136619,1100,/ BS
1104002_1093642_BS,1104002,1093642,0001,/ BS
1104086_1117870_BS,1104086,1117870,1000,/ BS
1104365_1079732_BS,1104365,1079732,1100,/ BS
1104627_1103199_BS,1104627,1103199,1100,/ BS
1104921_1137291_BS,1104921,1137291,1110,/ BS
1105093_1126919_BS,1105093,1126919,0100,/ BS
1105763_1117863_BS,1105763,1117863,0110,/ BS
1106361_1083380_BS,1106361,1083380,1000,/ BS
1106584_1137239_BS,1106584,1137239,0111,/ BS
1107148_1125518_BS,1107148,1125518,0001,/ BS
1108518_1126431_BS,1108518,1126431,1100,/ BS
1108611_1116406_BS,1108611,1116406,1000,/ BS
1108684_1111704_BS,1108684,1111704,0011,/ BS
1109017_1090413_BS,1109017,1090413,0010,/ BS
1109211_1082027_BS,1109211,1082027,0100,/ BS
1109382_1092045_BS,1109382,1092045,0001,/ BS
1109545_1081091_BS,1109545,1081091,0011,/ BS
1109991_1107908_BS,1109991,1107908,1100,/ BS
1110642_1125781_BS,1110642,1125781,0010,/ BS
1110850_1105050_BS,1110850,1105050,1100,/ BS
1111040_1101941_BS,1111040,1101941,0011,/ BS
1112066_1084204_BS,1112066,1084204,0011,/ BS
1112727_1133508_BS,1112727,1133508,1111,/ BS
1113031_1096860_BS,1113031,1096860,1100,/ BS
1113427_1126410_BS,1113427,1126410,0011,/ BS
1113428_1124910_BS,1113428,1124910,1100,/ BS
1114396_1109388_BS,1114396,1109388,0001,/ BS
1114539_1087466_BS,1114539,1087466,0011,/ BS
1114934_1116481_BS,1114934,1116481,0011,/ BS
1115547_1139678_BS,1115547,1139678,1100,/ BS
1116433_1080170_BS,1116433,1080170,0011,/ BS
1117100_1143273_BS,1117100,1143273,0011,/ BS
1117231_1113401_BS,1117231,1113401,1000,/ BS
1117481_1120340_BS,1117481,1120340,1100,/ BS
1118183_1101681_RT,1118183,1101681,1111,/ RT
1118466_1092670_BS,1118466,1092670,0011,/ BS
1118748_1085075_BS,1118748,1085075,1110,/ BS
1119334_1101265_BS,1119334,1101265,1100,/ BS
1119759_1096592_BS,1119759,1096592,1100,/ BS
1119795_1079219_BS,1119795,1079219,1110,/ BS
1120289_1106822_BS,1120289,1106822,0110,/ BS
1120505_1099286_BS,1120505,1099286,0011,/ BS
1120653_1133697_BS,1120653,1133697,0010,/ BS
