#Detector,X,Y,Usage,Trap_Type
1042110_1259979_BS,1042110,1259979,11,/ BS
1045591_1226493_BS,1045591,1226493,11,/ BS
1049993_1245103_BS,1049993,1245103,11,/ BS
1050470_1208814_BS,1050470,1208814,11,/ BS
1050612_1219861_BS,1050612,1219861,11,/ BS
1051012_1251000_BS,1051012,1251000,11,/ BS
1054755_1261091_BS,1054755,1261091,11,/ BS
1056435_1201307_BS,1056435,1201307,11,/ BS
1060347_1233947_BS,1060347,1233947,11,/ BS
1060510_1266098_BS,1060510,1266098,11,/ BS
1060779_1237181_BS,1060779,1237181,11,/ BS
1062529_1272296_BS,1062529,1272296,11,/ BS
1069553_1243363_BS,1069553,1243363,11,/ BS
1071418_1233009_BS,1071418,1233009,11,/ BS
1077009_1257027_BS,1077009,1257027,11,/ BS
1080956_1220215_BS,1080956,1220215,11,/ BS
1081231_1199668_BS,1081231,1199668,11,/ BS
1081231_1199668_RT,1081231,1199668,01,/ RT
1081854_1233747_BS,1081854,1233747,11,/ BS
1083568_1249639_BS,1083568,1249639,11,/ BS
1086145_1232586_BS,1086145,1232586,11,/ BS
1086216_1223751_BS,1086216,1223751,11,/ BS
1089242_1244989_BS,1089242,1244989,11,/ BS
1092339_1234398_BS,1092339,1234398,11,/ BS
1093119_1191730_BS,1093119,1191730,11,/ BS
1094540_1240237_BS,1094540,1240237,11,/ BS
