#Detector,X,Y,Usage,Trap_Type
1664622_586469_BS,1664622,586469,1111,/ BS
1665166_613209_BS,1665166,613209,1111,/ BS
1667234_591430_BS,1667234,591430,1111,/ BS
1671232_593276_BS,1671232,593276,1111,/ BS
1673035_616086_BS,1673035,616086,1111,/ BS
1675132_611926_BS,1675132,611926,1111,/ BS
1675533_596073_BS,1675533,596073,1111,/ BS
1678307_615363_BS,1678307,615363,1111,/ BS
1679010_592775_BS,1679010,592775,1111,/ BS
1679442_600027_BS,1679442,600027,1111,/ BS
1681908_588870_BS,1681908,588870,1111,/ BS
1684010_591614_BS,1684010,591614,1111,/ BS
1684038_625886_BS,1684038,625886,1111,/ BS
1684463_622402_BS,1684463,622402,1111,/ BS
1685429_610171_BS,1685429,610171,1111,/ BS
1686502_630827_BS,1686502,630827,1111,/ BS
1686988_602061_BS,1686988,602061,1111,/ BS
1687387_628743_BS,1687387,628743,1111,/ BS
1687809_605138_BS,1687809,605138,1111,/ BS
1688284_598866_BS,1688284,598866,1111,/ BS
1689124_615567_BS,1689124,615567,1111,/ BS
1689615_612282_BS,1689615,612282,1111,/ BS
1693367_619486_BS,1693367,619486,1111,/ BS
1693957_589014_BS,1693957,589014,1111,/ BS
1695975_623972_BS,1695975,623972,1111,/ BS
1698773_632648_BS,1698773,632648,1111,/ BS
