#Detector,X,Y,Usage,Trap_Type
1188904_1098868_BS,1188904,1098868,0001,/ BS
1189464_1088648_BS,1189464,1088648,0010,/ BS
1189519_1090906_BS,1189519,1090906,1000,/ BS
1189972_1061548_BS,1189972,1061548,1000,/ BS
1190117_1074567_BS,1190117,1074567,0010,/ BS
1190817_1055435_BS,1190817,1055435,0010,/ BS
1190989_1097064_BS,1190989,1097064,0010,/ BS
1191311_1058576_BS,1191311,1058576,0100,/ BS
1191861_1083045_BS,1191861,1083045,1000,/ BS
1192574_1093889_BS,1192574,1093889,0100,/ BS
1193346_1061669_BS,1193346,1061669,0010,/ BS
1193435_1071000_BS,1193435,1071000,0100,/ BS
1193571_1074134_BS,1193571,1074134,1000,/ BS
1193676_1065470_BS,1193676,1065470,0001,/ BS
1193796_1082394_BS,1193796,1082394,0100,/ BS
1194123_1095329_BS,1194123,1095329,1000,/ BS
1194321_1090116_BS,1194321,1090116,0100,/ BS
1194504_1088539_BS,1194504,1088539,0001,/ BS
1194617_1053502_BS,1194617,1053502,1000,/ BS
1195909_1071218_BS,1195909,1071218,0001,/ BS
1196342_1080085_BS,1196342,1080085,0010,/ BS
1196865_1104730_BS,1196865,1104730,0100,/ BS
1196981_1092145_BS,1196981,1092145,0001,/ BS
1197002_1083184_BS,1197002,1083184,1000,/ BS
1197191_1067238_BS,1197191,1067238,0100,/ BS
1198126_1102617_BS,1198126,1102617,1000,/ BS
1198143_1084775_BS,1198143,1084775,0100,/ BS
1198345_1055548_BS,1198345,1055548,1000,/ BS
1198432_1068165_BS,1198432,1068165,0010,/ BS
1198491_1069987_BS,1198491,1069987,0100,/ BS
1199059_1096394_BS,1199059,1096394,1000,/ BS
1200118_1072491_BS,1200118,1072491,0001,/ BS
1200168_1098553_BS,1200168,1098553,0100,/ BS
1200315_1076596_BS,1200315,1076596,0010,/ BS
1200446_1103601_BS,1200446,1103601,0001,/ BS
1200463_1058045_BS,1200463,1058045,0001,/ BS
1201102_1055366_BS,1201102,1055366,0100,/ BS
1201406_1068464_BS,1201406,1068464,0001,/ BS
1202006_1095905_BS,1202006,1095905,0001,/ BS
1202199_1087445_BS,1202199,1087445,0010,/ BS
1202287_1099198_BS,1202287,1099198,0010,/ BS
1203404_1106025_BS,1203404,1106025,0010,/ BS
1203692_1083369_BS,1203692,1083369,0001,/ BS
1203933_1092808_BS,1203933,1092808,1000,/ BS
1203951_1070948_BS,1203951,1070948,1000,/ BS
1204471_1067341_BS,1204471,1067341,0100,/ BS
1204695_1079959_BS,1204695,1079959,0010,/ BS
1204751_1061503_BS,1204751,1061503,1000,/ BS
1204815_1053893_BS,1204815,1053893,0010,/ BS
1205176_1097862_BS,1205176,1097862,0100,/ BS
1205236_1078883_BS,1205236,1078883,0001,/ BS
1205798_1105946_BS,1205798,1105946,0001,/ BS
1205812_1084744_BS,1205812,1084744,0100,/ BS
1206253_1088390_BS,1206253,1088390,0001,/ BS
1206317_1094095_BS,1206317,1094095,1000,/ BS
1206374_1104245_BS,1206374,1104245,1000,/ BS
1206527_1065054_BS,1206527,1065054,0010,/ BS
1206674_1057236_BS,1206674,1057236,0001,/ BS
1206891_1071182_BS,1206891,1071182,0001,/ BS
1206908_1084124_BS,1206908,1084124,0010,/ BS
1207955_1074161_BS,1207955,1074161,0100,/ BS
1208105_1088685_BS,1208105,1088685,1000,/ BS
1208802_1061425_BS,1208802,1061425,0001,/ BS
1208900_1092218_BS,1208900,1092218,0100,/ BS
1209617_1064592_BS,1209617,1064592,0100,/ BS
1209823_1103777_BS,1209823,1103777,0100,/ BS
1209908_1054391_BS,1209908,1054391,0010,/ BS
1210273_1108670_BS,1210273,1108670,0010,/ BS
1210361_1098037_BS,1210361,1098037,0010,/ BS
1211208_1073020_BS,1211208,1073020,0010,/ BS
1211299_1095629_BS,1211299,1095629,0001,/ BS
1211367_1067624_BS,1211367,1067624,1000,/ BS
1211551_1077331_BS,1211551,1077331,1000,/ BS
1211835_1106549_BS,1211835,1106549,1000,/ BS
1212082_1060411_BS,1212082,1060411,1000,/ BS
1212136_1089025_BS,1212136,1089025,0010,/ BS
1212530_1074655_BS,1212530,1074655,1000,/ BS
1212530_1107935_BS,1212530,1107935,0100,/ BS
1212985_1055853_BS,1212985,1055853,0100,/ BS
1213485_1072293_BS,1213485,1072293,0001,/ BS
1213508_1085443_BS,1213508,1085443,0001,/ BS
1213534_1098671_BS,1213534,1098671,0001,/ BS
1213609_1067581_BS,1213609,1067581,1000,/ BS
1215033_1063162_BS,1215033,1063162,0100,/ BS
1215410_1094313_BS,1215410,1094313,0010,/ BS
1215707_1077351_BS,1215707,1077351,0100,/ BS
1215752_1103560_BS,1215752,1103560,0010,/ BS
1215996_1093419_BS,1215996,1093419,0100,/ BS
