#Detector,X,Y,Usage,Trap_Type
1097927_1397780_BS,1097927,1397780,00100,/ BS
1098956_1399549_BS,1098956,1399549,00010,/ BS
1102570_1396151_BS,1102570,1396151,01000,/ BS
1103451_1398240_BS,1103451,1398240,00010,/ BS
1104705_1393281_BS,1104705,1393281,00001,/ BS
1105177_1401560_BS,1105177,1401560,10000,/ BS
1105497_1406328_BS,1105497,1406328,00100,/ BS
1107516_1408918_BS,1107516,1408918,01000,/ BS
1107539_1399758_BS,1107539,1399758,00001,/ BS
1110312_1405646_BS,1110312,1405646,01000,/ BS
1110577_1392628_BS,1110577,1392628,10000,/ BS
1111427_1415577_BS,1111427,1415577,00100,/ BS
1111627_1410850_BS,1111627,1410850,00010,/ BS
1112749_1399475_BS,1112749,1399475,01000,/ BS
1113214_1404511_BS,1113214,1404511,00001,/ BS
1113584_1390624_BS,1113584,1390624,00010,/ BS
1113808_1413195_BS,1113808,1413195,10000,/ BS
1114207_1388768_BS,1114207,1388768,00001,/ BS
1114458_1382238_BS,1114458,1382238,00100,/ BS
1114898_1382749_BS,1114898,1382749,01000,/ BS
1115781_1392343_BS,1115781,1392343,00001,/ BS
1116101_1407041_BS,1116101,1407041,00010,/ BS
1116378_1391263_BS,1116378,1391263,10000,/ BS
1116965_1402967_BS,1116965,1402967,10000,/ BS
1117008_1380404_BS,1117008,1380404,01000,/ BS
1117463_1382039_BS,1117463,1382039,00010,/ BS
1118015_1410647_BS,1118015,1410647,00001,/ BS
1118832_1377190_BS,1118832,1377190,00001,/ BS
1119178_1379885_BS,1119178,1379885,00010,/ BS
1119289_1389900_BS,1119289,1389900,10000,/ BS
1119389_1378475_BS,1119389,1378475,10000,/ BS
1119627_1403838_BS,1119627,1403838,00100,/ BS
1119895_1398877_BS,1119895,1398877,00100,/ BS
1120020_1392232_BS,1120020,1392232,01000,/ BS
1120765_1377097_BS,1120765,1377097,00100,/ BS
1122309_1414793_BS,1122309,1414793,00010,/ BS
1122863_1372207_BS,1122863,1372207,01000,/ BS
1123023_1405720_BS,1123023,1405720,00001,/ BS
1123076_1403016_BS,1123076,1403016,01000,/ BS
1123105_1376948_BS,1123105,1376948,10000,/ BS
1123452_1409997_BS,1123452,1409997,10000,/ BS
1124378_1373320_BS,1124378,1373320,00001,/ BS
1124602_1398651_BS,1124602,1398651,00100,/ BS
1125074_1414768_BS,1125074,1414768,01000,/ BS
1125400_1388795_BS,1125400,1388795,00001,/ BS
1125707_1393471_BS,1125707,1393471,10000,/ BS
1125999_1374404_BS,1125999,1374404,00100,/ BS
1126393_1386832_BS,1126393,1386832,00100,/ BS
1126402_1405397_BS,1126402,1405397,10000,/ BS
1126616_1368722_BS,1126616,1368722,00001,/ BS
1126634_1382520_BS,1126634,1382520,01000,/ BS
1126733_1400635_BS,1126733,1400635,00100,/ BS
1127246_1399181_BS,1127246,1399181,00001,/ BS
1127253_1417252_BS,1127253,1417252,00100,/ BS
1127891_1372348_BS,1127891,1372348,00010,/ BS
1127960_1377572_BS,1127960,1377572,01000,/ BS
1128304_1392666_BS,1128304,1392666,00010,/ BS
1128511_1395106_BS,1128511,1395106,01000,/ BS
1128527_1413282_BS,1128527,1413282,00001,/ BS
1128662_1406691_BS,1128662,1406691,00010,/ BS
1128754_1390718_BS,1128754,1390718,00010,/ BS
1129463_1382244_BS,1129463,1382244,10000,/ BS
1129799_1369729_BS,1129799,1369729,10000,/ BS
1130229_1401518_BS,1130229,1401518,00010,/ BS
1130331_1373145_BS,1130331,1373145,00010,/ BS
1130479_1396751_BS,1130479,1396751,00010,/ BS
1130633_1367063_BS,1130633,1367063,00100,/ BS
1130949_1386532_BS,1130949,1386532,00010,/ BS
1131034_1390044_BS,1131034,1390044,00001,/ BS
1131506_1415790_BS,1131506,1415790,00010,/ BS
1131741_1406495_BS,1131741,1406495,01000,/ BS
1132170_1404673_BS,1132170,1404673,00001,/ BS
1132352_1381651_BS,1132352,1381651,00100,/ BS
