#Detector,X,Y,Usage,Trap_Type
1164239_638248_BS,1164239,638248,1111,/ BS
1168809_635626_BS,1168809,635626,1111,/ BS
1172126_619429_BS,1172126,619429,1111,/ BS
1174930_633541_BS,1174930,633541,1111,/ BS
1176187_656308_BS,1176187,656308,1111,/ BS
1177718_621904_BS,1177718,621904,1111,/ BS
1177982_617361_BS,1177982,617361,1111,/ BS
1178135_637583_BS,1178135,637583,1111,/ BS
1179747_617630_BS,1179747,617630,1111,/ BS
1186180_651650_BS,1186180,651650,1111,/ BS
1186228_623487_BS,1186228,623487,1111,/ BS
1192591_636135_BS,1192591,636135,1111,/ BS
1194070_640369_BS,1194070,640369,1111,/ BS
1195307_627240_BS,1195307,627240,1111,/ BS
1195319_615104_BS,1195319,615104,1111,/ BS
1196571_649098_BS,1196571,649098,1111,/ BS
1199953_632880_BS,1199953,632880,1111,/ BS
1201986_506424_BS,1201986,506424,1111,/ BS
1204262_644385_BS,1204262,644385,1111,/ BS
1204581_494275_BS,1204581,494275,1111,/ BS
1205281_632837_BS,1205281,632837,1111,/ BS
1205487_534110_BS,1205487,534110,1111,/ BS
1207644_616485_BS,1207644,616485,1111,/ BS
1207734_502916_BS,1207734,502916,1111,/ BS
1208847_627661_BS,1208847,627661,1111,/ BS
1211646_535197_BS,1211646,535197,1111,/ BS
1212118_546357_BS,1212118,546357,1111,/ BS
1212980_563173_BS,1212980,563173,1111,/ BS
1213019_511405_BS,1213019,511405,1111,/ BS
1213766_635866_BS,1213766,635866,1111,/ BS
1214732_497711_BS,1214732,497711,1111,/ BS
1216493_521283_BS,1216493,521283,1111,/ BS
1217243_558235_BS,1217243,558235,1111,/ BS
1218799_643397_BS,1218799,643397,1111,/ BS
1219994_574387_BS,1219994,574387,1111,/ BS
1220020_533950_BS,1220020,533950,1111,/ BS
1220998_618448_BS,1220998,618448,1111,/ BS
1221942_621846_BS,1221942,621846,1111,/ BS
1222055_565510_BS,1222055,565510,1111,/ BS
1222353_523705_BS,1222353,523705,1111,/ BS
1223796_496778_BS,1223796,496778,1111,/ BS
1224106_557437_BS,1224106,557437,1111,/ BS
1224923_504751_BS,1224923,504751,1111,/ BS
1225339_542808_BS,1225339,542808,1111,/ BS
1226132_509770_BS,1226132,509770,1111,/ BS
1227354_634978_BS,1227354,634978,1111,/ BS
1227669_613602_BS,1227669,613602,1111,/ BS
1228068_604644_BS,1228068,604644,1111,/ BS
1228210_570811_BS,1228210,570811,1111,/ BS
1228259_648388_BS,1228259,648388,1111,/ BS
1228393_628488_BS,1228393,628488,1111,/ BS
1229362_542303_BS,1229362,542303,1111,/ BS
1229476_556501_BS,1229476,556501,1111,/ BS
1230094_652487_BS,1230094,652487,1111,/ BS
1231492_595694_BS,1231492,595694,1111,/ BS
1232208_588139_BS,1232208,588139,1111,/ BS
1232909_650820_BS,1232909,650820,1111,/ BS
1232910_642670_BS,1232910,642670,1111,/ BS
1233740_564575_BS,1233740,564575,1111,/ BS
1234444_506704_BS,1234444,506704,1111,/ BS
1234605_524854_BS,1234605,524854,1111,/ BS
1234797_533220_BS,1234797,533220,1111,/ BS
1234856_615187_BS,1234856,615187,1111,/ BS
1234907_636741_BS,1234907,636741,1111,/ BS
1236215_514992_BS,1236215,514992,1111,/ BS
1236969_582814_BS,1236969,582814,1111,/ BS
1237095_497941_BS,1237095,497941,1111,/ BS
1237163_625023_BS,1237163,625023,1111,/ BS
1237904_549300_BS,1237904,549300,1111,/ BS
1238505_535096_BS,1238505,535096,1111,/ BS
1240009_570416_BS,1240009,570416,1111,/ BS
1240329_517617_BS,1240329,517617,1111,/ BS
1240845_577920_BS,1240845,577920,1111,/ BS
1241198_506270_BS,1241198,506270,1111,/ BS
1242117_551331_BS,1242117,551331,1111,/ BS
1242436_643001_BS,1242436,643001,1111,/ BS
1243484_630832_BS,1243484,630832,1111,/ BS
1243546_498234_BS,1243546,498234,1111,/ BS
1245156_625563_BS,1245156,625563,1111,/ BS
1245270_579490_BS,1245270,579490,1111,/ BS
1245412_527420_BS,1245412,527420,1111,/ BS
1247157_582292_BS,1247157,582292,1111,/ BS
1247753_551700_BS,1247753,551700,1111,/ BS
1247862_561842_BS,1247862,561842,1111,/ BS
1248842_517612_BS,1248842,517612,1111,/ BS
1249946_549017_BS,1249946,549017,1111,/ BS
1252242_530024_BS,1252242,530024,1111,/ BS
1252305_539632_BS,1252305,539632,1111,/ BS
1252377_504394_BS,1252377,504394,1111,/ BS
1253374_644139_BS,1253374,644139,1111,/ BS
1254097_544404_BS,1254097,544404,1111,/ BS
1254812_638594_BS,1254812,638594,1111,/ BS
1255569_497559_BS,1255569,497559,1111,/ BS
1257360_490965_BS,1257360,490965,1111,/ BS
1258126_517042_BS,1258126,517042,1111,/ BS
1259935_506398_BS,1259935,506398,1111,/ BS
1260936_525827_BS,1260936,525827,1111,/ BS
1261797_533863_BS,1261797,533863,1111,/ BS
1270684_526189_BS,1270684,526189,1111,/ BS
1271115_533168_BS,1271115,533168,1111,/ BS
1275406_518467_BS,1275406,518467,1111,/ BS
1276015_507749_BS,1276015,507749,1111,/ BS
1277566_522766_BS,1277566,522766,1111,/ BS
1278333_494082_BS,1278333,494082,1111,/ BS
1280733_496870_BS,1280733,496870,1111,/ BS
1281712_520711_BS,1281712,520711,1111,/ BS
1283744_506279_BS,1283744,506279,1111,/ BS
1287077_517729_BS,1287077,517729,1111,/ BS
1287220_511602_BS,1287220,511602,1111,/ BS
1294185_498807_BS,1294185,498807,1111,/ BS
