#Detector,X,Y,Usage,Trap_Type
1672209_551903_BS,1672209,551903,1111,/ BS
1676705_537573_BS,1676705,537573,1111,/ BS
1678857_556385_BS,1678857,556385,1111,/ BS
1680776_556947_BS,1680776,556947,1111,/ BS
1686455_546343_BS,1686455,546343,1111,/ BS
1686542_544288_BS,1686542,544288,1111,/ BS
1688541_550246_BS,1688541,550246,1111,/ BS
1691838_538228_BS,1691838,538228,1111,/ BS
1693035_551804_BS,1693035,551804,1111,/ BS
1693427_529993_BS,1693427,529993,1111,/ BS
1693609_524430_BS,1693609,524430,0010,/ BS
1698534_548575_BS,1698534,548575,1111,/ BS
1699201_550656_BS,1699201,550656,1111,/ BS
1703829_532456_BS,1703829,532456,1111,/ BS
1704209_548079_BS,1704209,548079,1111,/ BS
1705132_550188_BS,1705132,550188,1111,/ BS
1707483_529805_BS,1707483,529805,1111,/ BS
1707514_529809_BS,1707514,529809,1111,/ BS
1708671_539298_BS,1708671,539298,1111,/ BS
1709506_507655_BS,1709506,507655,1111,/ BS
1710085_500981_BS,1710085,500981,1111,/ BS
1710170_537177_BS,1710170,537177,1111,/ BS
1710961_546113_BS,1710961,546113,1111,/ BS
1712077_503266_BS,1712077,503266,1111,/ BS
1712607_541570_BS,1712607,541570,1111,/ BS
1713123_528045_BS,1713123,528045,1111,/ BS
1714084_511606_BS,1714084,511606,1111,/ BS
1715506_502467_BS,1715506,502467,1111,/ BS
1716857_527417_BS,1716857,527417,1111,/ BS
1716927_510531_BS,1716927,510531,1111,/ BS
1717136_511482_BS,1717136,511482,1111,/ BS
1725259_500687_BS,1725259,500687,1111,/ BS
1725390_523245_BS,1725390,523245,1111,/ BS
1725642_515419_BS,1725642,515419,1111,/ BS
1726288_495767_BS,1726288,495767,1111,/ BS
1731107_518265_BS,1731107,518265,1111,/ BS
1732115_499978_BS,1732115,499978,1111,/ BS
1732848_519204_BS,1732848,519204,1111,/ BS
1735691_521380_BS,1735691,521380,1111,/ BS
1736955_523625_BS,1736955,523625,1111,/ BS
1737160_539001_BS,1737160,539001,1111,/ BS
1743398_524700_BS,1743398,524700,1111,/ BS
1743419_497487_BS,1743419,497487,1111,/ BS
1746187_510598_BS,1746187,510598,1111,/ BS
1746847_497807_BS,1746847,497807,1111,/ BS
1748065_506064_BS,1748065,506064,1111,/ BS
1751318_501328_BS,1751318,501328,1111,/ BS
1754325_498873_BS,1754325,498873,1111,/ BS
