#Detector,X,Y,Usage,Trap_Type
1633890_533591_BS,1633890,533591,1111,/ BS
1635915_534975_BS,1635915,534975,1111,/ BS
1636312_539823_BS,1636312,539823,1111,/ BS
1637818_507805_BS,1637818,507805,1111,/ BS
1638492_532663_BS,1638492,532663,1111,/ BS
1638649_538041_BS,1638649,538041,1111,/ BS
1639073_497667_BS,1639073,497667,1111,/ BS
1639437_491500_BS,1639437,491500,1111,/ BS
1640120_522467_BS,1640120,522467,1111,/ BS
1640283_500920_BS,1640283,500920,1111,/ BS
1640336_518050_BS,1640336,518050,1111,/ BS
1640586_545619_BS,1640586,545619,1111,/ BS
1641197_528269_BS,1641197,528269,1111,/ BS
1641569_501978_BS,1641569,501978,1111,/ BS
1641661_514233_BS,1641661,514233,1111,/ BS
1641670_531731_BS,1641670,531731,1111,/ BS
1642773_541979_BS,1642773,541979,1111,/ BS
1642776_506762_BS,1642776,506762,1111,/ BS
1643193_493067_BS,1643193,493067,1111,/ BS
1643636_539192_BS,1643636,539192,1111,/ BS
1643854_522121_BS,1643854,522121,1111,/ BS
1644591_485668_BS,1644591,485668,1111,/ BS
1644881_527498_BS,1644881,527498,1111,/ BS
1644971_518527_BS,1644971,518527,1111,/ BS
1645040_499566_BS,1645040,499566,1111,/ BS
1645308_546455_BS,1645308,546455,1111,/ BS
1646018_512186_BS,1646018,512186,1111,/ BS
1646487_545913_BS,1646487,545913,1111,/ BS
1648402_529483_BS,1648402,529483,1111,/ BS
1648928_506478_BS,1648928,506478,1111,/ BS
1649080_534921_BS,1649080,534921,1111,/ BS
1649084_503722_BS,1649084,503722,1111,/ BS
1649263_537529_BS,1649263,537529,1111,/ BS
1649389_493576_BS,1649389,493576,1111,/ BS
1649707_519350_BS,1649707,519350,1111,/ BS
1650013_497383_BS,1650013,497383,1111,/ BS
1650345_548676_BS,1650345,548676,1111,/ BS
1650983_522220_BS,1650983,522220,1111,/ BS
1651307_505087_BS,1651307,505087,1111,/ BS
1651459_512871_BS,1651459,512871,1111,/ BS
1651578_545700_BS,1651578,545700,1111,/ BS
1652077_538191_BS,1652077,538191,1111,/ BS
1652100_493190_BS,1652100,493190,1111,/ BS
1652970_532491_BS,1652970,532491,1111,/ BS
1653047_522538_BS,1653047,522538,1111,/ BS
1653166_507944_BS,1653166,507944,1111,/ BS
1653556_528649_BS,1653556,528649,1111,/ BS
1654629_544770_BS,1654629,544770,1111,/ BS
1655013_550527_BS,1655013,550527,1111,/ BS
1655160_518758_BS,1655160,518758,1111,/ BS
1655433_498056_BS,1655433,498056,1111,/ BS
1656033_538815_BS,1656033,538815,1111,/ BS
1656273_536255_BS,1656273,536255,1111,/ BS
1656332_504670_BS,1656332,504670,1111,/ BS
1656575_532111_BS,1656575,532111,1000,/ BS
1656715_514245_BS,1656715,514245,1111,/ BS
1656824_531767_BS,1656824,531767,1111,/ BS
1657440_499498_BS,1657440,499498,1111,/ BS
1657471_510196_BS,1657471,510196,1111,/ BS
1659888_524234_BS,1659888,524234,1111,/ BS
1659999_518835_BS,1659999,518835,1111,/ BS
1661801_504833_BS,1661801,504833,1111,/ BS
1662178_511209_BS,1662178,511209,1111,/ BS
1662467_513898_BS,1662467,513898,1111,/ BS
1663161_530752_BS,1663161,530752,1111,/ BS
1663202_500316_BS,1663202,500316,1111,/ BS
1663944_515142_BS,1663944,515142,1111,/ BS
1664352_523392_BS,1664352,523392,1111,/ BS
1664850_521627_BS,1664850,521627,1111,/ BS
1664994_506074_BS,1664994,506074,1111,/ BS
1667082_502470_BS,1667082,502470,1111,/ BS
1667818_510403_BS,1667818,510403,1111,/ BS
1671855_504813_BS,1671855,504813,1111,/ BS
1671968_510792_BS,1671968,510792,1111,/ BS
1676312_511156_BS,1676312,511156,1111,/ BS
1679191_507519_BS,1679191,507519,1111,/ BS
1681110_507353_BS,1681110,507353,1111,/ BS
