#Detector,X,Y,Usage,Trap_Type
1734127_640979_RT,1734127,640979,0010,/ RT
1734137_641047_RT,1734137,641047,0010,/ RT
1734146_641069_RT,1734146,641069,0010,/ RT
1734708_640450_RT,1734708,640450,0010,/ RT
1736429_640939_RT,1736429,640939,0010,/ RT
1736946_640669_RT,1736946,640669,0010,/ RT
1738105_619268_RT,1738105,619268,0001,/ RT
1738212_618932_RT,1738212,618932,0001,/ RT
1742306_625929_RT,1742306,625929,1111,/ RT
1743321_624773_RT,1743321,624773,1111,/ RT
1744258_623931_RT,1744258,623931,0111,/ RT
1744263_623914_RT,1744263,623914,1000,/ RT
1745148_623148_RT,1745148,623148,1111,/ RT
1746080_589350_RT,1746080,589350,0010,/ RT
1746119_622741_RT,1746119,622741,1000,/ RT
1749474_627526_RT,1749474,627526,1000,/ RT
1749507_634121_RT,1749507,634121,1111,/ RT
1749612_628088_RT,1749612,628088,1000,/ RT
1750294_602216_BS,1750294,602216,0110,/ BS
1750331_630440_RT,1750331,630440,0011,/ RT
1750380_601956_RT,1750380,601956,1110,/ RT
1750589_625996_RT,1750589,625996,1000,/ RT
1751114_626313_RT,1751114,626313,1000,/ RT
1753298_641294_BS,1753298,641294,0110,/ BS
1753597_583575_BS,1753597,583575,0010,/ BS
1753920_588120_BS,1753920,588120,0110,/ BS
1754083_588353_RT,1754083,588353,1110,/ RT
1754297_589025_RT,1754297,589025,1110,/ RT
1756354_658805_BS,1756354,658805,0110,/ BS
1757557_563012_RT,1757557,563012,0100,/ RT
1758609_563531_RT,1758609,563531,0100,/ RT
1758815_563923_RT,1758815,563923,0100,/ RT
1759364_564790_RT,1759364,564790,0100,/ RT
1759785_565373_RT,1759785,565373,0100,/ RT
1760456_565653_RT,1760456,565653,0100,/ RT
1760567_565653_RT,1760567,565653,0100,/ RT
1760700_565657_RT,1760700,565657,0100,/ RT
1760983_565644_RT,1760983,565644,0100,/ RT
1761149_565658_RT,1761149,565658,0100,/ RT
1761283_551754_RT,1761283,551754,0001,/ RT
1761372_551758_RT,1761372,551758,0001,/ RT
1761666_565783_RT,1761666,565783,0100,/ RT
1763419_631977_RT,1763419,631977,0111,/ RT
1763492_570047_RT,1763492,570047,0001,/ RT
1763658_599656_BS,1763658,599656,0110,/ BS
1764082_647766_BS,1764082,647766,0110,/ BS
1764361_624968_RT,1764361,624968,0010,/ RT
1764406_570681_RT,1764406,570681,0001,/ RT
1764546_600177_RT,1764546,600177,0110,/ RT
1765130_600280_RT,1765130,600280,0110,/ RT
1765257_584894_BS,1765257,584894,0110,/ BS
1765290_584565_RT,1765290,584565,1110,/ RT
1765589_621305_RT,1765589,621305,0110,/ RT
1766090_635053_RT,1766090,635053,0010,/ RT
1766479_603439_BS,1766479,603439,0110,/ BS
1767275_567797_BS,1767275,567797,0110,/ BS
1767820_599187_RT,1767820,599187,1111,/ RT
1769345_675162_RT,1769345,675162,1110,/ RT
1770093_595991_RT,1770093,595991,1111,/ RT
1771317_677517_BS,1771317,677517,0110,/ BS
1772350_612077_RT,1772350,612077,1110,/ RT
1773252_612241_RT,1773252,612241,1110,/ RT
1774152_592203_RT,1774152,592203,1111,/ RT
1775372_539801_RT,1775372,539801,0001,/ RT
1775412_539607_RT,1775412,539607,0001,/ RT
1775485_612571_RT,1775485,612571,0110,/ RT
1775621_540585_RT,1775621,540585,0001,/ RT
1776154_555656_BS,1776154,555656,0010,/ BS
1776253_613529_RT,1776253,613529,0111,/ RT
1776361_555894_RT,1776361,555894,0010,/ RT
1776769_617535_RT,1776769,617535,1111,/ RT
1777241_584959_RT,1777241,584959,0001,/ RT
1777324_587622_RT,1777324,587622,0001,/ RT
1777339_619506_RT,1777339,619506,1111,/ RT
1777542_601343_RT,1777542,601343,1111,/ RT
1777795_625587_BS,1777795,625587,0110,/ BS
1777898_586711_RT,1777898,586711,0001,/ RT
1777918_601319_RT,1777918,601319,0110,/ RT
1777985_586575_RT,1777985,586575,0001,/ RT
1778039_601487_RT,1778039,601487,0110,/ RT
1778187_637491_RT,1778187,637491,0001,/ RT
1778809_637344_RT,1778809,637344,0001,/ RT
1779903_637307_RT,1779903,637307,0001,/ RT
1780438_637387_RT,1780438,637387,0001,/ RT
1780524_531573_RT,1780524,531573,0001,/ RT
1780584_558744_RT,1780584,558744,0001,/ RT
1780728_531878_RT,1780728,531878,0001,/ RT
1780984_637336_RT,1780984,637336,0001,/ RT
1781311_637277_RT,1781311,637277,0001,/ RT
1781763_636235_BS,1781763,636235,0100,/ BS
1782953_561357_RT,1782953,561357,0010,/ RT
1783023_647242_RT,1783023,647242,0001,/ RT
1783407_567201_RT,1783407,567201,0011,/ RT
1783583_563026_RT,1783583,563026,0010,/ RT
1783672_568960_RT,1783672,568960,0011,/ RT
1783676_568768_RT,1783676,568768,0001,/ RT
1783678_568807_RT,1783678,568807,0011,/ RT
1783696_568908_RT,1783696,568908,0010,/ RT
1783794_570442_RT,1783794,570442,0001,/ RT
1783810_565696_RT,1783810,565696,0010,/ RT
1783820_570515_RT,1783820,570515,0011,/ RT
1783822_570593_RT,1783822,570593,0010,/ RT
1783828_565553_RT,1783828,565553,0010,/ RT
1783843_565432_RT,1783843,565432,0011,/ RT
1783846_566259_RT,1783846,566259,0011,/ RT
1783847_570799_RT,1783847,570799,0010,/ RT
1783853_570766_RT,1783853,570766,0010,/ RT
1783888_570944_RT,1783888,570944,0001,/ RT
1783910_564954_RT,1783910,564954,0011,/ RT
1784127_563671_RT,1784127,563671,0011,/ RT
1784321_571000_RT,1784321,571000,0010,/ RT
1784337_563826_RT,1784337,563826,0010,/ RT
1784344_563823_RT,1784344,563823,0001,/ RT
1784397_653659_RT,1784397,653659,1111,/ RT
1784462_645513_RT,1784462,645513,0001,/ RT
1784568_571188_RT,1784568,571188,0010,/ RT
1784711_571160_RT,1784711,571160,0011,/ RT
1784748_595207_RT,1784748,595207,0001,/ RT
1785792_595796_RT,1785792,595796,0001,/ RT
1787053_616489_BS,1787053,616489,0110,/ BS
1789360_595777_RT,1789360,595777,0001,/ RT
1789893_603035_BS,1789893,603035,0110,/ BS
1789940_594591_RT,1789940,594591,0001,/ RT
1790317_592874_RT,1790317,592874,0001,/ RT
1790476_592417_RT,1790476,592417,0001,/ RT
1790567_592183_RT,1790567,592183,0001,/ RT
1790730_649171_RT,1790730,649171,0111,/ RT
