#Detector,X,Y,Usage,Trap_Type
1078180_642584_BS,1078180,642584,1111,/ BS
1083991_640185_BS,1083991,640185,1111,/ BS
1084228_637224_BS,1084228,637224,1111,/ BS
1084492_655652_BS,1084492,655652,1111,/ BS
1087571_652715_BS,1087571,652715,1111,/ BS
1088270_647393_BS,1088270,647393,1111,/ BS
1088997_652513_BS,1088997,652513,1111,/ BS
1092426_645151_BS,1092426,645151,1111,/ BS
1092470_651107_BS,1092470,651107,1111,/ BS
1094090_651350_BS,1094090,651350,1111,/ BS
1096596_658067_BS,1096596,658067,1111,/ BS
1097157_660418_BS,1097157,660418,1111,/ BS
1097327_643160_BS,1097327,643160,1111,/ BS
1097490_649796_BS,1097490,649796,1111,/ BS
1100433_651322_BS,1100433,651322,1111,/ BS
1101540_647350_BS,1101540,647350,1111,/ BS
1105797_647815_BS,1105797,647815,1111,/ BS
1106559_642104_BS,1106559,642104,1111,/ BS
1107221_650055_BS,1107221,650055,1111,/ BS
1109924_638453_BS,1109924,638453,1111,/ BS
1109985_662721_BS,1109985,662721,1111,/ BS
1110595_642298_BS,1110595,642298,1111,/ BS
1111898_656934_BS,1111898,656934,1111,/ BS
1111964_638649_BS,1111964,638649,1111,/ BS
1112876_680844_BS,1112876,680844,1111,/ BS
1113097_660781_BS,1113097,660781,1111,/ BS
1114685_677596_BS,1114685,677596,1111,/ BS
1114962_664090_BS,1114962,664090,1111,/ BS
1115820_654446_BS,1115820,654446,1111,/ BS
1116007_687799_BS,1116007,687799,1111,/ BS
1116725_673201_BS,1116725,673201,1111,/ BS
1117303_665146_BS,1117303,665146,1111,/ BS
1119685_690475_BS,1119685,690475,1111,/ BS
1120807_679030_BS,1120807,679030,1111,/ BS
1121369_665454_BS,1121369,665454,1111,/ BS
1123412_686829_BS,1123412,686829,1111,/ BS
1123988_678767_BS,1123988,678767,1111,/ BS
1125737_663719_BS,1125737,663719,1111,/ BS
1127054_668317_BS,1127054,668317,1111,/ BS
1127822_689459_BS,1127822,689459,1111,/ BS
1129482_662753_BS,1129482,662753,1111,/ BS
1131019_655037_BS,1131019,655037,1111,/ BS
1132371_679998_BS,1132371,679998,1111,/ BS
1132444_674235_BS,1132444,674235,1111,/ BS
1132630_657875_BS,1132630,657875,1111,/ BS
1139456_659235_BS,1139456,659235,1111,/ BS
1142029_654824_BS,1142029,654824,1111,/ BS
1143500_648030_BS,1143500,648030,1111,/ BS
