#Detector,X,Y,Usage,Trap_Type
1214298_630530_HT,1214298,630530,01110,/ HT
1214605_625728_RT,1214605,625728,01110,/ RT
1214660_625697_HT,1214660,625697,01110,/ HT
1214907_629114_RT,1214907,629114,01110,/ RT
1216245_621700_HT,1216245,621700,00110,/ HT
1221431_630314_HT,1221431,630314,00110,/ HT
1221797_618501_HT,1221797,618501,01110,/ HT
1221864_618420_RT,1221864,618420,01110,/ RT
1223266_635387_HT,1223266,635387,01100,/ HT
1225310_638605_HT,1225310,638605,01110,/ HT
1225571_640749_RT,1225571,640749,01110,/ RT
1226606_636845_HT,1226606,636845,01110,/ HT
1226807_636749_RT,1226807,636749,01110,/ RT
1227303_635810_RT,1227303,635810,01110,/ RT
1227442_635300_HT,1227442,635300,01110,/ HT
1228786_631609_HT,1228786,631609,00110,/ HT
1229269_642640_RT,1229269,642640,01110,/ RT
1234956_639965_RT,1234956,639965,01110,/ RT
1235519_639560_RT,1235519,639560,01000,/ RT
1235996_638800_HT,1235996,638800,01110,/ HT
1236095_638738_RT,1236095,638738,01110,/ RT
1236399_638303_RT,1236399,638303,01110,/ RT
1236709_637736_RT,1236709,637736,00100,/ RT
1236981_622938_HT,1236981,622938,11000,/ HT
1237003_622532_HT,1237003,622532,11000,/ HT
1237003_622532_RT,1237003,622532,11000,/ RT
1237220_634866_HT,1237220,634866,01110,/ HT
1240664_628517_HT,1240664,628517,00110,/ HT
1240904_635813_HT,1240904,635813,00110,/ HT
1243782_638251_HT,1243782,638251,01100,/ HT
1253276_644205_HT,1253276,644205,00110,/ HT
1254045_642074_HT,1254045,642074,01110,/ HT
1256149_611822_HT,1256149,611822,01110,/ HT
1258480_638234_RT,1258480,638234,01110,/ RT
1258792_604169_HT,1258792,604169,11100,/ HT
1258820_604182_RT,1258820,604182,11100,/ RT
1259217_614728_HT,1259217,614728,11110,/ HT
1259497_639378_HT,1259497,639378,01110,/ HT
1261099_618754_HT,1261099,618754,00110,/ HT
1261517_641689_RT,1261517,641689,01110,/ RT
1261905_600914_HT,1261905,600914,11110,/ HT
1262648_616717_HT,1262648,616717,00110,/ HT
1263567_597469_HT,1263567,597469,11110,/ HT
1263642_599903_RT,1263642,599903,11101,/ RT
1263815_607418_HT,1263815,607418,11110,/ HT
1264719_620793_HT,1264719,620793,01110,/ HT
1265028_595181_RT,1265028,595181,11101,/ RT
1265663_594489_RT,1265663,594489,11110,/ RT
1265826_622383_HT,1265826,622383,01110,/ HT
1265868_594058_HT,1265868,594058,11110,/ HT
1266004_593647_RT,1266004,593647,11101,/ RT
1266254_592734_RT,1266254,592734,11101,/ RT
1267798_606152_RT,1267798,606152,11111,/ RT
1267833_606147_HT,1267833,606147,11110,/ HT
1268772_604798_HT,1268772,604798,11110,/ HT
1272370_601587_HT,1272370,601587,11110,/ HT
1272561_601586_RT,1272561,601586,01111,/ RT
1273044_609971_HT,1273044,609971,01110,/ HT
1273293_610988_RT,1273293,610988,01111,/ RT
1273436_611481_RT,1273436,611481,01111,/ RT
1273539_611722_RT,1273539,611722,01111,/ RT
1274188_612644_HT,1274188,612644,01110,/ HT
1278155_610415_RT,1278155,610415,01100,/ RT
1278160_610348_HT,1278160,610348,00110,/ HT
1280921_618507_RT,1280921,618507,01110,/ RT
1281622_617260_HT,1281622,617260,01110,/ HT
1284530_619828_HT,1284530,619828,01110,/ HT
1284724_619460_HT,1284724,619460,01110,/ HT
1285785_611070_HT,1285785,611070,01110,/ HT
1285958_611112_RT,1285958,611112,01111,/ RT
1286824_612710_RT,1286824,612710,01111,/ RT
1286865_612779_RT,1286865,612779,01111,/ RT
1287737_611664_RT,1287737,611664,00111,/ RT
1287838_615440_RT,1287838,615440,01111,/ RT
1291627_619366_RT,1291627,619366,01111,/ RT
