#Detector,X,Y,Usage,Trap_Type
1068849_594071_BS,1068849,594071,1111,/ BS
1069374_607078_BS,1069374,607078,1111,/ BS
1069440_603582_BS,1069440,603582,1111,/ BS
1075044_604507_BS,1075044,604507,1111,/ BS
1075373_592076_BS,1075373,592076,1111,/ BS
1077202_605836_BS,1077202,605836,1111,/ BS
1077414_597204_BS,1077414,597204,1111,/ BS
1079005_601961_BS,1079005,601961,1111,/ BS
1079166_593805_BS,1079166,593805,1111,/ BS
1080413_618512_BS,1080413,618512,1111,/ BS
1081334_598160_BS,1081334,598160,1111,/ BS
1082447_616955_BS,1082447,616955,1111,/ BS
1082965_606405_BS,1082965,606405,1111,/ BS
1083336_599217_BS,1083336,599217,1111,/ BS
1083405_603566_BS,1083405,603566,1111,/ BS
1083463_591011_BS,1083463,591011,1111,/ BS
1083553_623209_BS,1083553,623209,1111,/ BS
1084103_625410_BS,1084103,625410,1111,/ BS
1084179_608512_BS,1084179,608512,1111,/ BS
1087250_620613_BS,1087250,620613,1111,/ BS
1087712_604788_BS,1087712,604788,1111,/ BS
1088123_612040_BS,1088123,612040,1111,/ BS
1089117_631171_BS,1089117,631171,1111,/ BS
1089312_619303_BS,1089312,619303,1111,/ BS
1089464_594156_BS,1089464,594156,1111,/ BS
1089509_625782_BS,1089509,625782,1111,/ BS
1090405_601634_BS,1090405,601634,1111,/ BS
1091367_608052_BS,1091367,608052,1111,/ BS
1091430_633663_BS,1091430,633663,1111,/ BS
1092913_632515_BS,1092913,632515,1111,/ BS
1093623_591686_BS,1093623,591686,1111,/ BS
1093943_629471_BS,1093943,629471,1111,/ BS
1094194_611894_BS,1094194,611894,1111,/ BS
1094624_603426_BS,1094624,603426,1111,/ BS
1094675_621288_BS,1094675,621288,1111,/ BS
1095928_591025_BS,1095928,591025,1111,/ BS
1096234_636958_BS,1096234,636958,1111,/ BS
1096721_619355_BS,1096721,619355,1111,/ BS
1097763_604988_BS,1097763,604988,1111,/ BS
1098001_597654_BS,1098001,597654,1111,/ BS
1098593_593833_BS,1098593,593833,1111,/ BS
1100076_631886_BS,1100076,631886,1111,/ BS
1101003_612238_BS,1101003,612238,1111,/ BS
1103593_627572_BS,1103593,627572,1111,/ BS
1104205_624359_BS,1104205,624359,1111,/ BS
1106331_616703_BS,1106331,616703,1111,/ BS
1108691_619819_BS,1108691,619819,1111,/ BS
1109067_613324_BS,1109067,613324,1111,/ BS
1109201_595632_BS,1109201,595632,1111,/ BS
1110737_611904_BS,1110737,611904,1111,/ BS
1110776_624198_BS,1110776,624198,1111,/ BS
1114017_602847_BS,1114017,602847,1111,/ BS
1114440_619547_BS,1114440,619547,1111,/ BS
1115784_623229_BS,1115784,623229,1111,/ BS
1116761_632097_BS,1116761,632097,1111,/ BS
1117298_628017_BS,1117298,628017,1111,/ BS
1117595_610234_BS,1117595,610234,1111,/ BS
1117719_613130_BS,1117719,613130,1111,/ BS
1118691_613618_BS,1118691,613618,1111,/ BS
1120086_620226_BS,1120086,620226,1111,/ BS
1121189_633615_BS,1121189,633615,1111,/ BS
1121543_628583_BS,1121543,628583,1111,/ BS
1123627_609460_BS,1123627,609460,1111,/ BS
1124220_612930_BS,1124220,612930,1111,/ BS
1125051_633387_BS,1125051,633387,1111,/ BS
1125161_641108_BS,1125161,641108,1111,/ BS
1126326_625570_BS,1126326,625570,1111,/ BS
1127302_638574_BS,1127302,638574,1111,/ BS
1127474_603489_BS,1127474,603489,1111,/ BS
1127902_624618_BS,1127902,624618,1111,/ BS
1128582_611470_BS,1128582,611470,1111,/ BS
1129600_619654_BS,1129600,619654,1111,/ BS
1129961_599154_BS,1129961,599154,1111,/ BS
1131308_616770_BS,1131308,616770,1111,/ BS
1131443_606404_BS,1131443,606404,1111,/ BS
1132368_618902_BS,1132368,618902,1111,/ BS
1132496_613314_BS,1132496,613314,1111,/ BS
1132907_604700_BS,1132907,604700,1111,/ BS
1132949_627808_BS,1132949,627808,1111,/ BS
1135660_632474_BS,1135660,632474,1111,/ BS
1136153_605485_BS,1136153,605485,1111,/ BS
1136288_600314_BS,1136288,600314,1111,/ BS
1137978_620325_BS,1137978,620325,1111,/ BS
1138057_614726_BS,1138057,614726,1111,/ BS
1139777_625345_BS,1139777,625345,1111,/ BS
1141648_627974_BS,1141648,627974,1111,/ BS
1142395_599026_BS,1142395,599026,1111,/ BS
1142469_614583_BS,1142469,614583,1111,/ BS
1142587_606653_BS,1142587,606653,1111,/ BS
1143206_632160_BS,1143206,632160,1111,/ BS
1143613_622675_BS,1143613,622675,1111,/ BS
1143970_597659_BS,1143970,597659,1111,/ BS
1147514_620907_BS,1147514,620907,1111,/ BS
1147943_633933_BS,1147943,633933,1111,/ BS
1148837_628536_BS,1148837,628536,1111,/ BS
1152506_624008_BS,1152506,624008,1111,/ BS
1153758_629851_BS,1153758,629851,1111,/ BS
1154422_621549_BS,1154422,621549,1111,/ BS
1155600_618934_BS,1155600,618934,1111,/ BS
