#Detector,X,Y,Usage,Trap_Type
1565169_744483_BS,1565169,744483,11111,/ BS
1567463_739120_BS,1567463,739120,11111,/ BS
1571698_744608_BS,1571698,744608,11111,/ BS
1572637_741193_BS,1572637,741193,11111,/ BS
1573143_755397_BS,1573143,755397,11111,/ BS
1574130_752392_BS,1574130,752392,11111,/ BS
1576616_736045_BS,1576616,736045,11111,/ BS
1577943_758029_BS,1577943,758029,11111,/ BS
1578007_739353_BS,1578007,739353,11111,/ BS
1578486_722955_BS,1578486,722955,11111,/ BS
1578513_753557_BS,1578513,753557,11111,/ BS
1579246_730423_BS,1579246,730423,11111,/ BS
1579832_720299_BS,1579832,720299,11111,/ BS
1580310_748938_BS,1580310,748938,11111,/ BS
1580875_742143_BS,1580875,742143,11111,/ BS
1581245_733707_BS,1581245,733707,11111,/ BS
1581463_726464_BS,1581463,726464,11111,/ BS
1581752_738417_BS,1581752,738417,11111,/ BS
1581964_715421_BS,1581964,715421,11111,/ BS
1582577_722466_BS,1582577,722466,11111,/ BS
1582753_717137_BS,1582753,717137,11111,/ BS
1583048_713237_BS,1583048,713237,11111,/ BS
1585672_710038_BS,1585672,710038,11111,/ BS
1585933_732487_BS,1585933,732487,11111,/ BS
1585965_755921_BS,1585965,755921,11111,/ BS
1586082_754219_BS,1586082,754219,11111,/ BS
1586314_742130_BS,1586314,742130,11111,/ BS
1586722_729458_BS,1586722,729458,11111,/ BS
1587380_746406_BS,1587380,746406,11111,/ BS
1588421_720082_BS,1588421,720082,11111,/ BS
1589884_750463_BS,1589884,750463,11111,/ BS
1590331_732745_BS,1590331,732745,11111,/ BS
1590980_713441_BS,1590980,713441,11111,/ BS
1591467_760159_BS,1591467,760159,11111,/ BS
1591506_767739_BS,1591506,767739,11110,/ BS
1592161_742876_BS,1592161,742876,11111,/ BS
1592710_754358_BS,1592710,754358,11111,/ BS
1592980_729347_BS,1592980,729347,11111,/ BS
1593009_762274_BS,1593009,762274,11111,/ BS
1593712_737822_BS,1593712,737822,11111,/ BS
1593824_720367_BS,1593824,720367,11111,/ BS
1595242_740037_BS,1595242,740037,11111,/ BS
1595541_744014_BS,1595541,744014,11111,/ BS
1595868_754862_BS,1595868,754862,11111,/ BS
1595872_749308_BS,1595872,749308,11111,/ BS
1595875_761125_BS,1595875,761125,11111,/ BS
1596709_734064_BS,1596709,734064,11111,/ BS
1598566_751874_BS,1598566,751874,11111,/ BS
1599111_760225_BS,1599111,760225,11111,/ BS
1599309_747626_BS,1599309,747626,11111,/ BS
1599480_727349_BS,1599480,727349,11111,/ BS
1601228_764940_BS,1601228,764940,11111,/ BS
1601314_735864_BS,1601314,735864,11111,/ BS
1601519_720844_BS,1601519,720844,11111,/ BS
1601561_727615_BS,1601561,727615,11111,/ BS
1601672_723590_BS,1601672,723590,11111,/ BS
1602835_741309_BS,1602835,741309,11111,/ BS
1602922_745360_BS,1602922,745360,11111,/ BS
1603056_720636_BS,1603056,720636,11111,/ BS
1605402_761433_BS,1605402,761433,11111,/ BS
1605507_738520_BS,1605507,738520,11111,/ BS
1605507_755083_BS,1605507,755083,11111,/ BS
1606638_724931_BS,1606638,724931,11111,/ BS
1606814_715664_BS,1606814,715664,11111,/ BS
1607003_735479_BS,1607003,735479,11111,/ BS
1607120_746401_BS,1607120,746401,11111,/ BS
1608071_755511_BS,1608071,755511,11111,/ BS
1608385_749896_BS,1608385,749896,11111,/ BS
1609080_761802_BS,1609080,761802,11111,/ BS
1609216_749699_BS,1609216,749699,11111,/ BS
1609220_727583_BS,1609220,727583,11111,/ BS
1609854_731299_BS,1609854,731299,11111,/ BS
1611077_736707_BS,1611077,736707,11111,/ BS
1611142_748026_BS,1611142,748026,11111,/ BS
1613745_739471_BS,1613745,739471,11111,/ BS
1614397_749351_BS,1614397,749351,11111,/ BS
1614726_734951_BS,1614726,734951,11111,/ BS
1614976_725895_BS,1614976,725895,11111,/ BS
1614978_745587_BS,1614978,745587,11111,/ BS
1615122_731063_BS,1615122,731063,11111,/ BS
1617699_739269_BS,1617699,739269,11111,/ BS
1617980_732337_BS,1617980,732337,11111,/ BS
1620198_728379_BS,1620198,728379,11111,/ BS
1620446_744569_BS,1620446,744569,11111,/ BS
1622896_741953_BS,1622896,741953,11111,/ BS
1623686_738923_BS,1623686,738923,11111,/ BS
1624671_724912_BS,1624671,724912,11111,/ BS
1625401_733386_BS,1625401,733386,11111,/ BS
