GBPU Name,Abundance,Density,year
Alta,132,10,2018
Babine,313,22.8,2018
Blackwater-West Chilcotin,53,2.4,2018
Bulkley-Lakes,439,19.7,2018
Cassiar,611,17.1,2018
Central Monashee,147,23.5,2018
Central Rockies,169,27.9,2018
Central Selkirk,188,34.5,2018
Central-South Purcells,176,15.8,2018
Columbia-Shuswap,318,25.2,2018
Cranberry,352,30.7,2018
Edziza-Lower Stikine,398,29.4,2018
Finlay-Ospika,971,32.5,2018
Flathead,140,40.2,2018
Francois,58,7.5,2018
Garibaldi-Pitt,3,0.5,2018
Hart,244,12.5,2018
Hyland,231,13.4,2018
Kettle-Granby,87,13.3,2018
Khutzeymateen,277,38.4,2018
Kingcome-Wakeman,199,41,2018
Kitlope-Fiordland,214,23.1,2018
Klinaklini-Homathko,251,20.3,2018
Knight-Bute,250,46.6,2018
Kwatna-Owikeno,229,24.8,2018
Moberly,71,9.4,2018
Muskwa,840,23.9,2018
Nation,170,9.7,2018
North Cascades,6,0.6,2018
North Coast,190,30.4,2018
North Purcells,332,38.6,2018
North Selkirk,265,48.9,2018
Nulki,44,2.7,2018
Omineca,402,14,2018
Parsnip,455,42.6,2018
Quesnel Lake North,187,21.5,2018
Robson,534,28.4,2018
Rockies Park Ranges,116,20.2,2018
Rocky,538,14.3,2018
South Chilcotin Ranges,222,11.7,2018
South Rockies,170,21.2,2018
South Selkirk,58,14.3,2018
Spatsizi,666,31.9,2018
Squamish-Lillooet,46,9.3,2018
Stein-Nahatlatch,22,2.9,2018
Stewart,358,40.3,2018
Taiga,94,1.9,2018
Taku,576,20.8,2018
Tatshenshini,407,28.1,2018
Toba-Bute,130,20.9,2018
Tweedsmuir,368,22.1,2018
Upper Skeena-Nass,755,46.9,2018
Valhalla,88,25.5,2018
Wells Gray,345,24.8,2018
Yahk,20,7.4,2018
Alta,132,,2010
Babine,286,,2010
Blackwater-West Chilcotin,186,,2010
Bulkley-Lakes,389,,2010
Cassiar,736,,2010
Central Monashee,160,,2010
Central Purcell,225,,2010
Central Rockies,173,,2010
Central Selkirk,216,,2010
Columbia-Shuswap,359,,2010
Cranberry,336,,2010
Edziza-Lower Stikine,375,,2010
Finlay-Ospika,692,,2010
Flathead,178,,2010
Francois,146,,2010
Garibaldi-Pitt,20,,2010
Hart,392,,2010
Hyland,329,,2010
Kettle-Granby,79,,2010
Khutzeymateen,273,,2010
Kingcome-Wakeman,222,,2010
Kitlope-Fiordland,277,,2010
Klinaklini-Homathko,110,,2010
Knight-Bute,169,,2010
Kwatna-Owikeno,317,,2010
Moberly,167,,2010
Muskwa,755,,2010
Nation,241,,2010
North Cascades,19,,2010
North Coast,214,,2010
North Purcell,237,,2010
North Selkirk,260,,2010
Nulki,184,,2010
Omineca,481,,2010
Parsnip,468,,2010
Quesnel Lake North,322,,2010
Robson,631,,2010
Rockies Park Ranges,112,,2010
Rocky,729,,2010
South Chilcotin Ranges,97,,2010
South Rockies,301,,2010
South Selkirk,56,,2010
Spatsizi,529,,2010
Spillamacheen,112,,2010
Squamish-Lillooet,57,,2010
Stein-Nahatlatch,62,,2010
Stewart,313,,2010
Taiga,100,,2010
Taku,578,,2010
Tatshenshini,369,,2010
Toba-Bute,76,,2010
Tweedsmuir,283,,2010
Upper Skeena-Nass,662,,2010
Valhalla,98,,2010
Wells Gray,373,,2010
Yahk,43,,2010
Alta,132,,2011
Babine,313,,2011
Blackwater-West Chilcotin,35,,2011
Bulkley-Lakes,336,,2011
Cassiar,612,,2011
Central Monashee,154,,2011
Central Purcell,176,,2011
Central Rockies,169,,2011
Central Selkirk,188,,2011
Columbia-Shuswap,346,,2011
Cranberry,352,,2011
Edziza-Lower Stikine,398,,2011
Finlay-Ospika,971,,2011
Flathead,178,,2011
Francois,58,,2011
Garibaldi-Pitt,2,,2011
Hart,244,,2011
Hyland,231,,2011
Kettle-Granby,81,,2011
Khutzeymateen,280,,2011
Kingcome-Wakeman,197,,2011
Kitlope-Fiordland,267,,2011
Klinaklini-Homathko,296,,2011
Knight-Bute,204,,2011
Kwatna-Owikeno,229,,2011
Moberly,71,,2011
Muskwa,840,,2011
Nation,169,,2011
North Cascades,16,,2011
North Coast,190,,2011
North Purcell,234,,2011
North Selkirk,265,,2011
Nulki,44,,2011
Omineca,402,,2011
Parsnip,455,,2011
Quesnel Lake North,221,,2011
Robson,534,,2011
Rockies Park Ranges,116,,2011
Rocky,538,,2011
South Chilcotin Ranges,196,,2011
South Rockies,302,,2011
South Selkirk,58,,2011
Spatsizi,665,,2011
Spillamacheen,98,,2011
Squamish-Lillooet,39,,2011
Stein-Nahatlatch,21,,2011
Stewart,355,,2011
Taiga,94,,2011
Taku,575,,2011
Tatshenshini,407,,2011
Toba-Bute,62,,2011
Tweedsmuir,434,,2011
Upper Skeena-Nass,755,,2011
Valhalla,83,,2011
Wells Gray,285,,2011
Yahk,20,,2011
