Project,Sample ID,HTorRT,Area,GBPU,Name/WGI_ID,Name/Apps/WGI,NEWIDS,HT_ID,NEW SITE ID,Site Name,Easting,Northing,Latitude,Longitude ,YR,MO,DY,Date,Session,Cell,HTs,RTs,ID,HIT,Individual,Sex,Note or Genetic Ancestry ,,,
Region-2005,5SNSA,C,VanHorlick,SN,Vanessa,Vanessa F64,Vanessa,,,,,,,,2005,5,5,5-05-2005,0,X,,,F64,1,55024d1,F,"Stein-Nahatlatch Study Animal ""Vanessa""",,,
Region-2005,5SNSA,C,Texas,SN,Heidi,Heidi F67,Heidi,,,,572969,5597638,50.526139,-121.970545,2005,5,10,10-05-2005,0,X,,,F67,1,5SNSAGF2,F,"Stein-Nahatlatch Study Animal ""Heidi""",,,
Region-2005,5SNSA,C,VanHorlick,SN,Cod,Cod M70,Cod,,,,,,,,2005,5,13,13-05-2005,0,X,,,M70,1,51016l1,M,"Stein-Nahatlatch Study Animal ""Cod""",,,
Region-2005,5SNSA,C,,SN,Tex,Tex F68,Tex,,,,573002,5588376,,,2005,5,13,13-05-2005,0,X,,,F68,1,5SNSAGF3,F,"Stein-Nahatlatch Study Animal ""Tex""",,,
Region-2005,5SNSA,C,Scudamore,SN,Scud,Scud M72,Scud,,,,559886,5565859,50.371080,-122.334586,2005,5,23,23-05-2005,0,X,,,M72,1,54023a1,M,"Stein-Nahatlatch Study Animal ""Scud""",,,
Region-2005,51016l1,HT,Blowdown,SN,Cod,Cod M70,Cod,13,,Reg-2005-16,553363,5582786,50.394698,-122.249240,2005,6,14,14-06-2005,1,16,15,0,M70,2,51016l1,M,,,,
Region-2005,51016i1,HT,Blowdown,SN,Vanessa,Vanessa F64,Vanessa,13,,Reg-2005-16,553363,5582786,50.394698,-122.249240,2005,6,14,14-06-2005,1,16,15,0,F64,1,55024d1,F,,,,
Region-2005,51016b1,HT,Blowdown,SN,Cod,Cod M70,Cod,13,,"Reg-2005-16
",553363,5582786,50.394698,-122.249240,2005,6,14,14-06-2005,1,16,15,0,M70,1,51016l1,M,,,,
Region-2005,51018a2,HT,Texas,SN,55039a1,M65,M65,24,,Reg-2005-18,572929,5588021,50.439665,-121.972992,2005,6,14,14-06-2005,1,18,15,0,M65,1,55039a1,M,,,,
Region-2005,51018b1,HT,Texas,SN,55039a1,M65,M65,24,,Reg-2005-18,572929,5588021,50.439665,-121.972992,2005,6,14,14-06-2005,1,18,15,0,M65,2,55039a1,M,,,,
Region-2005,51018d1,HT,Texas,SN,55039a1,M65,M65,24,,Reg-2005-18,572929,5588021,50.439665,-121.972992,2005,6,14,14-06-2005,1,18,15,0,M65,3,55039a1,M,,,,
Region-2005,52016d2,HT,Blowdown,SN,52016d2,M79,M79,13,,Reg-2005-16,553363,5582786,50.394698,-122.249240,2005,6,24,24-06-2005,2,16,15,0,M79,1,52016d2,M,,,,
Region-2005,52016a1,HT,Blowdown,SN,Vanessa,Vanessa F64,Vanessa,13,,Reg-2005-16,553363,5582786,50.394698,-122.249240,2005,6,24,24-06-2005,2,16,15,0,F64,1,55024d1,F,,,,
Region-2005,52023b1,HT,VanHorlick,SN,Scud,Scud M72,Scud,2,,Reg-2005-23,552151,5571915,50.297048,-122.267789,2005,6,24,24-06-2005,2,23,15,0,M72,1,54023a1,M,,,,
Region-2005,52023h1,HT,VanHorlick,SN,Scud,Scud M72,Scud,2,,Reg-2005-23,552151,5571915,50.297048,-122.267789,2005,6,24,24-06-2005,2,23,15,0,M72,2,54023a1,M,,,,
Region-2005,52003a1,HT,Lost Valley,SN,Cod,Cod M70,Cod,53,,Reg-2005-3,546330,5599483,50.545449,-122.346106,2005,6,24,24-06-2005,2,3,15,0,M70,1,51016l1,M,,,,
Region-2005,52008e3,HT,Barkley,SN,Cod,Cod M70,Cod,40,,Reg-2005-8,544923,5595692,50.511466,-122.366422,2005,6,24,24-06-2005,2,8,15,0,M70,1,51016l1,M,,,,
