Sample ID,HTorRT,Area,GBPU,Name/WGI_ID,Name/Apps/WGI,NEWIDS,HT_ID,pooled RTs,Site Name,Northing,Easting,Latitude,Long ,YR,MO,DY,Session,Cell,HTs,RTs,ID,HIT,Individual,Sex
Ht Anderson-170811-3,HT,Anderson,SC,Rock ,Rock  M128,Rock ,105,,HT Anderson,5617638,547886,50.7086,-122.3218,2011,8,17,2,,9,16,M128,1,63025-c1,M
Ht Anderson-170811-5,HT,Anderson,SC,Rock ,Rock  M128,Rock ,105,,HT Anderson,5617638,547886,50.7086,-122.3218,2011,8,17,2,,9,16,M128,2,63025-c1,M
HT Anderson021111-3b,HT,Anderson,SC,BOB,BOB M125,BOB,105,,HT Anderson,5617638,547886,50.7086,-122.3218,2011,11,2,4,,3,7,M125,1,63014-a3,M
HT Anderson021111-2,HT,Anderson,SC,61021-a1,M104,M104,105,,HT Anderson,5617638,547886,50.7086,-122.3218,2011,11,2,4,,3,7,M104,1,61021-a1,M
HT Anderson -160712-1,HT,Anderson,SC,Wanda,Wanda F237,Wanda,106,,HT Anderson,5617638,547886,50.7086,-122.3218,2012,7,16,1,,13,14,F237,1,LC7-00-Plots-f1,F
HT Anderson -10812-3a,HT,Anderson,SC,Marge,Marje F118,Marge,106,,HT Anderson,5617638,547886,50.7086,-122.3218,2012,8,1,2,,7,13,F118,1,62014-d1,F
HT Anderson -10812-6a,HT,Anderson,SC,Wanda,Wanda F237,Wanda,106,,HT Anderson,5617638,547886,50.7086,-122.3218,2012,8,1,2,,7,13,F237,1,LC7-00-Plots-f1,F
HT Adn-160713-1,HT,Anderson,SC,Wanda,Wanda F237,Wanda,106,,HT Anderson,5617638,547886,50.7086,-122.3218,2013,7,16,1,,12,15,F237,1,LC7-00-Plots-f1,F
HT Adn-310713-2,HT,Anderson,SC,Wanda,Wanda F237,Wanda,106,,HT Anderson,5617638,547886,50.7086,-122.3218,2013,7,31,2,,7,14,F237,1,LC7-00-Plots-f1,F
HT Adn-310713-3,HT,Anderson,SC,Wanda,Wanda F237,Wanda,106,,HT Anderson,5617638,547886,50.7086,-122.3218,2013,7,31,2,,7,14,F237,2,LC7-00-Plots-f1,F
HT Adn-310713-P,HT,Anderson,SC,Wanda,Wanda F237,Wanda,106,,HT Anderson,5617638,547886,50.7086,-122.3218,2013,7,31,2,,7,14,F237,3,LC7-00-Plots-f1,F
HT Adn-160813-1,HT,Anderson,SC,Rock ,Rock  M128,Rock ,106,,HT Anderson,5617638,547886,50.7086,-122.3218,2013,8,16,3,,7,14,M128,1,63025-c1,M
HT Adn--3,HT,Anderson,SC,Rock ,Rock  M128,Rock ,106,,HT Anderson,5617638,547886,50.7086,-122.3218,2013,8,16,3,,7,14,M128,2,63025-c1,M
HT Anderson-100714-1,HT,Anderson,SC,Rock ,Rock  M128,Rock ,106,,HT Anderson,5617638,547886,50.7086,-122.3218,2014,7,10,1,,20,22,M128,1,63025-c1,M
HT Anderson-100714-2A,HT,Anderson,SC,Rock ,Rock  M128,Rock ,106,,HT Anderson,5617638,547886,50.7086,-122.3218,2014,7,10,1,,20,22,M128,2,63025-c1,M
HT Anderson-90814-1,HT,Anderson,SC,HT Anderson-14-1,F132/M221 2014 Boy,F132/M221_2014_Boy,106,,HT Anderson,5617638,547886,50.7086,-122.3218,2014,8,9,2,,20,21,,1,HT Anderson-14-1,M
HT Anderson-90814-2A,HT,Anderson,SC,Rt Anderson 2-170811-2, F384,F384,106,,HT Anderson,5617638,547886,50.7086,-122.3218,2014,8,9,2,,20,21,F384,1,Rt Anderson 2-170811-2,F
,HT,Anderson,,,,NONE,,,HT Anderson,5617638,547886,50.7086,-122.3218,2011,10,16,3,,,,,,,
,HT,Anderson,,,,NONE,,,HT Anderson,5617638,547886,50.7086,-122.3218,2012,9,23,3,,,,,,,
,HT,Anderson,,,,NONE,,,HT Anderson,5617638,547886,50.7086,-122.3218,2014,9,22,3,,,,,,,
Rt Anderson 2-010811-1,RT,Anderson,SC,Jasmine,Jasmine F108,Jasmine,1044,RT Anderson,RT Anderson MM,5616346,546586,50.6970670,-122.3403773,2011,8,1,1,,9,16,F108,1,61024-i1,F
Rt Anderson 2-170811-2,RT,Anderson,SC,Rt Anderson 2-170811-2, F384,F384,1044,RT Anderson,RT Anderson MM,5617656,524695,50.7102,-122.6502,2011,8,17,2,,9,17,F384,1,Rt Anderson 2-170811-2,F
Rt Anderson 2-170811-3,RT,Anderson,SC,Rt Anderson 2-170811-2, F384,F384,1044,RT Anderson,RT Anderson MM,5617656,524695,50.7102,-122.6502,2011,8,17,2,,9,17,F384,2,Rt Anderson 2-170811-2,F
Rt Anderson 2-170811-1,RT,Anderson,SC,Rock ,Rock  M128,Rock ,1044,RT Anderson,RT Anderson MM,5617656,524695,50.7102,-122.6502,2011,8,17,2,,9,17,M128,1,63025-c1,M
RT Anderson 4-230912-1,RT,Anderson,SC,Rock ,Rock  M128,Rock ,1045,RT Anderson,RT Anderson MM,5617666,547964,50.7088,-122.3207,2012,9,23,3,,6,11,M128,1,63025-c1,M
Rt Anderson PP-160712-1,RT,Anderson,SC,Wanda,Wanda F237,Wanda,1031,RT Anderson,RT Anderson PP,5616540,546820,50.6987900,-122.3370400,2012,7,16,1,,7,13,F237,1,LC7-00-Plots-f1,F
RT Adn PP-160713-,RT,Anderson,SC,Burnadette,Burnadette F126,Burnadette,1035,RT Anderson,RT Anderson PP,5616540,546820,50.6987900,-122.3370400,2013,7,16,1,,7,14,F126,1,63024-a1,F
RT Anderson PP-100714-1,RT,Anderson,SC,Rt Anderson 2-170811-2, F384,F384,1035,RT Anderson,RT Anderson PP,5616540,546820,50.6987900,-122.3370400,2014,7,10,1,,20,21,F384,1,Rt Anderson 2-170811-2,F
RT Anderson PP-90814-1,RT,Anderson,SC,Rt Anderson 2-170811-2, F384,F384,1035,RT Anderson,RT Anderson PP,5616540,546820,50.6987900,-122.3370400,2014,8,9,2,,11,18,F384,1,Rt Anderson 2-170811-2,F
,RT,Anderson,,,,NONE,,RT Anderson,RT Anderson PP,5616540,546820,50.6987900,-122.3370400,2014,9,22,3,,,,,,,
Rt Anderson 1-010811-6,RT,Anderson,SC,Burnadette,Burnadette F126,Burnadette,1035,RT Anderson,RT Anderson1,5616612,546899,50.6994338,-122.3359120,2011,8,1,1,,9,16,F126,1,63024-a1,F
Rt Anderson 1-010811-3,RT,Anderson,SC,Wanda,Wanda F237,Wanda,1035,RT Anderson,RT Anderson1,5616612,546899,50.6994338,-122.3359120,2011,8,1,1,,9,16,F237,1,LC7-00-Plots-f1,F
RT Anderson 1161011-1,RT,Anderson,SC,BOB,BOB M125,BOB,1035,RT Anderson,RT Anderson1,5616612,546899,50.6994338,-122.3359120,2011,10,16,3,,3,7,M125,1,63014-a3,M
RT Anderson 1161011-2,RT,Anderson,SC,Rock ,Rock  M128,Rock ,1035,RT Anderson,RT Anderson1,5616612,546899,50.6994338,-122.3359120,2011,10,16,3,,3,7,M128,1,63025-c1,M
RT Anderson 1161011-3,RT,Anderson,SC,Rock ,Rock  M128,Rock ,1035,RT Anderson,RT Anderson1,5616612,546899,50.6994338,-122.3359120,2011,10,16,3,,3,7,M128,2,63025-c1,M
RT Anderson 1021111-1,RT,Anderson,SC,Jasmine,Jasmine F108,Jasmine,1035,RT Anderson,RT Anderson1,5616612,546899,50.6994338,-122.3359120,2011,11,2,4,,3,7,F108,1,61024-i1,F
RT Anderson 1021111-2,RT,Anderson,SC,Jasmine,Jasmine F108,Jasmine,1035,RT Anderson,RT Anderson1,5616612,546899,50.6994338,-122.3359120,2011,11,2,4,,3,7,F108,2,61024-i1,F
