Project,Sample ID,HTorRT,Area,Hair trap zone,GBPU,Name/WGI_ID,Name/Apps/WGI,NEWIDS,HTorRT,HT_ID,pooled RTs,Site Name,Northing,Easting,Latitude,Long ,YR,MO,DY,Session,Cell,HTs,RTs,ID,HIT,Individual,Sex,Note or Genetic Ancestry ,,,,
Lillooet Study 2011,Ht Anderson-170811-3,HT,Anderson,BRALORNE,SC,Rock ,Rock  M128,Rock ,HT,105,,HT Anderson,5617638,547886,50.7086,-122.3218,2011,8,17,2,,9,16,M128,1,63025-c1,M,,,,,
Lillooet Study 2011,Ht Anderson-170811-5,HT,Anderson,BRALORNE,SC,Rock ,Rock  M128,Rock ,HT,105,,HT Anderson,5617638,547886,50.7086,-122.3218,2011,8,17,2,,9,16,M128,2,63025-c1,M,,,,,
,,,,,,,,NONE,,,,HT Anderson,5617638,547886,50.7086,-122.3218,2011,10,16,3,,,,,,,,,,,,
Lillooet Study 2011,HT Anderson021111-3b,HT,Anderson,BRALORNE,SC,BOB,BOB M125,BOB,HT,105,,HT Anderson,5617638,547886,50.7086,-122.3218,2011,11,2,4,,3,7,M125,1,63014-a3,M,,,,,
Lillooet Study 2011,HT Anderson021111-2,HT,Anderson,BRALORNE,SC,61021-a1,M104,M104,HT,105,,HT Anderson,5617638,547886,50.7086,-122.3218,2011,11,2,4,,3,7,M104,1,61021-a1,M,,,,,
Lillooet Study 2012,HT Anderson -160712-1,HT,Anderson,BRALORNE,SC,Wanda,Wanda F237,Wanda,HT,106,,HT Anderson,5617638,547886,50.7086,-122.3218,2012,7,16,1,,13,14,F237,1,LC7-00-Plots-f1,F,SC,,,250.250,
Lillooet Study 2012,HT Anderson -10812-3a,HT,Anderson,BRALORNE,SC,Marge,Marje F118,Marge,HT,106,,HT Anderson,5617638,547886,50.7086,-122.3218,2012,8,1,2,,7,13,F118,1,62014-d1,F,SC,,,250.250,
Lillooet Study 2012,HT Anderson -10812-6a,HT,Anderson,BRALORNE,SC,Wanda,Wanda F237,Wanda,HT,106,,HT Anderson,5617638,547886,50.7086,-122.3218,2012,8,1,2,,7,13,F237,1,LC7-00-Plots-f1,F,SC,,,250.250,
,,,,,,,,NONE,,,,HT Anderson,5617638,547886,50.7086,-122.3218,2012,9,23,3,,,,,,,,,,,,
Lillooet Study 2013,HT Adn-160713-1,HT,Anderson ,BRALORNE,SC,Wanda,Wanda F237,Wanda,HT,106,,HT Anderson,5617638,547886,50.7086,-122.3218,2013,7,16,1,,12,15,F237,1,LC7-00-Plots-f1,F,,,,,
Lillooet Study 2013,HT Adn-310713-2,HT,Anderson ,BRALORNE,SC,Wanda,Wanda F237,Wanda,HT,106,,HT Anderson,5617638,547886,50.7086,-122.3218,2013,7,31,2,,7,14,F237,1,LC7-00-Plots-f1,F,,,,,
Lillooet Study 2013,HT Adn-310713-3,HT,Anderson ,BRALORNE,SC,Wanda,Wanda F237,Wanda,HT,106,,HT Anderson,5617638,547886,50.7086,-122.3218,2013,7,31,2,,7,14,F237,2,LC7-00-Plots-f1,F,,,,,
Lillooet Study 2013,HT Adn-310713-P,HT,Anderson ,BRALORNE,SC,Wanda,Wanda F237,Wanda,HT,106,,HT Anderson,5617638,547886,50.7086,-122.3218,2013,7,31,2,,7,14,F237,3,LC7-00-Plots-f1,F,,,,,
Lillooet Study 2013,HT Adn-160813-1,HT,Anderson ,BRALORNE,SC,Rock ,Rock  M128,Rock ,HT,106,,HT Anderson,5617638,547886,50.7086,-122.3218,2013,8,16,3,,7,14,M128,1,63025-c1,M,,,,,
Lillooet Study 2013,HT Adn--3,HT,Anderson ,BRALORNE,SC,Rock ,Rock  M128,Rock ,HT,106,,HT Anderson,5617638,547886,50.7086,-122.3218,2013,8,16,3,,7,14,M128,2,63025-c1,M,,,,,
Lillooet Study 2014,HT Anderson-100714-1,HT,Anderson,BRALORNE,SC,Rock ,Rock  M128,Rock ,HT,106,,HT Anderson,5617638,547886,50.7086,-122.3218,2014,7,10,1,,20,22,M128,1,63025-c1,M,,,,,
Lillooet Study 2014,HT Anderson-100714-2A,HT,Anderson,BRALORNE,SC,Rock ,Rock  M128,Rock ,HT,106,,HT Anderson,5617638,547886,50.7086,-122.3218,2014,7,10,1,,20,22,M128,2,63025-c1,M,,,,,
Lillooet Study 2014,HT Anderson-90814-1,HT,Anderson,BRALORNE,SC,HT Anderson-14-1,F132/M221 2014 Boy,F132/M221_2014_Boy,HT,106,,HT Anderson,5617638,547886,50.7086,-122.3218,2014,8,9,2,,20,21,,1,HT Anderson-14-1,M,,,,,
Lillooet Study 2014,HT Anderson-90814-2A,HT,Anderson,BRALORNE,SC,Rt Anderson 2-170811-2, F384,F384,HT,106,,HT Anderson,5617638,547886,50.7086,-122.3218,2014,8,9,2,,20,21,F384,1,Rt Anderson 2-170811-2,F,,,,,
,,,,,,,,NONE,,,,HT Anderson,5617638,547886,50.7086,-122.3218,2014,9,22,3,,,,,,,,,,,,
,,,,,,,,NONE,,,,HT Barkely2,5593156,547584,50.48844982,-122.3292175,2013,7,3,1,,,,,,,,,,,,
,,,,,,,,NONE,,,,HT Barkely2,5593156,547584,50.48844982,-122.3292175,2013,7,23,2,,,,,,,,,,,,
,,,,,,,,NONE,,,,HT Barkely2,5593156,547584,50.48844982,-122.3292175,2013,9,22,3,,,,,,,,,,,,
,,,,,,,,NONE,,,,HT Barkley 2010,5593062,547124,50.48764,-122.33571,2010,7,13,1,,,,,,,,,,,,
,,,,,,,,NONE,,,,HT Barkley 2010,5593062,547124,50.48764,-122.33571,2010,8,8,2,,,,,,,,,,,,
,,,,,,,,NONE,,,,HT Barkley 2012,5593048,546550,50.4876,-122.3438,2012,7,24,1,,,,,,,,,,,,
Lillooet Study 2012,Ht Barkley-300812-1,HT,Barkley ,MIDDLE,SN,Terry ,Terry M320,Terry,HT,33,,HT Barkley 2012,5593048,546550,50.4876,-122.3438,2012,8,30,2,,11,10,M320,1,DNA10-14,,SN,?Male,red,204.250,Stein
,,,,,,,,NONE,,,,HT Barkley 2012,5593048,546550,50.4875617,-122.3438061,2014,6,8,1,,,,,,,,,,,,
,,,,,,,,NONE,,,,HT Barkley 2012,5593048,546550,50.4875617,-122.3438061,2014,6,26,2,,,,,,,,,,,,
,,,,,,,,NONE,,,,HT Barkley 2012,5593048,546550,50.4875617,-122.3438061,2014,7,12,3,,,,,,,,,,,,
,,,,,,,,NONE,,,,HT Barkley 2012,5593048,546550,50.4875617,-122.3438061,2014,8,14,4,,,,,,,,,,,,
,,,,,,,,NONE,,,,HT Barkley 2012,5593048,546550,50.4875617,-122.3438061,2014,10,2,5,,,,,,,,,,,,
Lillooet Study 2011,Ht U birkenhead-290711-10d,HT,Upper Birkinghead,MIDDLE,SC,Hope,Hope F139,Hope,HT,60,,HT Birkenhead Bridge Heli,5601863,509662,50.5686,-122.8636,2011,7,29,1,,9,16,F139,1,64038-c1,F,,,,,
Lillooet Study 2011,Ht U birkenhead-290711-11,HT,Upper Birkinghead,MIDDLE,SC,Hope,Hope F139,Hope,HT,60,,HT Birkenhead Bridge Heli,5601863,509662,50.5686,-122.8636,2011,7,29,1,,9,16,F139,2,64038-c1,F,,,,,
Lillooet Study 2011,Ht U birkenhead-290711-6d,HT,Upper Birkinghead,MIDDLE,SC,Walnut,Walnut F382,Walnut,HT,60,,HT Birkenhead Bridge Heli,5601863,509662,50.5686,-122.8636,2011,7,29,1,,9,16,F382,1,Ht U birkenhead-170811-2,F,,,,,
Lillooet Study 2011,Ht U birkenhead-170811-4,HT,Upper Birkinghead,MIDDLE,SC,62038-g1,M123,M123,HT,60,,HT Birkenhead Bridge Heli,5601863,509662,50.5686,-122.8636,2011,8,17,2,,9,16,M123,1,62038-g1,M,,,,,
Lillooet Study 2011,Ht U birkenhead-170811-6,HT,Upper Birkinghead,MIDDLE,SC,DNA18-1B, Wallnut sister F323,Wallnutsister,HT,60,,HT Birkenhead Bridge Heli,5601863,509662,50.5686,-122.8636,2011,8,17,2,,9,16,F323,1,DNA18-1B,F,,,,,
Lillooet Study 2011,Ht U birkenhead-170811-1,HT,Upper Birkinghead,MIDDLE,SC,Walnut,Walnut F382,Walnut,HT,60,,HT Birkenhead Bridge Heli,5601863,509662,50.5686,-122.8636,2011,8,17,2,,9,16,F382,1,Ht U birkenhead-170811-2,F,,,,,
