ID,Trap ID per site,Sampling Project,Use in Popn Analysis,Sessions,Site,Easting,Northing,Sess 1,Sess 2,Sess 3,Sess 4,Sess 5
1,Reg-2004-1,Region-2004,yes,4,1,415606,5622519,M1,,,,
2,Reg-2004-2,Region-2004,yes,4,2,413364,5617185,F2,,,,
3,Reg-2004-3,Region-2004,yes,4,3,412726,5608355,M3,,"M39,F38",M39,
4,Reg-2004-4,Region-2004,yes,4,4,422965,5614063,F4,,M40,M40,
5,Reg-2004-5,Region-2004,yes,4,5,432400,5613595,,,,"F47,F48",
6,Reg-2004-6,Region-2004,yes,4,6,392398,5608713,,,,,
7,Reg-2004-7,Region-2004,yes,4,7,403713,5605630,M5,,,,
8,Reg-2004-8,Region-2004,yes,4,8,416863,5604768,M6,M26,,M49,
9,Reg-2004-9,Region-2004,yes,4,9,425026,5603779,,M27,,M50,
10,Reg-2004-10,Region-2004,yes,4,10,433286,5604673,,F28,M41,,
11,Reg-2004-11,Region-2004,yes,4,11,442859,5603157,,"M30,F29",M30,,
12,Reg-2004-12,Region-2004,yes,4,12,397706,5596101,,,,M42,
13,Reg-2004-13,Region-2004,yes,4,13,403866,5595414,,,M42,M42,
14,Reg-2004-14,Region-2004,yes,4,14,414694,5595894,,M10,,,
15,Reg-2004-15,Region-2004,yes,4,15,429980,5597616,"M7,F31","M7,F31",,,
16,Reg-2004-16,Region-2004,yes,4,16,436009,5592690,M8,,M7,,
17,Reg-2004-17,Region-2004,yes,4,17,443963,5590069,"M8,M9",,,,
18,Reg-2004-18,Region-2004,yes,4,18,457377,5592195,,,,,
19,Reg-2004-19,Region-2004,yes,4,19,384823,5582545,,,,,
20,Reg-2004-20,Region-2004,yes,4,20,399748,5584130,,,M10,,
21,Reg-2004-21,Region-2004,yes,4,21,403000,5582500,M10,,,,
22,Reg-2004-22,Region-2004,yes,4,22,420924,5587724,,,M43,,
23,Reg-2004-23,Region-2004,yes,4,23,426773,5582653,F11,F11,,M51,
24,Reg-2004-24,Region-2004,yes,4,24,447879,5586695,M8,,M43,,
25,Reg-2004-25,Region-2004,yes,4,25,456080,5580632,,,,,
26,Reg-2004-26,Region-2004,yes,4,26,459734,5591991,,,,,
27,Reg-2004-27,Region-2004,yes,4,27,475257,5587989,"M14,F12,F13,F15","M14,F15",M32,M14,
28,Reg-2004-28,Region-2004,yes,4,28,492449,5588901,,"M32,M33","M32,M33",M33,
29,Reg-2004-29,Region-2004,yes,4,29,502250,5581445,,,,,
30,Reg-2004-30,Region-2004,yes,4,30,389532,5575191,,,,,
31,Reg-2004-31,Region-2004,yes,4,31,398636,5576438,,,,,
32,Reg-2004-32,Region-2004,yes,4,32,409067,5576421,,,,,
