PROJECT,SITE_NUMBE,SITE_NAME,DNA#,N or S of Hwy 3,EAST,NORTH,ORIGIN,Drainage,YEAR
Hwy 3 2004,3Hwy8,Baldy Ridge,"10227, 10277",N,568150,5476051,Hwy3 2004,x,2004
Hwy 3 2004,3Hwy29,Barkshanty OG,"10172, 10212, 10262, 10312",S,587114,5462461,Hwy3 2004,x,2004
Hwy 3 2004,3Hwy1,Bigattini Ridge,"10188, 10220, 10279, ",N,570536,5481489,Hwy3 2004,x,2004
Hwy 3 2004,3Hwy23,Cooper Lake,"10342,",N,560555,5463765,Hwy3 2004,x,2004
Hwy 3 2004,3Hwy20,Cotton,10234,S,587902,5467492,Hwy3 2004,x,2004
Hwy 3 2004,3Hwy39,Etna Creek,,N,581590,5459436,Hwy3 2004,x,2004
Hwy 3 2004,3Hwy28,Etna Ridge,"10170, 10209, 10259, 10311",N,581493,5461072,Hwy3 2004,x,2004
Hwy 3 2004,3Hwy40,Farrel cr.,"10171, 10210, 10250, 10308",S,584622,5456745,Hwy3 2004,x,2004
Hwy 3 2004,3Hwy3,Fassifern,,N,582052,5481733,Hwy3 2004,x,2004
Hwy 3 2004,3Hwy31,Gold,"10294, 10327",S,595148,5463326,Hwy3 2004,x,2004
Hwy 3 2004,3Hwy22,Gold Meadow,"10218, 10328",S,597372,5466340,Hwy3 2004,x,2004
Hwy 3 2004,3Hwy30,Gold Straight,"10216, 10326, 10152",S,594433,5461466,Hwy3 2004,x,2004
Hwy 3 2004,3Hwy41,Gold Top,10151,S,590284,5459435,Hwy3 2004,x,2004
Hwy 3 2004,3Hwy49,Irishman Bottom,10261,N,571219,5451751,Hwy3 2004,x,2004
Hwy 3 2004,3Hwy36,Irishman Lake,"10185, 10238, 10280",N,568249,5459375,Hwy3 2004,x,2004
Hwy 3 2004,3Hwy14,Joseph,"10155, 10324",S,593370,5472562,Hwy3 2004,x,2004
Hwy 3 2004,3Hwy2,Kiakho Cr,"10180, 10225, 10345",N,579514,5481127,Hwy3 2004,x,2004
Hwy 3 2004,3Hwy25,Lewis Creek,"10239, 10281, 10333, 10186",N,567736,5462524,Hwy3 2004,x,2004
