Perm ID,Sex,Project,Year,Site,Session,All captures,In census,Ind,CAPTURE,Recap,Easting,Northing,Site name
11,M,Hwy3 west,2005,102,A,1,1,1,1000,,539840,5456773,Arrow/ Ha
675,F,Hwy3 west,2005,152,D,1,1,1,1,,577903,5430988,Otto
9114,F,Hwy3 west,2005,102,A,1,1,1,1101,SP 01,539840,5456773,Arrow/ Ha
9114,F,Hwy3 west,2005,102,B,1,1,,,,539840,5456773,Arrow/ Ha
9114,F,Hwy3 west,2005,103,D,1,1,,,,541735,5456471,Hall High
9183,M,Hwy3 west,2005,125,C,1,1,1,10,SP 01,584994,5446360,Sundown
9190,M,Hwy3 west,2005,112,A,1,1,1,1100,SP 01,552616,5450671,Peterson
9190,M,Hwy3 west,2005,118,B,1,1,,,,545392,5448804,Six Mile Low
9195,F,Hwy3 west,2005,122,D,1,1,1,1,SP 01,563763,5447117,Upper Englishman
9221,F,Hwy3 west,2005,105,B,1,1,1,100,SP 01,554834,5458845,Leadville
10562,F,Hwy3 west,2005,103,D,1,1,1,1,,541735,5456471,Hall High
10165b,F,Hwy3 west,2005,135,C,1,1,1,1010,,586467,5441733,Malpas
10165b,F,Hwy3 west,2005,145,A,1,1,,,,587073,5439765,Spruce Tr
10408,F,Hwy3 west,2005,102,B,1,1,1,1111,,539840,5456773,Arrow/ Ha
10408,F,Hwy3 west,2005,109,C,1,1,,,,539318,5453790,Arrow Rid
10408,F,Hwy3 west,2005,109,D,1,1,,,,539318,5453790,Arrow Rid
10408,F,Hwy3 west,2005,110,A,1,1,,,,543434,5452320,Iron Range
10429,M,Hwy3 west,2005,102,A,1,1,1,1001,,539840,5456773,Arrow/ Ha
10429,M,Hwy3 west,2005,102,D,1,1,,,,539840,5456773,Arrow/ Ha
10429,M,Hwy3 west,2005,103,D,1,,,,,541735,5456471,Hall High
10521,F,Hwy3 west,2005,122,C,1,1,1,11,,563763,5447117,Upper Englishman
10521,F,Hwy3 west,2005,122,D,1,1,,,,563763,5447117,Upper Englishman
10535,F,Hwy3 west,2005,102,D,1,1,1,11,,539840,5456773,Arrow/ Ha
10535,F,Hwy3 west,2005,103,D,1,,,,,541735,5456471,Hall High
10535,F,Hwy3 west,2005,110,C,1,1,,,,543434,5452320,Iron Range
10535,F,Hwy3 west,2005,110,D,1,,,,,543434,5452320,Iron Range
10554d,F,Hwy3 west,2005,113,C,1,1,1,11,,558941,5453979,Kidd West Trail
10554d,F,Hwy3 west,2005,113,D,1,1,,,,558941,5453979,Kidd West Trail
10554d2,F,Hwy3 west,2005,113,C,1,1,1,10,,558941,5453979,Kidd West Trail
10569c1,F,Hwy3 west,2005,122,D,1,1,1,1,,563763,5447117,Upper Englishman
10605n3,F,Hwy3 west,2005,113,D,1,1,1,1,,558941,5453979,Kidd West Trail
9112,M,Hwy3 east,2004,49,C,1,1,1,1000,SP 01,571219,5451751,Irishman Bottom
9180,F,Hwy3 east,2004,27,A,1,1,1,1100,SP 01,581493,5461072,Etna Ridge
9180,F,Hwy3 east,2004,27,B,1,1,,,,581493,5461072,Etna Ridge
9183,M,Hwy3 east,2004,8,B,1,1,1,110,SP 01,568150,5476051,Baldy Ridge
9183,M,Hwy3 east,2004,1,C,1,1,,,,570536,5481489,Bigattini Ridge
9194,F,Hwy3 east,2004,15,C,1,1,1,10,SP 01,563105,5466150,South Moyie
9194,F,Hwy3 east,2004,17,C,1,,,,,570996,5465537,MacNeil Subalpine
10165,F,Hwy3 east,2004,65,A,1,1,1,1000,,590067,5448100,Norge Headwater
10204,M,Hwy3 east,2004,65,A,1,1,1,1100,,590067,5448100,Norge Headwater
10204,M,Hwy3 east,2004,65,B,1,1,,,,590067,5448100,Norge Headwater
10252,M,Hwy3 east,2004,42,C,1,1,1,11,,597198,5456914,Teepee OG/Gas
10252,M,Hwy3 east,2004,42,D,1,1,,,,583882,5474397,Peavine Ridge
10286,F,Hwy3 east,2004,15,C,1,1,1,10,,563105,5466150,South Moyie
10303,M,Hwy3 east,2004,53,D,1,1,1,1,,594413,5455077,Teepee Confluence
10252a,F,Hwy3 east,2004,42,C,1,1,1,11,,597198,5456914,Teepee OG/Gas
10252a,F,Hwy3 east,2004,53,D,1,1,,,,594413,5455077,Teepee Confluence
9152a,F,Hwy3 east,2004,1,C,1,1,1,10,SP 01,570536,5481489,Bigattini Ridge
9192a,F,Hwy3 east,2004,17,B,1,1,1,110,SP 01,570996,5465537,MacNeil Subalpine
9192a,F,Hwy3 east,2004,17,C,1,1,,,,570996,5465537,MacNeil Subalpine
10001,F,PWC,2002,18,1,1,1,1,1100,,544129,5564359,Dutch Hyak
10001,F,PWC,2002,19,2,1,1,,,,544107,5560852,U. Dutch
10002,F,PWC,2002,19,1,1,1,1,1101,,544107,5560852,U. Dutch
10002,F,PWC,2002,19,2,1,1,,,,544107,5560852,U. Dutch
10002,F,PWC,2002,19,4,1,1,,,,544107,5560852,U. Dutch
10003,F,PWC,2002,20,1,1,1,1,1101,,537107,5554657,U. Carney
10003,F,PWC,2002,11,2,1,1,,,,547928,5550164,L. Findlay
10003,F,PWC,2002,20,2,1,,,,,537107,5554657,U. Carney
10003,F,PWC,2002,10,4,1,1,,,,547860,5553483,Periwinkle
10003,F,PWC,2002,19,4,1,,,,,544107,5560852,U. Dutch
10003,F,PWC,2002,10,1,1,,,,,547860,5553483,Periwinkle
10003,F,PWC,2002,20,4,1,,,,,537107,5554657,U. Carney
10004,M,PWC,2002,21,1,1,1,1,1001,,533522,5551653,Pork Cr
10004,M,PWC,2002,21,4,1,1,,,,533522,5551653,Pork Cr
10005,M,PWC,2002,22,1,1,1,1,1110,,531971,5556043,Carney Eagle N
10005,M,PWC,2002,22,2,1,1,,,,531971,5556043,Carney Eagle N
10005,M,PWC,2002,22,3,1,1,,,,531971,5556043,Carney Eagle N
10007,M,PWC,2002,24,1,1,1,1,1100,,531904,5535884,Pinnacle E
10007,M,PWC,2002,6,2,1,1,,,,536283,5539308,Fry U
4861,F,PWC,2002,1,2,1,1,1,1110,SP 98,539742,5530385,Dewar Wesley
4861,F,PWC,2002,3,3,1,1,,,,534932,5532172,U. Dewar
4861,F,PWC,2002,2,1,1,1,,,,537309,5527932,L. Dewar
4768,M,PWC,2002,2,2,1,1,1,100,Jumbo,537309,5527932,L. Dewar
10014,F,PWC,2002,8,2,1,1,1,1110,,555724,5560944,Findlay Clear
10014,F,PWC,2002,8,3,1,1,,,,555724,5560944,Findlay Clear
10014,F,PWC,2002,8,1,1,1,,,,555724,5560944,Findlay Clear
10014,F,PWC,2002,9,1,1,,,,,552566,5556829,Findlay Frying
10016,F,PWC,2002,10,2,1,1,1,110,,547860,5553483,Periwinkle
10016,F,PWC,2002,10,3,1,1,,,,547860,5553483,Periwinkle
10016,F,PWC,2002,12,3,1,,,,,543509,5548604,Granite Cr.
4715,F,PWC,2002,16,2,1,1,1,101,Jumbo,547201,5568944,Dutch Ccrown
4715,F,PWC,2002,17,2,1,,,,,547814,5566765,mid-Dutch
4715,F,PWC,2002,16,4,1,,,,,547201,5568944,Dutch Ccrown
4715,F,PWC,2002,17,4,1,1,,,,547814,5566765,mid-Dutch
10021,M,PWC,2002,17,2,1,1,1,111,,547814,5566765,mid-Dutch
10021,M,PWC,2002,8,3,1,1,,,,555724,5560944,Findlay Clear
10021,M,PWC,2002,19,3,1,,,,,544107,5560852,U. Dutch
10021,M,PWC,2002,8,4,1,1,,,,555724,5560944,Findlay Clear
10024,F,PWC,2002,20,2,1,1,1,100,,537107,5554657,U. Carney
10025,M,PWC,2002,21,2,1,1,1,111,,533522,5551653,Pork Cr
10025,M,PWC,2002,23,2,1,,,,,523802,5554190,Carney Bonney
10025,M,PWC,2002,4,4,1,1,,,,549273,5526542,White STAlpine
10025,M,PWC,2002,23,3,1,1,,,,523802,5554190,Carney Bonney
10026,F,PWC,2002,22,2,1,1,1,100,,531971,5556043,Carney Eagle N
4604,M,PWC,2002,2,3,1,1,1,1011,Jumbo,537309,5527932,L. Dewar
4604,M,PWC,2002,5,3,1,,,,,544902,5537032,U. Findlay
4604,M,PWC,2002,12,4,1,1,,,,543509,5548604,Granite Cr.
4604,M,PWC,2002,13,4,1,,,,,544023,5540365,Findlay Dutch
4604,M,PWC,2002,14,4,1,,,,,545229,5543311,Findlay Alton
4604,M,PWC,2002,10,1,1,1,,,,547860,5553483,Periwinkle
4806,M,PWC,2002,5,3,1,1,1,11,SP 98,544902,5537032,U. Findlay
10032,M,PWC,2002,3,4,1,1,,,,534932,5532172,U. Dewar
10032,M,PWC,2002,14,4,1,,,,,545229,5543311,Findlay Alton
10036,F,PWC,2002,11,3,1,1,1,11,,547928,5550164,L. Findlay
10036,F,PWC,2002,12,3,1,,,,,543509,5548604,Granite Cr.
10036,F,PWC,2002,11,4,1,1,,,,547928,5550164,L. Findlay
10058,M,PWC,2002,11,4,1,1,1,1,,547928,5550164,L. Findlay
4609,M,PWC,2002,18,4,1,1,1,1,Jumbo,544129,5564359,Dutch Hyak
