count,Individual,Site/Sess,M-R cap,DNA#,Name,East,North,EastAdj500m,NorthAdj500m,EastAdj1km,NorthAdj1km,Adj,Elev
1,10653b,17A,1,10653,Evening Ridge,487150,5477690,487150,5477690,487150,5477690,,1476m
2,10653b,22B,1,10992,Qua Creek,489274,5472987,489274,5472987,489274,5472987,,1360m
3,10856c1,30A,1,10857,Three Bears,498204,5465745,498204,5465745,498204,5465745,,
4,10856c1,31A,,10856,White Trillium,500289,5465798,500289,5465798,500289,5465798,,
5,10856c1,31B,1,10819,White Trillium,500289,5465798,500789,5465798,501289,5465798,1,
6,10857f,30A,1,10857,Three Bears,498204,5465745,498704,5465745,499204,5465745,,
7,10857f,26A,,10959,Lower Midge,504998,5474850,504998,5474850,504998,5474850,,3500ft
8,10857f,14B,1,10990,Upper Midge Cr.,501311,5481453,500811,5481453,500311,5481453,1,4900ft
9,10857r5,30A,1,10858,Three Bears,498204,5465745,497704,5465745,497204,5465745,1,
10,10857r5,30B,1,10820,Three Bears,498204,5465745,498204,5466245,498204,5466745,1,
11,10857r5,30C,,10709,Three Bears,498204,5465745,498704,5466245,499204,5466745,1,
12,10857r5,31C,1,10708,White Trillium,500289,5465798,499289,5465798,499289,5465798,1,
13,10857r5,36C,,10701,Wolf,496577,5463058,497077,5463058,497577,5463058,1,
14,10857r5,37C,,10702,Blasted Mtn Goat,501904,5461779,501904,5461779,501904,5461779,,
15,10857r5,30D,,10757,Three Bears,498204,5465745,498704,5465245,499204,5464745,1,
16,10857r5,31D,,10756,White Trillium,500289,5465798,500289,5470798,500289,5466798,1,
17,10857r5,36D,1,10751,Wolf,496577,5463058,496077,5463058,495577,5463058,1,
18,10858c1,36A,1,10858,Wolf,496577,5463058,496577,5463058,496577,5463058,,
19,10858c1,60B,1,10815,See you on the other side of the creek,501281,5447648,501281,5447648,501281,5447648,1,
20,10858c1,70C,1,10738,Bayonne,501724,5442374,501724,5442374,501724,5442374,,
21,10858c1,49D,1,10780,Upper Hidden,494176,5450382,494676,5450382,495176,5450382,1,
22,10858c1,58D,,10786,Creek x-ing,493982,5447627,494482,5447627,494982,5447627,1,
23,10861b1,44A,1,10861,Sacred Wallow,508527,5456028,508527,5456028,508527,5456028,,
24,10861b1,62A,,10864,S. Jersey Pass,510039,5447942,510039,5447942,510039,5447942,,
25,10861b1,38B,1,10804,Bear Grass,506708,5461241,506708,5461241,506708,5461241,,
26,10861b1,44B,,10817,Sacred Wallow,508527,5456028,509027,5456028,509527,5456028,1,
27,10871a1,42A,1,10871,Baby Bears,497492,5456406,497492,5456406,497492,5456406,,
28,10871a1,43C,1,10714,Kloosh,502873,5457103,502873,5457103,502873,5457103,,
29,10871a1,43D,1,10765,Kloosh,502873,5457103,503373,5457103,503873,5457103,,
30,10879c1,76A,1,10879,Lost Creek,495636,5436790,495636,5436790,495636,5436790,,
31,10879c1,71B,1,10844,Placer Lake,507534,5442455,507534,5442455,507534,5442455,,
32,10879c1,75B,,10829,Happy-tat,493000,5437517,493000,5437517,493000,5437517,,
33,10966a,14A,1,10966,Upper Midge Cr.,501311,5481453,501311,5481453,501311,5481453,,4900ft
34,10966a,20A,,10971,Lower Seeman,501474,5475684,501474,5475684,501474,5475684,,4300ft
35,10966a,17B,1,10663,Evening Ridge,487150,5477690,487650,5477690,488150,5477690,1,1476m
36,10966a,40D,1,10773,Oscar,487958,5459000,487958,5459000,487958,5459000,,
37,10966a,42D,,10770,Baby Bears,497492,5456406,496992,5456406,496492,5456406,1,
38,10966d1,14A,1,10966,Upper Midge Cr.,501311,5481453,501811,5481453,502311,5481453,1,4900ft
39,10966d1,22B,1,10992,Qua Creek,489274,5472987,489774,5472987,490274,5472987,1,1360m
40,10966d1,12C,1,10998,Upper Laska,493073,5483516,493073,5483516,493073,5483516,,1600m
41,10966d1,27C,,10909,Drewry Point,511351,5472665,511351,5472665,511351,5472665,,4800ft
42,10966d1,15D,1,10937,North Conway,505310,5481570,504810,5481570,504310,5481570,1,6500ft
43,10969b1,13A,1,10985,Laskutetl,498439,5481153,498439,5481153,498439,5481153,,1760m
44,10969b1,19A,,10969,Upper Kutetl,497927,5478589,497927,5478589,497927,5478589,,1480m
45,10969b1,24B,1,10984,Seeman-Alder Cr.,496567,5473279,496567,5473279,496567,5473279,,1520m
46,10969b1,24D,1,10943,Seeman-Alder Cr.,496567,5473279,497067,5473279,497567,5473279,1,1520m
47,10969j3,19A,1,10969,Upper Kutetl,497927,5478589,498427,5478589,498927,5478589,1,1480m
48,10969j3,14B,,10990,Upper Midge Cr.,501311,5481453,501311,5481953,501311,5482453,1,4900ft
49,10969j3,20B,1,10987,Lower Seeman,501474,5475684,501974,5475684,502474,5475684,1,4300ft
50,10969j3,13C,1,10906,Laskutetl,498439,5481153,497939,5481153,497439,5481153,1,1760m
51,10969j3,14C,,10908,Upper Midge Cr.,501311,5481453,501311,5480953,501311,5480453,1,4900ft
52,10969j3,14D,1,10947,Upper Midge Cr.,501311,5481453,501811,5481953,502311,5482453,1,4900ft
53,10981a,23A,1,10981,Qua Pass,492827,5471756,492827,5471756,492827,5471756,,2000m
54,10981a,29D,1,10935,Avalanche Cr.,491129,5466550,491129,5466550,491129,5466550,,1960m
55,10663c1,17B,1,10663,Evening Ridge,487150,5477690,486650,5477690,486150,5477690,1,1476m
56,10663c1,5D,1,10677,5-Mile North,485895,5485070,485895,5485070,485895,5485070,1,
57,10663c1,10D,,10676,Anderson Creek,484889,5480310,485389,5480310,485889,5480310,1,2013m
58,10663c1,16D,,10675,Sealous Creek,482707,5479194,482707,5479194,482707,5479194,,1698m
59,10815b1,60B,1,10815,See you on the other side of the creek,501281,5447648,501781,5447648,502281,5447648,,
60,10815b1,44B,,10817,Sacred Wallow,508527,5456028,509027,5456028,509527,5456028,1,
61,10815b1,59C,1,10736,Paradise,496356,5448700,496356,5448700,496356,5448700,,
62,10815b1,45D,1,10768,Next Cr.,510148,5457075,510148,5457075,510148,5457075,,
63,10820n3,30B,1,10820,Three Bears,498204,5465745,498204,5465245,498204,5464745,1,
64,10820n3,25D,1,10754,Diana,501568,5471798,501568,5471798,501568,5471798,,
65,10821e,42B,1,10821,Baby Bears,497492,5456406,497992,5456406,498492,5456406,1,
66,10823t7,49B,1,10823,Upper Hidden,494176,5450382,494176,5450382,494176,5450382,,
67,10967a1,15B,1,10967,North Conway,505310,5481570,505310,5481570,505310,5481570,,6500ft
68,10967a1,15C,1,10911,North Conway,505310,5481570,505810,5481570,506310,5481570,1,6500ft
69,10986d,13B,1,10986,Laskutetl,498439,5481153,498939,5481153,499439,5481153,1,1760m
70,10988d1,26B,1,10988,Lower Midge,505201,5474477,505201,5474477,505201,5474477,,3500ft
71,10991b,28B,1,10991,Huckleberry Cr.,487473,5467367,487473,5467367,487473,5467367,,1650m
72,10991b,28D,1,10934,Huckleberry Cr.,487473,5467367,487973,5467367,488473,5467367,1,1650m
73,10992a,22B,1,10992,Qua Creek,489274,5472987,488774,5472987,488274,5472987,1,1360m
74,10666l3,18C,1,10666,Ymir Bowl,490181,5476363,490181,5476363,490181,5476363,,1675m
75,10669a1,10C,1,10669,Anderson Creek,484889,5480310,484889,5480310,484889,5480310,,2013m
76,10669a1,1D,1,10927,Laska Meadows,490864,5490279,490864,5490279,490864,5490279,,1200m
77,10669a1,5D,,10677,5-Mile North,485895,5485070,486395,5485070,486895,5485070,,
78,10735g,58C,1,10735,Creek x-ing,493982,5447627,493982,5447627,493982,5447627,,
79,10735g,49D,1,10780,Upper Hidden,494176,5450382,493676,5450382,493176,5450382,1,
80,10735g,58D,,10786,Creek x-ing,493982,5447627,493482,5447627,492982,5447627,1,
81,10739a,69C,1,10739,Carolina,499553,5441197,499553,5441197,499553,5441197,,
82,10739a,74D,1,10775,Proctor,486799,5437797,486799,5437797,486799,5437797,,
83,10739c1,69C,1,10739,Carolina,499553,5441197,500553,5441197,500553,5441197,1,
84,10751o,36D,1,10751,Wolf,496577,5463058,496577,5463558,496577,5464058,1,
85,10936j3,21D,1,10936,South Conway,505223,5479000,505223,5479000,505223,5479000,,6300ft
