Individual,MASTER ID,Sex
10653b,SS10992F,F
10861b1,SS10804F ,F
10856c1,SS9063F,F
10857f,SS9077F,F
10857r5,SSSS6F,F
10858c1,SS10738M,M
10871a1,SS10714F,F
10879c1,SS10879F,F
10966a,SS9057M,M
10966d1,SS10966M,M
10969b1,SS9064aF,F
10969j3,SS9058aM,M
10981a,SS10981F ,F
10663c1,SS10663F ,F
10815b1,SS10815M,M
10820n3,SS10820F,F
10821e,SS9078F,F
10823t7,SS10823M,M
10967a1,SS10967F,F
10986d,SS10986F,F
10988d1,SS9093aF,F
10991b,SS10991F,F
10992a,SS9066F,F
10666l3,SS10666F,F
10669a1,SS9084F,F
10735g,SS10786F ,F
10739a,SS10739F,F
10739c1,SS10739aM,M
10751o,SS10751M,M
10936j3,SS10936F ,F
