Sample ID,Class,Individual,Project,Site#,Site Name,Session,Field Sp.,,#G,#U,Left,Vis. Sp.,Comments,,# loci,G10J,G10B,G1D,G10H,G10M,Mu50,G10P,G1A,G10C,G10L,G10U,G10X,CXX20,CXX110,Mu59,Psib
10655a1,Xblack,,w9845a,5,5-Mile North,A,,,3,15,C,u,,,1,197.205,,,,,,,,,,,,,,,
10655b1,Xblack,,w9845a,5,5-Mile North,A,,,10,,A,u,small roots,,1,197.205,,,,,,,,,,,,,,,
10655c1,Xinadequate,,w9845a,5,5-Mile North,A,,,,,,,no roots,,0,,,,,,,,,,,,,,,,
10655d1,Xinadequate,,w9845a,5,5-Mile North,A,,,,,,,no roots,,0,,,,,,,,,,,,,,,,
1.07E+06,Xblack,,w9845a,5,5-Mile North,A,,,3,3,C,u,,,1,203.209,,,,,,,,,,,,,,,
10655f2,Xblack,,w9845a,5,5-Mile North,A,,,8,,C,u,,,1,203.209,,,,,,,,,,,,,,,
10655g2,Xinadequate,,w9845a,5,5-Mile North,A,,,,,,,no roots,,0,,,,,,,,,,,,,,,,
10655h2,Xtra,,w9845a,5,5-Mile North,A,,,,10,C,u,,,0,,,,,,,,,,,,,,,,
10655ii2,unextracted,,w9845a,5,5-Mile North,A,,,,,,,,,0,,,,,,,,,,,,,,,,
10655j,Xblack,,w9845a,5,5-Mile North,A,,,,12,C,u,,,1,201.205,,,,,,,,,,,,,,,
10655k3,unextracted,,w9845a,5,5-Mile North,A,,,,,,,,,0,,,,,,,,,,,,,,,,
10655l3,unextracted,,w9845a,5,5-Mile North,A,,,,,,,,,0,,,,,,,,,,,,,,,,
10655m3,Xblack,,w9845a,5,5-Mile North,A,,,,8,C,u,,,1,203.209,,,,,,,,,,,,,,,
10655n,Xinadequate,,w9845a,5,5-Mile North,A,,,,,,,only 2 uf,,0,,,,,,,,,,,,,,,,
10655o4,Xblack,,w9845a,5,5-Mile North,A,,,2,10,C,u,,,1,201.209,,,,,,,,,,,,,,,
10655p4,unextracted,,w9845a,5,5-Mile North,A,,,,,,,,,0,,,,,,,,,,,,,,,,
10655q4,unextracted,,w9845a,5,5-Mile North,A,,,,,,,,,0,,,,,,,,,,,,,,,,
10655r5,unextracted,,w9845a,5,5-Mile North,A,,,,,,,,,0,,,,,,,,,,,,,,,,
10655s5,Xblack,,w9845a,5,5-Mile North,A,,,10,,A,u,,,1,201.207,,,,,,,,,,,,,,,
10655t,Xtra,,w9845a,5,5-Mile North,A,,,1,12,C,u,,,0,,,,,,,,,,,,,,,,
10655u,Xblack,,w9845a,5,5-Mile North,A,,,2,20,B,u,,,1,201.207,,,,,,,,,,,,,,,
10655v,Xtra,,w9845a,5,5-Mile North,A,,,,25,B,u,,,0,,,,,,,,,,,,,,,,
10655w,Xblack,,w9845a,5,5-Mile North,A,,,6,15,B,u,,,1,197.205,,,,,,,,,,,,,,,
