DNA #,sub-sample,Temp ID,Perm ID,all data,all census,Species,Origin,Perm ID,,N/S of Hwy 1,E/W Col trench,Sex,Site,Session,Month,Day,Year,Month,Day,Year
3703,a,,35,,,Grizzly, WS 97 census,35,,North,East,,31,3,7,13,1997,7,24,1997
3703,b,,35,,,Grizzly, WS 97 census,35,,,,,31,3,7,13,1997,7,24,1997
3832,a,,35,,,Grizzly, WS 97 census,35,,,,,32,5,7,31,1997,8,8,1997
3832,d,,35,,,Grizzly, WS 97 census,35,,,,,32,5,7,31,1997,8,8,1997
3832,f,,35,,,Grizzly, WS 97 census,35,,,,,32,5,7,31,1997,8,8,1997
3832,g,,35,,13,Grizzly, WS 97 census,35,,,,F,32,5,7,31,1997,8,8,1997
3832,j,,35,,,Grizzly, WS 97 census,35,,,,,32,5,7,31,1997,8,8,1997
3832,k,,35,,,Grizzly, WS 97 census,35,,,,,32,5,7,31,1997,8,8,1997
3832,o,,35,,,Grizzly, WS 97 census,35,,,,,32,5,7,31,1997,8,8,1997
3832,q,,35,,,Grizzly, WS 97 census,35,,,,,32,5,7,31,1997,8,8,1997
3832,t,,35,,,Grizzly, WS 97 census,35,,,,,32,5,7,31,1997,8,8,1997
3832,u,,35,,,Grizzly, WS 97 census,35,,,,,32,5,7,31,1997,8,8,1997
3832,v,,35,,,Grizzly, WS 97 census,35,,,,,32,5,7,31,1997,8,8,1997
3362,a,,44,,,Grizzly, WS 97 census,44,,,,,71,1,6,27,1997,7,3,1997
3362,b,,44,,,Grizzly, WS 97 census,44,,,,F,71,1,6,27,1997,7,3,1997
3731,i,,44,,,Grizzly, WS 97 census,44,,,,,63,3,7,13,1997,7,24,1997
3787,a,,44,,,Grizzly, WS 97 census,44,,,,,52,4,7,24,1997,7,31,1997
3787,b,,44,,,Grizzly, WS 97 census,44,,,,,52,4,7,24,1997,7,31,1997
3792,b,,44,,,Grizzly, WS 97 census,44,,,,,60,4,7,24,1997,7,31,1997
3792,c,,44,,,Grizzly, WS 97 census,44,,,,,60,4,7,24,1997,7,31,1997
3792,d,,44,,,Grizzly, WS 97 census,44,,,,,60,4,7,24,1997,7,31,1997
3792,e,,44,,,Grizzly, WS 97 census,44,,,,,60,4,7,24,1997,7,31,1997
3389,b,,54,,2,Grizzly, WS 97 census,54,,,,M,31,2,7,4,1997,7,13,1997
3389,g,,54,,,Grizzly, WS 97 census,54,,,,,31,2,7,4,1997,7,13,1997
3794,g,,71,,,Grizzly, WS 97 census,71,,,,F,62,4,7,24,1997,7,31,1997
3356,a,,79,,,Grizzly, WS 97 census,79,,,,,66,1,6,27,1997,7,3,1997
3356,b,,79,,6,Grizzly, WS 97 census,79,,,,M,66,1,6,27,1997,7,3,1997
3356,f,,79,,,Grizzly, WS 97 census,79,,,,,66,1,6,27,1997,7,3,1997
3356,g,,79,,,Grizzly, WS 97 census,79,,,,,66,1,6,27,1997,7,3,1997
3416,b,,79,,,Grizzly, WS 97 census,79,,,,,62,2,7,3,1997,7,13,1997
3416,d,,79,,,Grizzly, WS 97 census,79,,,,,62,2,7,3,1997,7,13,1997
3320,e,,105,,,Grizzly, WS 97 census,105,,,,,26,1,6,29,1997,7,4,1997
3320,f,,105,,5,Grizzly, WS 97 census,105,,,,M,26,1,6,29,1997,7,4,1997
3320,g,,105,,,Grizzly, WS 97 census,105,,,,,26,1,6,29,1997,7,4,1997
3320,h,,105,,,Grizzly, WS 97 census,105,,,,,26,1,6,29,1997,7,4,1997
3320,k,,105,,,Grizzly, WS 97 census,105,,,,,26,1,6,29,1997,7,4,1997
3408,f,1/2,132,,,Grizzly, WS 97 census,132,,,,,51,2,7,3,1997,7,13,1997
3408,g,1/2,132,,,Grizzly, WS 97 census,132,,,,,51,2,7,3,1997,7,13,1997
3720,b,1/2,132,,,Grizzly, WS 97 census,132,,,,,49,3,7,13,1997,7,24,1997
3727,c,1/2,132,,13,Grizzly, WS 97 census,132,,,,F,59,3,7,13,1997,7,24,1997
3784,a,1/2,132,,,Grizzly, WS 97 census,132,,,,,49,4,7,24,1997,8,1,1997
3784,b,1/2,132,,,Grizzly, WS 97 census,132,,,,,49,4,7,24,1997,8,1,1997
3784,c,1/2,132,,,Grizzly, WS 97 census,132,,,,,49,4,7,24,1997,8,1,1997
3784,d,1/2,132,,,Grizzly, WS 97 census,132,,,,,49,4,7,24,1997,8,1,1997
3784,e,1/2,132,,,Grizzly, WS 97 census,132,,,,,49,4,7,24,1997,8,1,1997
3784,f,1/2,132,,,Grizzly, WS 97 census,132,,,,,49,4,7,24,1997,8,1,1997
3747,a,,288,,,Grizzly, WS 97 census,288,,,,,6,4,7,25,1997,8,1,1997
3747,c,,288,,,Grizzly, WS 97 census,288,,,,,6,4,7,25,1997,8,1,1997
3747,e,,288,,,Grizzly, WS 97 census,288,,,,,6,4,7,25,1997,8,1,1997
3747,f,,288,,,Grizzly, WS 97 census,288,,,,M,6,4,7,25,1997,8,1,1997
3747,j,,288,,,Grizzly, WS 97 census,288,,,,,6,4,7,25,1997,8,1,1997
3747,k,,288,,,Grizzly, WS 97 census,288,,,,,6,4,7,25,1997,8,1,1997
3747,l,,288,,,Grizzly, WS 97 census,288,,,,,6,4,7,25,1997,8,1,1997
3757,aa,,288,,,Grizzly, WS 97 census,288,,,,,20,4,7,25,1997,8,1,1997
3757,b,,288,,,Grizzly, WS 97 census,288,,,,,20,4,7,25,1997,8,1,1997
3757,d,,288,,,Grizzly, WS 97 census,288,,,,,20,4,7,25,1997,8,1,1997
3757,e,,288,,,Grizzly, WS 97 census,288,,,,,20,4,7,25,1997,8,1,1997
3757,g,,288,,,Grizzly, WS 97 census,288,,,,,20,4,7,25,1997,8,1,1997
3757,h,,288,,,Grizzly, WS 97 census,288,,,,,20,4,7,25,1997,8,1,1997
3757,i,,288,,,Grizzly, WS 97 census,288,,,,,20,4,7,25,1997,8,1,1997
3757,j,,288,,,Grizzly, WS 97 census,288,,,,,20,4,7,25,1997,8,1,1997
3757,k,,288,,,Grizzly, WS 97 census,288,,,,,20,4,7,25,1997,8,1,1997
3757,l,,288,,,Grizzly, WS 97 census,288,,,,,20,4,7,25,1997,8,1,1997
3757,m,,288,,,Grizzly, WS 97 census,288,,,,,20,4,7,25,1997,8,1,1997
3757,s,,288,,,Grizzly, WS 97 census,288,,,,,20,4,7,25,1997,8,1,1997
3757,u,,288,,,Grizzly, WS 97 census,288,,,,,20,4,7,25,1997,8,1,1997
3757,v,,288,,,Grizzly, WS 97 census,288,,,,,20,4,7,25,1997,8,1,1997
3757,w,,288,,,Grizzly, WS 97 census,288,,,,,20,4,7,25,1997,8,1,1997
3757,y,,288,,,Grizzly, WS 97 census,288,,,,,20,4,7,25,1997,8,1,1997
3814,b,,288,,,Grizzly, WS 97 census,288,,,,,13,5,8,2,1997,8,9,1997
3814,d,,288,,,Grizzly, WS 97 census,288,,,,,13,5,8,2,1997,8,9,1997
3814,j,,288,,,Grizzly, WS 97 census,288,,,,,13,5,8,2,1997,8,9,1997
3814,l,,288,,,Grizzly, WS 97 census,288,,,,,13,5,8,2,1997,8,9,1997
3821,a,,288,,,Grizzly, WS 97 census,288,,,,,20,5,9,1,1997,9,9,1997
3324,p,,289,,1,Grizzly, WS 97 census,289,,,,F,30,1,6,26,1997,7,4,1997
3314,f,,295,,,Grizzly, WS 97 census,295,,,,F,19,1,6,28,1997,7,4,1997
