Perm ID,Sex,Pop,Year,Samples,DNA#,East,North,# loci,A,B,C,D,H,J,L,M,P,U,X,20,110,50,59
68756,M,WNE,,,,520000,5725000,15,184.194,154.162,205.205,181.181,231.255,186.194,155.161,206.212,151.151,163.163,141.141,127.127,153.155,138.138,223.243
59994,F,WNE,,,,516000,5723000,15,184.194,148.162,201.205,182.182,223.252,190.196,157.169,210.210,151.161,163.163,135.141,129.131,149.153,120.142,223.223
52527,M,WNE,,,,467000,5728000,15,192.194,148.152,205.205,179.179,253.257,186.194,157.157,210.210,153.159,163.163,141.141,129.129,149.151,138.138,223.245
3429,F,WNE,1996,3429a,3429,479500,5725500,15,192.198,162.162,205.211,181.182,231.252,186.190,155.169,210.210,151.153,163.163,141.141,127.127,149.155,130.142,223.243
1684,M,WNE,1999,1684,1684,488000,5707000,14,194.194,162.162,205.205,186.188,221.251,186.190,157.157,206.214,151.153,163.163,,127.129,151.151,132.138,223.223
1683,M,WNE,1999,1683,1683,488000,5707000,15,194.194,160.162,205.205,182.185,251.251,186.194,155.157,206.210,151.161,163.163,141.141,129.129,149.151,120.132,223.223
506,U,WNE,1997,3794f,3794,516900,5697400,12,184.194,154.158,205.211,,231.231,,155.169,210.214,151.153,163.163,131.141,127.129,149.153,,223.239
503,F,WNE,1997,"3436g,3436p,3750a,3750c,3750e,3750m,3814e",3814,472400,5721700,15,194.198,152.154,205.205,179.182,231.255,186.194,157.169,210.210,151.151,163.163,135.141,127.127,153.155,138.138,223.247
502,F,WNE,1997,"3808i,3808j,3431ac,3431b,3431c,3431n,3431s",3431,484200,5727100,15,192.194,158.160,205.205,181.182,223.231,186.194,155.161,206.212,151.151,163.163,141.141,127.131,153.153,120.138,239.243
502,F,WNE,1997,"3431ac,3431b,3431c,3431n,3431s",,489100,5727300,,,,,,,,,,,,,,,,
496,F,WNE,1997,"3320a,3320c,3320i",3320,485900,5717000,14,192.194,158.164,201.211,182.182,231.231,180.194,155.155,206.210,151.151,159.163,141.141,127.129,149.155,,223.243
494,F,WNE,1997,"3824b,3824d",3824,525400,5723100,13,184.194,160.160,201.205,181.186,255.255,180.186,155.157,196.212,,,141.141,127.131,153.155,110.138,223.223
492,F,WNE,1997,"3819a,3819e,3819g,3439b,3439k",3819,498000,5723600,15,184.194,158.162,205.205,181.182,231.253,190.194,159.161,210.212,151.151,163.163,141.141,127.131,153.153,138.138,223.243
492,F,WNE,1997,"3439b,3439k",,489100,5722700,,,,,,,,,,,,,,,,
489,F,WNE,1997,"3808a,3808e,3808f,3814k",3808,484200,5727100,15,184.192,154.162,211.211,182.182,252.253,190.190,155.157,196.210,151.153,163.163,141.141,127.127,153.155,132.142,223.243
489,F,WNE,1997,3814k,,472400,5721700,,,,,,,,,,,,,,,,
485,M,WNE,1997,"3736i,3735b,3735e,3735k,3735t",3735,525100,5690900,15,184.190,162.162,201.207,184.184,231.252,190.196,157.157,210.210,151.153,163.171,141.141,131.131,153.153,138.138,243.245
485,M,WNE,1997,"3735b,3735e,3735k,3735t",,522300,5694400,,,,,,,,,,,,,,,,
479,F,WNE,1997,"3431e,3431p,3431q,3431u,3431w,3431y,3431z,3430e,3430f,3808b,3808c,3808g,3808h",3431,489100,5727300,15,192.194,158.160,205.205,181.182,223.253,186.190,155.155,206.212,151.151,163.171,135.141,127.127,151.153,120.138,223.239
479,F,WNE,1997,"3430e,3430f,3808b,3808c,3808g,3808h",,484200,5727100,,,,,,,,,,,,,,,,
476,M,WNE,1997,"3400a,3400b,3400e,3408a,3408b,3408c,3408e",3400,524900,5714000,15,190.194,158.160,205.211,178.181,251.252,186.190,157.159,210.214,151.159,163.171,135.141,127.127,151.155,138.138,239.243
476,M,WNE,1997,"3408a,3408b,3408c,3408e",,522700,5708900,,,,,,,,,,,,,,,,
475,F,WNE,1997,"3337a,3843a,3391a,3391b",3843,524900,5714000,15,184.194,148.162,205.205,182.186,223.252,190.194,157.169,210.210,151.151,159.163,133.135,129.131,149.153,120.142,223.223
475,F,WNE,1997,"3391a,3391b",,522000,5717200,,,,,,,,,,,,,,,,
