SURVEY_NAME,Study Area Name,StudyAreaVisitStartDateTime,StudyAreaVisitNote,DC Area (sq m),Design Component Label,Site Design Component Label,DC Type,Grid Cell,DC Comments,Trap Type,Easting DC,Northing DC,UTM Zone DC,DC Visit Comments,Nights Trapped,Time,Date,Surveyor,Species,Animal ID,Comments,Count,Sample Material,Sample Label,Sex,Species ID Method,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-06,Session 1,,s1_1,s1_1,SAMPLE STATION,1,Ecoprovince NB;    Ecoregion NR;    Site description = Semi-open hillside,HR-BA-BS,449174,6350956,10,,11,0000,1998-06-07,D.  Fear,MAMMALIA,,,1,HA,5602_c,,,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-06,Session 1,,s1_1,s1_1,SAMPLE STATION,1,Ecoprovince NB;    Ecoregion NR;    Site description = Semi-open hillside,HR-BA-BS,449174,6350956,10,,11,0000,1998-06-07,D.  Fear,MAMMALIA,,,1,HA,5602_d,,,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-06,Session 1,,s1_1,s1_1,SAMPLE STATION,1,Ecoprovince NB;    Ecoregion NR;    Site description = Semi-open hillside,HR-BA-BS,449174,6350956,10,,11,0000,1998-06-07,D.  Fear,MAMMALIA,,,1,HA,5602_b,,,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-06,Session 1,,s1_1,s1_1,SAMPLE STATION,1,Ecoprovince NB;    Ecoregion NR;    Site description = Semi-open hillside,HR-BA-BS,449174,6350956,10,,11,0000,1998-06-07,D.  Fear,MAMMALIA,,,1,HA,5602_a,,,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-18,Session 2,,s1_2,s1_2,SAMPLE STATION,1,"Ecoprovince NB;    Ecoregion NR;    Site description = Subalpine fir, game trail",HR-BA-BS,442343,6353724,10,No action,12,0000,1998-06-19,D.  Fear,NULL,,,0,,,,,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-30,Session 3,,s1_3,s1_3,SAMPLE STATION,1,Ecoprovince NB;    Ecoregion NR;    Site description = Subalpine fir patch,HR-BA-BS,449894,6348262,10,Site pulled apart,13,0000,1998-07-02,D.  Fear,M-URAR,Q,,1,HA,5760_a,M,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-30,Session 3,,s1_3,s1_3,SAMPLE STATION,1,Ecoprovince NB;    Ecoregion NR;    Site description = Subalpine fir patch,HR-BA-BS,449894,6348262,10,Site pulled apart,13,0000,1998-07-02,D.  Fear,M-URAR,,,1,HA,5760_b,,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-30,Session 3,,s1_3,s1_3,SAMPLE STATION,1,Ecoprovince NB;    Ecoregion NR;    Site description = Subalpine fir patch,HR-BA-BS,449894,6348262,10,Site pulled apart,13,0000,1998-07-02,D.  Fear,M-URAR,Q,,1,HA,5760_c,M,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-30,Session 3,,s1_3,s1_3,SAMPLE STATION,1,Ecoprovince NB;    Ecoregion NR;    Site description = Subalpine fir patch,HR-BA-BS,449894,6348262,10,Site pulled apart,13,0000,1998-07-02,D.  Fear,M-URAR,,,1,HA,5760_d,,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-30,Session 3,,s1_3,s1_3,SAMPLE STATION,1,Ecoprovince NB;    Ecoregion NR;    Site description = Subalpine fir patch,HR-BA-BS,449894,6348262,10,Site pulled apart,13,0000,1998-07-02,D.  Fear,M-URAR,,,1,HA,5760_e,,DNA,,,,,,,
