SURVEY_NAME,Study Area Name,StudyAreaVisitStartDateTime,StudyAreaVisitNote,DC Area (sq m),Design Component Label,Site Design Component Label,DC Type,Grid Cell,DC Comments,Trap Type,Easting DC,Northing DC,UTM Zone DC,Nights Trapped,Time,Date,Surveyor,Species,Animal ID,Comments,Count,Sample Material,Sample Is Incidental,Sample Micro-location,Sample Label,Barb Number,Sex,Species ID Method
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s001,s001,SAMPLE STATION,1,Ground access,HR-BA-BS,462903,6148231,10,13,0000,2003-06-21,Darcy  Fear,M-URAM,,Xspecies,1,HA,N,U,1001T10,10,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s001,s001,SAMPLE STATION,1,Ground access,HR-BA-BS,462903,6148231,10,13,0000,2003-06-21,Darcy  Fear,M-URAM,,unextracted,1,HA,N,U,1001T20,20,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s001,s001,SAMPLE STATION,1,Ground access,HR-BA-BS,462903,6148231,10,13,0000,2003-06-21,Darcy  Fear,M-URAM,,Xspecies,1,HA,N,L,1001B21,21,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s001,s001,SAMPLE STATION,1,Ground access,HR-BA-BS,462903,6148231,10,13,0000,2003-06-21,Darcy  Fear,M-URAM,,unextracted,1,HA,N,U,1001T01,1,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s001,s001,SAMPLE STATION,1,Ground access,HR-BA-BS,462903,6148231,10,14,0000,2003-07-05,Darcy  Fear,MAMMALIA,,unextracted,1,HA,N,U,2001T01,1,,
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s001,s001,SAMPLE STATION,1,Ground access,HR-BA-BS,462903,6148231,10,14,0000,2003-07-05,Darcy  Fear,M-URAM,,Xspecies,1,HA,N,U,2001T10,10,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s001,s001,SAMPLE STATION,1,Ground access,HR-BA-BS,462903,6148231,10,14,0000,2003-07-05,Darcy  Fear,MAMMALIA,,unextracted,1,HA,N,U,2001T11,11,,
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s001,s001,SAMPLE STATION,1,Ground access,HR-BA-BS,462903,6148231,10,14,0000,2003-07-05,Darcy  Fear,MAMMALIA,,unextracted,1,HA,N,U,2001T12,12,,
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s001,s001,SAMPLE STATION,1,Ground access,HR-BA-BS,462903,6148231,10,14,0000,2003-07-05,Darcy  Fear,M-URAM,,Xspecies,1,HA,N,U,2001T03,3,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s001,s001,SAMPLE STATION,1,Ground access,HR-BA-BS,462903,6148231,10,14,0000,2003-07-05,Darcy  Fear,MAMMALIA,,unextracted,1,HA,N,L,2001B72,72,,
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s001,s001,SAMPLE STATION,1,Ground access,HR-BA-BS,462903,6148231,10,14,0000,2003-07-05,Darcy  Fear,M-URAM,,Xspecies,1,HA,N,U,2001T80,80,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s001,s001,SAMPLE STATION,1,Ground access,HR-BA-BS,462903,6148231,10,14,0000,2003-07-05,Darcy  Fear,MAMMALIA,,unextracted,1,HA,N,U,2001T90,90,,
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s001,s001,SAMPLE STATION,1,Ground access,HR-BA-BS,462903,6148231,10,14,0000,2003-07-05,Darcy  Fear,M-URAM,,Xspecies,1,HA,N,U,2001T70,70,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s001,s001,SAMPLE STATION,1,Ground access,HR-BA-BS,462903,6148231,10,14,0000,2003-07-05,Darcy  Fear,M-URAM,,Xspecies,1,HA,N,U,2001T93,93,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s001,s001,SAMPLE STATION,1,Ground access,HR-BA-BS,462903,6148231,10,14,0000,2003-07-05,Darcy  Fear,MAMMALIA,,unextracted,1,HA,N,U,2001T92,92,,
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s002,s002,SAMPLE STATION,2,Ground access,HR-BA-BS,475980,6150768,10,14,0000,2003-06-21,Darcy  Fear,M-URAM,,unextracted,1,HA,N,U,1002T01,1,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s002,s002,SAMPLE STATION,2,Ground access,HR-BA-BS,475980,6150768,10,14,0000,2003-06-21,Darcy  Fear,M-URAM,,unextracted,1,HA,N,U,1002T10,10,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s002,s002,SAMPLE STATION,2,Ground access,HR-BA-BS,475980,6150768,10,14,0000,2003-06-21,Darcy  Fear,M-URAM,,unextracted,1,HA,N,U,1002T20,20,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s002,s002,SAMPLE STATION,2,Ground access,HR-BA-BS,475980,6150768,10,14,0000,2003-06-21,Darcy  Fear,M-URAM,,unextracted,1,HA,N,U,1002T31,31,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s002,s002,SAMPLE STATION,2,Ground access,HR-BA-BS,475980,6150768,10,14,0000,2003-06-21,Darcy  Fear,M-URAM,,unextracted,1,HA,N,U,1002T60,60,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s002,s002,SAMPLE STATION,2,Ground access,HR-BA-BS,475980,6150768,10,14,0000,2003-06-21,Darcy  Fear,M-URAM,,Xspecies,1,HA,N,U,1002T61,61,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s002,s002,SAMPLE STATION,2,Ground access,HR-BA-BS,475980,6150768,10,14,0000,2003-06-21,Darcy  Fear,M-URAM,,unextracted,1,HA,N,U,1002T30,30,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s002,s002,SAMPLE STATION,2,Ground access,HR-BA-BS,475980,6150768,10,14,0000,2003-06-21,Darcy  Fear,M-URAM,,unextracted,1,HA,N,U,1002T80,80,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s002,s002,SAMPLE STATION,2,Ground access,HR-BA-BS,475980,6150768,10,14,0000,2003-06-21,Darcy  Fear,M-URAM,,Xspecies,1,HA,N,U,1002T81,81,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s002,s002,SAMPLE STATION,2,Ground access,HR-BA-BS,475980,6150768,10,14,0000,2003-06-21,Darcy  Fear,MAMMALIA,,unextracted,1,HA,N,U,1002T82,82,,
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s002,s002,SAMPLE STATION,2,Ground access,HR-BA-BS,475980,6150768,10,14,0000,2003-06-21,Darcy  Fear,M-URAM,,Xspecies,1,HA,N,U,1002T70,70,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s002,s002,SAMPLE STATION,2,Ground access,HR-BA-BS,475980,6150768,10,14,0000,2003-06-21,Darcy  Fear,M-URAM,,Xspecies,1,HA,N,U,1002T100,100,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s002,s002,SAMPLE STATION,2,Ground access,HR-BA-BS,475980,6150768,10,14,0000,2003-06-21,Darcy  Fear,M-URAM,,Xspecies,1,HA,N,U,1002T110,110,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s002,s002,SAMPLE STATION,2,Ground access,HR-BA-BS,475980,6150768,10,14,0000,2003-06-21,Darcy  Fear,MAMMALIA,,unextracted,1,HA,N,L,1002B110,110,,
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s002,s002,SAMPLE STATION,2,Ground access,HR-BA-BS,475980,6150768,10,14,0000,2003-06-21,Darcy  Fear,M-URAM,,Xspecies,1,HA,N,U,1002T90,90,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s002,s002,SAMPLE STATION,2,Ground access,HR-BA-BS,475980,6150768,10,14,0000,2003-07-05,Landon  Wilson,M-URAM,,Xspecies,1,HA,N,U,2002T01,1,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s002,s002,SAMPLE STATION,2,Ground access,HR-BA-BS,475980,6150768,10,14,0000,2003-07-05,Landon  Wilson,MAMMALIA,,unextracted,1,HA,N,U,2002T02,2,,
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s002,s002,SAMPLE STATION,2,Ground access,HR-BA-BS,475980,6150768,10,14,0000,2003-07-05,Landon  Wilson,M-URAM,,unextracted,1,HA,N,U,2002T70,70,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s002,s002,SAMPLE STATION,2,Ground access,HR-BA-BS,475980,6150768,10,14,0000,2003-07-05,Landon  Wilson,M-URAM,,unextracted,1,HA,N,U,2002T80,80,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s002,s002,SAMPLE STATION,2,Ground access,HR-BA-BS,475980,6150768,10,14,0000,2003-07-05,Landon  Wilson,M-URAM,,unextracted,1,HA,N,L,2002B01,1,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s003,s003,SAMPLE STATION,3,Ground access,HR-BA-BS,446969,6138439,10,13,0000,2003-06-25,Darcy  Fear,MAMMALIA,,unextracted,1,HA,N,U,1003T02,2,,
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s003,s003,SAMPLE STATION,3,Ground access,HR-BA-BS,446969,6138439,10,13,0000,2003-06-25,Darcy  Fear,MAMMALIA,,unextracted,1,HA,N,U,1003U40,40,,
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s003,s003,SAMPLE STATION,3,Ground access,HR-BA-BS,446969,6138439,10,13,0000,2003-06-25,Darcy  Fear,M-URAM,,Xspecies,1,HA,N,U,1003U41,41,,DNA
