SURVEY_NAME,Study Area Name,StudyAreaVisitStartDateTime,StudyAreaVisitNote,DC Area (sq m),Design Component Label,Site Design Component Label,DC Type,Grid Cell,DC Comments,Trap Type,Easting DC,Northing DC,UTM Zone DC,DC Visit Comments,Nights Trapped,Time,Date,Surveyor,Count,Sample Label,Species Guess,Sample Material,Sample Micro-location,Sample Group Label,Sample Is Incidental,Species,Species ID Method,Animal ID,Comments,Sex
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,1A,1A,SAMPLE STATION,1,Set and checked by quad,HR-BA-BS,652931,5505972,11,,14,0000,2007-06-15,J.  Minifie,1,14766-1a,M-URAR,HA,W,a,N,M-URAM,DNA,,Xblack;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,1A,1A,SAMPLE STATION,1,Set and checked by quad,HR-BA-BS,652931,5505972,11,,14,0000,2007-06-15,J.  Minifie,1,14766-2a,M-URAR,HA,W,a,N,MAMMALIA,,,Xbomb;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,1A,1A,SAMPLE STATION,1,Set and checked by quad,HR-BA-BS,652931,5505972,11,,14,0000,2007-06-15,J.  Minifie,1,14766-3a,M-URAR,HA,W,a,N,MAMMALIA,,,Xinadequate;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,1A,1A,SAMPLE STATION,1,Set and checked by quad,HR-BA-BS,652931,5505972,11,,14,0000,2007-06-15,J.  Minifie,1,14766-4x,M-URAR,HA,W,x,N,MAMMALIA,,,Xinadequate;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,1A,1A,SAMPLE STATION,1,Set and checked by quad,HR-BA-BS,652931,5505972,11,,14,0000,2007-06-15,J.  Minifie,1,14766-5v,M-URAR,HA,G,v,N,M-URAM,DNA,,Xblack; under 2a,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,1A,1A,SAMPLE STATION,1,Set and checked by quad,HR-BA-BS,652931,5505972,11,,14,0000,2007-06-15,J.  Minifie,1,14766-6v,M-URAR,HA,G,v,N,MAMMALIA,,,unextracted; under 2a,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,2A,2A,SAMPLE STATION,2,Set and checked by quad,HR-BA-BS,650300,5498746,11,,14,0000,2007-06-15,J.  Minifie,1,14767-1x,M-URAR,HA,W,x,N,M-URAM,DNA,,Xblack;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,2A,2A,SAMPLE STATION,2,Set and checked by quad,HR-BA-BS,650300,5498746,11,,14,0000,2007-06-15,J.  Minifie,1,14767-2x,M-URAR,HA,W,x,N,MAMMALIA,,,Xinadequate;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,2A,2A,SAMPLE STATION,2,Set and checked by quad,HR-BA-BS,650300,5498746,11,,14,0000,2007-06-15,J.  Minifie,1,14767-3x,,HA,W,x,N,M-URAM,DNA,,Xblack;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,2A,2A,SAMPLE STATION,2,Set and checked by quad,HR-BA-BS,650300,5498746,11,,14,0000,2007-06-15,J.  Minifie,1,14767-4v,M-URAR,HA,G,v,N,M-URAM,DNA,,Xblack;,
