SURVEY_NAME,Study Area Name,StudyAreaVisitStartDateTime,StudyAreaVisitNote,DC Area (sq m),Design Component Label,Site Design Component Label,DC Type,Grid Cell,DC Comments,Trap Type,Easting DC,Northing DC,UTM Zone DC,DC Visit Comments,Nights Trapped,Time,Date,Surveyor,Species,Animal ID,Comments,Count,Sample Material,Sample Label,Sex,Species ID Method
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-16,Upland Session 1,,s1_1_U,s1_1_U,SAMPLE STATION,1,Ground access,HR-BA-BS,585378,5952115,10,,15,0000,2001-08-19,M.  Wolowicz,M-URAM,,unextracted,1,HA,01-1-B11,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-16,Upland Session 1,,s1_1_U,s1_1_U,SAMPLE STATION,1,Ground access,HR-BA-BS,585378,5952115,10,,15,0000,2001-08-19,M.  Wolowicz,MAMMALIA,,unextracted,1,HA,01-1-B10,,
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-16,Upland Session 1,,s1_1_U,s1_1_U,SAMPLE STATION,1,Ground access,HR-BA-BS,585378,5952115,10,,15,0000,2001-08-19,M.  Wolowicz,M-URAM,,unextracted,1,HA,01-1-G60,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-16,Upland Session 1,,s1_1_U,s1_1_U,SAMPLE STATION,1,Ground access,HR-BA-BS,585378,5952115,10,,15,0000,2001-08-19,M.  Wolowicz,M-URAM,,unextracted,1,HA,01-1-F50,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-16,Upland Session 1,,s1_1_U,s1_1_U,SAMPLE STATION,1,Ground access,HR-BA-BS,585378,5952115,10,,15,0000,2001-08-19,M.  Wolowicz,M-URAM,,unextracted,1,HA,01-1-E41,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-16,Upland Session 1,,s1_1_U,s1_1_U,SAMPLE STATION,1,Ground access,HR-BA-BS,585378,5952115,10,,15,0000,2001-08-19,M.  Wolowicz,M-URAM,,unextracted,1,HA,01-1-E40,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-16,Upland Session 1,,s1_1_U,s1_1_U,SAMPLE STATION,1,Ground access,HR-BA-BS,585378,5952115,10,,15,0000,2001-08-19,M.  Wolowicz,M-URAR,01-1-C20,sample,1,HA,01-1-C20,M,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-16,Upland Session 1,,s1_1_U,s1_1_U,SAMPLE STATION,1,Ground access,HR-BA-BS,585378,5952115,10,,15,0000,2001-08-19,M.  Wolowicz,MAMMALIA,,unextracted,1,HA,01-1-A1,,
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-16,Upland Session 1,,s1_1_U,s1_1_U,SAMPLE STATION,1,Ground access,HR-BA-BS,585378,5952115,10,,15,0000,2001-08-19,M.  Wolowicz,M-URAR,01-1-C20,sample,1,HA,01-1-D30,M,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-30,Upland Session 2,,s1_2_U,s1_2_U,SAMPLE STATION,1,Ground access,HR-BA-BS,590751,5952370,10,,14,0000,2001-09-02,M.  Wolowicz,M-URAM,,unextracted,1,HA,01-2-C22,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-30,Upland Session 2,,s1_2_U,s1_2_U,SAMPLE STATION,1,Ground access,HR-BA-BS,590751,5952370,10,,14,0000,2001-09-02,M.  Wolowicz,M-URAM,,unextracted,1,HA,01-2-F50,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-30,Upland Session 2,,s1_2_U,s1_2_U,SAMPLE STATION,1,Ground access,HR-BA-BS,590751,5952370,10,,14,0000,2001-09-02,M.  Wolowicz,M-URAM,,unextracted,1,HA,01-2-G80,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-30,Upland Session 2,,s1_2_U,s1_2_U,SAMPLE STATION,1,Ground access,HR-BA-BS,590751,5952370,10,,14,0000,2001-09-02,M.  Wolowicz,M-URAR,02-1A-A3,sample,1,HA,01-2-E41,F,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-30,Upland Session 2,,s1_2_U,s1_2_U,SAMPLE STATION,1,Ground access,HR-BA-BS,590751,5952370,10,,14,0000,2001-09-02,M.  Wolowicz,M-URAR,02-1A-A3,sample,1,HA,01-2-E40,F,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-30,Upland Session 2,,s1_2_U,s1_2_U,SAMPLE STATION,1,Ground access,HR-BA-BS,590751,5952370,10,,14,0000,2001-09-02,M.  Wolowicz,M-URAM,,xspecies,1,HA,01-2-E42,,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-30,Upland Session 2,,s1_2_U,s1_2_U,SAMPLE STATION,1,Ground access,HR-BA-BS,590751,5952370,10,,14,0000,2001-09-02,M.  Wolowicz,M-URAR,02-1A-A3,sample,1,HA,01-2-D30,F,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-30,Upland Session 2,,s1_2_U,s1_2_U,SAMPLE STATION,1,Ground access,HR-BA-BS,590751,5952370,10,,14,0000,2001-09-02,M.  Wolowicz,M-URAM,,xspecies,1,HA,01-2-C21,,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-30,Upland Session 2,,s1_2_U,s1_2_U,SAMPLE STATION,1,Ground access,HR-BA-BS,590751,5952370,10,,14,0000,2001-09-02,M.  Wolowicz,M-URAM,,unextracted,1,HA,01-2-C20,,VI
