SURVEY_NAME,Study Area Name,StudyAreaVisitStartDateTime,StudyAreaVisitNote,Design Component Label,Site Design Component Label,DC Type,Grid Cell,DC Comments,Trap Type,Easting DC,Northing DC,UTM Zone DC,Watershed Code,DC Visit Comments,Nights Trapped,Time,Date,Surveyor,Species,Animal ID,Comments,Count,Sample Material,Sample Is Incidental,Sample Micro-location,Sample Label,Sample Group Label,Barb Number,Species Guess,Sex,Species ID Method
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-13,2015 Session 2,s0137,s0137,SAMPLE STATION,85,Method of Access (most limiting):Foot ___On Surface Type:Bushwhack---------,HR-BA-BS,382864,5463912,11,Next To Almond Mountain,Attractant: Castor ---------,14,0000,2015-07-17,Clayton  Lamb,NULL,,,0,,,,,,,,,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-27,2015 Session 3,s0137,s0137,SAMPLE STATION,85,Method of Access (most limiting):Foot ___On Surface Type:Bushwhack---------,HR-BA-BS,382864,5463912,11,Next To Almond Mountain,Attractant: Long Distance Call ---------,14,0000,2015-07-31,Clayton  Lamb,NULL,,,0,,,,,,,,,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-08-11,2015 Session 4,s0137,s0137,SAMPLE STATION,85,Method of Access (most limiting):Foot ___On Surface Type:Bushwhack---------,HR-BA-BS,382864,5463912,11,Next To Almond Mountain,Attractant: Anise oil ---------,15,0000,2015-08-15,Jesse  Vissia,M-URAM,,,1,HA,N,W,GK15-1083,A,1,,,VI
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-13,2015 Session 2,s0138,s0138,SAMPLE STATION,9,Method of Access (most limiting):Truck___On Surface Type:Road---------Needs signs,HR-BA-BS,371659,5545667,11,West Kettle,Attractant: Castor ---------,14,0000,2015-07-20,Jesse  Vissia,NULL,,,0,,,,,,,,,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-27,2015 Session 3,s0138,s0138,SAMPLE STATION,9,Method of Access (most limiting):Truck___On Surface Type:Road---------Needs signs,HR-BA-BS,371659,5545667,11,West Kettle,Attractant: Long Distance Call ---------,14,0000,2015-08-03,Autumn  Solomon,NULL,,,0,,,,,,,,,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-08-11,2015 Session 4,s0138,s0138,SAMPLE STATION,9,Method of Access (most limiting):Truck___On Surface Type:Road---------Needs signs,HR-BA-BS,371659,5545667,11,West Kettle,Attractant: Anise oil ---------,15,0000,2015-08-18,Autumn  Solomon,MAMMALIA,,,1,HA,N,W,GK15-722,C,1,,,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-08-11,2015 Session 4,s0138,s0138,SAMPLE STATION,9,Method of Access (most limiting):Truck___On Surface Type:Road---------Needs signs,HR-BA-BS,371659,5545667,11,West Kettle,Attractant: Anise oil ---------,15,0000,2015-08-18,Autumn  Solomon,M-URAR,GK15-1306,Collected from bait pile,1,HA,N,P,GK15-1430,D,1,URAR,F,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-08-11,2015 Session 4,s0138,s0138,SAMPLE STATION,9,Method of Access (most limiting):Truck___On Surface Type:Road---------Needs signs,HR-BA-BS,371659,5545667,11,West Kettle,Attractant: Anise oil ---------,15,0000,2015-08-18,Autumn  Solomon,M-URAR,GK15-1306,,1,HA,N,W,GK15-721,A,1,URAR,F,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-08-11,2015 Session 4,s0138,s0138,SAMPLE STATION,9,Method of Access (most limiting):Truck___On Surface Type:Road---------Needs signs,HR-BA-BS,371659,5545667,11,West Kettle,Attractant: Anise oil ---------,15,0000,2015-08-18,Autumn  Solomon,M-URAR,GK15-1306,Collected from bait pile,1,HA,N,P,GK15-1429,E,1,URAR,F,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-08-11,2015 Session 4,s0138,s0138,SAMPLE STATION,9,Method of Access (most limiting):Truck___On Surface Type:Road---------Needs signs,HR-BA-BS,371659,5545667,11,West Kettle,Attractant: Anise oil ---------,15,0000,2015-08-18,Autumn  Solomon,M-URAR,GK15-737,,1,HA,N,W,GK15-737,B,1,URAR,M,
