SURVEY_NAME,Study Area Name,StudyAreaVisitStartDateTime,StudyAreaVisitNote,Design Component Label,Site Design Component Label,DC Type,DC Comments,Trap Type,Easting DC,Northing DC,UTM Zone DC,DC Visit Comments,Nights Trapped,Time,Date,Surveyor,Species,Animal ID,Comments,Count,Sample Material,Sample Is Incidental,Sample Micro-location,Sample Label,Sample Group Label,Barb Number,Sex,Species ID Method
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s001,s001,SAMPLE STATION,"Road Access; Findlay Main 192.3 km, small borrow pit above reservoir a little downstream of the mouth of the Mesilinka River",HR-BA-BS,408337,6223385,10,,5,0000,2005-09-18,Doug  Heard,NULL,,,0,,,,,,,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s001,s001,SAMPLE STATION,"Road Access; Findlay Main 192.3 km, small borrow pit above reservoir a little downstream of the mouth of the Mesilinka River",HR-BA-BS,408337,6223385,10,,8,0000,2005-09-26,Doug  Heard,M-URAR,2572,sample,1,HA,N,L,2572,C,2,F,DNA
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s001,s001,SAMPLE STATION,"Road Access; Findlay Main 192.3 km, small borrow pit above reservoir a little downstream of the mouth of the Mesilinka River",HR-BA-BS,408337,6223385,10,,8,0000,2005-09-26,Doug  Heard,MAMMALIA,,Xbomb,1,HA,N,U,2575,B,1,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s001,s001,SAMPLE STATION,"Road Access; Findlay Main 192.3 km, small borrow pit above reservoir a little downstream of the mouth of the Mesilinka River",HR-BA-BS,408337,6223385,10,,8,0000,2005-09-26,Doug  Heard,MAMMALIA,,Xinadequate,1,HA,N,L,3014,D,1,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s001,s001,SAMPLE STATION,"Road Access; Findlay Main 192.3 km, small borrow pit above reservoir a little downstream of the mouth of the Mesilinka River",HR-BA-BS,408337,6223385,10,,8,0000,2005-09-26,Doug  Heard,M-URAR,2572,sample,1,HA,N,L,3015,D,2,F,DNA
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s001,s001,SAMPLE STATION,"Road Access; Findlay Main 192.3 km, small borrow pit above reservoir a little downstream of the mouth of the Mesilinka River",HR-BA-BS,408337,6223385,10,,8,0000,2005-09-26,Doug  Heard,MAMMALIA,,unextracted,1,HA,N,L,3022,C,1,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s001,s001,SAMPLE STATION,"Road Access; Findlay Main 192.3 km, small borrow pit above reservoir a little downstream of the mouth of the Mesilinka River",HR-BA-BS,408337,6223385,10,,8,0000,2005-09-26,Doug  Heard,M-URAR,2572,sample,1,HA,N,L,3023,A,1,F,DNA
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s001,s001,SAMPLE STATION,"Road Access; Findlay Main 192.3 km, small borrow pit above reservoir a little downstream of the mouth of the Mesilinka River",HR-BA-BS,408337,6223385,10,,21,0000,2005-10-17,Doug  Heard,NULL,,,0,,,,,,,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s002,s002,SAMPLE STATION,"Road Access; Findlay Main 185 km, on corner at top of hill in pine stand, on west side of Mesilinka River",HR-BA-BS,403237,6228348,10,,5,0000,2005-09-18,Doug  Heard,NULL,,,0,,,,,,,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s002,s002,SAMPLE STATION,"Road Access; Findlay Main 185 km, on corner at top of hill in pine stand, on west side of Mesilinka River",HR-BA-BS,403237,6228348,10,,8,0000,2005-09-26,Doug  Heard,NULL,,,0,,,,,,,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s002,s002,SAMPLE STATION,"Road Access; Findlay Main 185 km, on corner at top of hill in pine stand, on west side of Mesilinka River",HR-BA-BS,403237,6228348,10,,21,0000,2005-10-17,Doug  Heard,MAMMALIA,,unextracted,1,HA,N,L,3007,C,3,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s002,s002,SAMPLE STATION,"Road Access; Findlay Main 185 km, on corner at top of hill in pine stand, on west side of Mesilinka River",HR-BA-BS,403237,6228348,10,,21,0000,2005-10-17,Doug  Heard,MAMMALIA,,unextracted,1,HA,N,L,3126,C,2,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s002,s002,SAMPLE STATION,"Road Access; Findlay Main 185 km, on corner at top of hill in pine stand, on west side of Mesilinka River",HR-BA-BS,403237,6228348,10,,21,0000,2005-10-17,Doug  Heard,MAMMALIA,,Xinadequate,1,HA,N,U,3127,A,1,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s002,s002,SAMPLE STATION,"Road Access; Findlay Main 185 km, on corner at top of hill in pine stand, on west side of Mesilinka River",HR-BA-BS,403237,6228348,10,,21,0000,2005-10-17,Doug  Heard,M-URAM,3128,sample,1,HA,N,L,3128,B,1,F,DNA
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s002,s002,SAMPLE STATION,"Road Access; Findlay Main 185 km, on corner at top of hill in pine stand, on west side of Mesilinka River",HR-BA-BS,403237,6228348,10,,21,0000,2005-10-17,Doug  Heard,MAMMALIA,,unextracted,1,HA,N,L,3129,B,2,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s002,s002,SAMPLE STATION,"Road Access; Findlay Main 185 km, on corner at top of hill in pine stand, on west side of Mesilinka River",HR-BA-BS,403237,6228348,10,,21,0000,2005-10-17,Doug  Heard,M-URAM,3128,sample,1,HA,N,L,3132,C,1,F,DNA
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s002,s002,SAMPLE STATION,"Road Access; Findlay Main 185 km, on corner at top of hill in pine stand, on west side of Mesilinka River",HR-BA-BS,403237,6228348,10,,21,0000,2005-10-17,Doug  Heard,M-URAM,3128,sample,1,HA,N,L,3134,C,4,F,DNA
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s003,s003,SAMPLE STATION,"Road Access; in tree patch in cutblock at 9 km on Amber FSR (off West Main, south of Mesilinka River, turn left off Amber Main)",HR-BA-BS,369406,6245881,10,,13,0000,2005-09-26,Doug  Heard,NULL,,,0,,,,,,,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s003,s003,SAMPLE STATION,"Road Access; in tree patch in cutblock at 9 km on Amber FSR (off West Main, south of Mesilinka River, turn left off Amber Main)",HR-BA-BS,369406,6245881,10,,21,0000,2005-10-17,Doug  Heard,NULL,,,0,,,,,,,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s004,s004,SAMPLE STATION,"Road Access; Headache 6 km, left uphill into cutblock 200 m, just beyond 3 big aspens, right side of road, 10 m from road, just before busted clulvert",HR-BA-BS,375384,6250623,10,,13,0000,2005-09-26,Doug  Heard,NULL,,,0,,,,,,,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s004,s004,SAMPLE STATION,"Road Access; Headache 6 km, left uphill into cutblock 200 m, just beyond 3 big aspens, right side of road, 10 m from road, just before busted clulvert",HR-BA-BS,375384,6250623,10,,21,0000,2005-10-17,Doug  Heard,NULL,,,0,,,,,,,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s005,s005,SAMPLE STATION,"Road Access; West Main 42.5 km (very end), at the river go upstream 60 m to where the gravel bar ends, site adjacent to river in spruce",HR-BA-BS,377672,6256713,10,,13,0000,2005-09-26,Doug  Heard,NULL,,,0,,,,,,,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s005,s005,SAMPLE STATION,"Road Access; West Main 42.5 km (very end), at the river go upstream 60 m to where the gravel bar ends, site adjacent to river in spruce",HR-BA-BS,377672,6256713,10,,21,0000,2005-10-17,Doug  Heard,NULL,,,0,,,,,,,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s006,s006,SAMPLE STATION,"Road Access; 19.1 km on the West Main, walk 150 m to river site on right at water",HR-BA-BS,391509,6240871,10,,13,0000,2005-09-26,Doug  Heard,NULL,,,0,,,,,,,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s006,s006,SAMPLE STATION,"Road Access; 19.1 km on the West Main, walk 150 m to river site on right at water",HR-BA-BS,391509,6240871,10,,21,0000,2005-10-17,Doug  Heard,NULL,,,0,,,,,,,,
