SURVEY_NAME,Study Area Name,StudyAreaVisitStartDateTime,StudyAreaVisitNote,DC Area (sq m),Design Component Label,Site Design Component Label,DC Type,Grid Cell,DC Comments,Trap Type,Easting DC,Northing DC,UTM Zone DC,DC Visit Comments,Nights Trapped,Time,Date,Surveyor,Species,Animal ID,Comments,Count,Sample Material,Sample Is Incidental,Sample Micro-location,Sample Label,Sample Group Label,Barb Number,Sex,Species ID Method
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-01,2004 Session 1,,1,1,SAMPLE STATION,1,,HR-BA-BS,679536,6359848,8,,13,0000,2004-08-08,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,147,K,1,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-01,2004 Session 1,,1,1,SAMPLE STATION,1,,HR-BA-BS,679536,6359848,8,,13,0000,2004-08-08,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,148,L,1,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-01,2004 Session 1,,1,1,SAMPLE STATION,1,,HR-BA-BS,679536,6359848,8,,13,0000,2004-08-08,Not  Available,M-URAM,,Xblack,1,HA,N,W,149,L,2,,DNA
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-01,2004 Session 1,,1,1,SAMPLE STATION,1,,HR-BA-BS,679536,6359848,8,,13,0000,2004-08-08,Not  Available,M-URAM,,Xblack,1,HA,N,W,150,M,2,,DNA
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-01,2004 Session 1,,1,1,SAMPLE STATION,1,,HR-BA-BS,679536,6359848,8,,13,0000,2004-08-08,Not  Available,M-URAM,,Xblack,1,HA,N,W,151,M,4,,DNA
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-01,2004 Session 1,,1,1,SAMPLE STATION,1,,HR-BA-BS,679536,6359848,8,,13,0000,2004-08-08,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,2333,M,1,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,1,1,SAMPLE STATION,1,,HR-BA-BS,679536,6359848,8,,13,0000,2004-08-21,Not  Available,NULL,,,0,,,,,,,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-29,2004 Session 3,,1,1,SAMPLE STATION,1,,HR-BA-BS,679536,6359848,8,,15,0000,2004-09-05,Not  Available,M-URAM,,Xblack,1,HA,N,W,1171,A,1,,DNA
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-29,2004 Session 3,,1,1,SAMPLE STATION,1,,HR-BA-BS,679536,6359848,8,,15,0000,2004-09-05,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,1172,A,2,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-29,2004 Session 3,,1,1,SAMPLE STATION,1,,HR-BA-BS,679536,6359848,8,,15,0000,2004-09-05,Not  Available,M-URAM,,Xblack,1,HA,N,W,1173,A,3,,DNA
