SURVEY_NAME,Study Area Name,StudyAreaVisitStartDateTime,StudyAreaVisitNote,DC Area (sq m),Design Component Label,Site Design Component Label,DC Type,Grid Cell,Latitude DC (DD),Longitude DC (DD),DC Comments,Trap Type,Easting DC,Northing DC,UTM Zone DC,DC Visit Comments,Nights Trapped,Time,Date,Surveyor,Species,Animal ID,Comments,Count,Sample Material,Sample Label,Sex,Species ID Method
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1997-08-27,Nass 1997 - Session 1,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,15,0,1997-09-08,Not  Available,NULL,,,0,,,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1997-09-16,Nass 1997 - Session 2,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,14,0,1997-09-22,Not  Available,MAMMALIA,,Field comment: possible bear,1,HA,136,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1997-09-16,Nass 1997 - Session 2,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,14,0,1997-09-22,Not  Available,MAMMALIA,,Field comment: possible bear,1,HA,135,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1997-09-30,Nass 1997 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,14,0,1997-10-06,Not  Available,NULL,,,0,,,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-08-10,Nass 1998 - Session 1,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,14,0,1998-08-11,Not  Available,NULL,,,0,,,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-08-23,Nass 1998 - Session 2,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,13,0,1998-08-24,Not  Available,MAMMALIA,,,1,HA,911,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-08-23,Nass 1998 - Session 2,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,13,0,1998-08-24,Not  Available,MAMMALIA,,,1,HA,914,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-08-23,Nass 1998 - Session 2,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,13,0,1998-08-24,Not  Available,MAMMALIA,,,1,HA,912,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-08-23,Nass 1998 - Session 2,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,13,0,1998-08-24,Not  Available,MAMMALIA,,,1,HA,957,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-08-23,Nass 1998 - Session 2,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,13,0,1998-08-24,Not  Available,MAMMALIA,,,1,HA,910,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-08-23,Nass 1998 - Session 2,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,13,0,1998-08-24,Not  Available,MAMMALIA,,,1,HA,909,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-08-23,Nass 1998 - Session 2,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,13,0,1998-08-24,Not  Available,MAMMALIA,,,1,HA,908,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-08-23,Nass 1998 - Session 2,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,13,0,1998-08-24,Not  Available,MAMMALIA,,,1,HA,907,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-08-23,Nass 1998 - Session 2,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,13,0,1998-08-24,Not  Available,MAMMALIA,,,1,HA,906,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-08-23,Nass 1998 - Session 2,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,13,0,1998-08-24,Not  Available,MAMMALIA,,,1,HA,905,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-08-23,Nass 1998 - Session 2,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,13,0,1998-08-24,Not  Available,MAMMALIA,,,1,HA,904,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-08-23,Nass 1998 - Session 2,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,13,0,1998-08-24,Not  Available,MAMMALIA,,,1,HA,903,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-08-23,Nass 1998 - Session 2,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,13,0,1998-08-24,Not  Available,MAMMALIA,,,1,HA,913,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1408,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1412,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1411,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1410,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1409,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1407,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1406,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1405,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1404,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1413,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1402,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1420,,
