SURVEY_NAME,Study Area Name,StudyAreaVisitStartDateTime,StudyAreaVisitNote,DC Area (sq m),Design Component Label,Site Design Component Label,DC Type,Grid Cell,Latitude DC (DD),Longitude DC (DD),DC Comments,Trap Type,Easting DC,Northing DC,UTM Zone DC,Watershed Code,DC Visit Comments,Nights Trapped,Time,Date,Surveyor,Species,Spatial Accuracy (m),Animal ID,Comments,Count,Sample Material,Sample Is Incidental,Sample Micro-location,Sample Label,Sample Group Label,Barb Number,Sex,Species ID Method
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-06-22,Session 2,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,10,0000,1997-06-23,Lana  Ciarniello,MAMMALIA,0,,only 1 barb between 1379 and 698,1,HA,N,W,698,A,1,,
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-06-22,Session 2,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,10,0000,1997-06-23,Lana  Ciarniello,MAMMALIA,0,,only 1 barb between 1379 and 698,1,HA,N,W,1379,B,1,,
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-06-22,Session 2,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,10,0000,1997-06-23,Lana  Ciarniello,NULL,0,,sample envelope empty,0,HA,N,W,1380,C,1,,
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-06-22,Session 2,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,10,0000,1997-06-23,Lana  Ciarniello,MAMMALIA,0,,,1,HA,N,W,1381,D,1,,
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-06-22,Session 2,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,10,0000,1997-06-23,Lana  Ciarniello,M-URAM,0,,,1,HA,N,W,1383,E,1,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-06-22,Session 2,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,10,0000,1997-06-23,Lana  Ciarniello,M-URAM,0,,,1,HA,N,W,1382,E,2,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-06-22,Session 2,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,10,0000,1997-06-23,Lana  Ciarniello,MAMMALIA,0,,,1,HA,N,W,1384,F,1,,
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-02,Session 3,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,10,0000,1997-07-03,Lana  Ciarniello,M-URAM,0,,,1,HA,N,W,2459,A,1,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-02,Session 3,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,10,0000,1997-07-03,Lana  Ciarniello,M-URAM,0,,,1,HA,N,W,2460,B,1,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-02,Session 3,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,10,0000,1997-07-03,Lana  Ciarniello,MAMMALIA,0,,,1,HA,N,W,2461,C,1,,
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-02,Session 3,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,10,0000,1997-07-03,Lana  Ciarniello,M-URAR,0,,,1,HA,N,W,2462,D,1,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-02,Session 3,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,10,0000,1997-07-03,Lana  Ciarniello,MAMMALIA,0,,,1,HA,N,W,2463,D,2,,
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-02,Session 3,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,10,0000,1997-07-03,Lana  Ciarniello,M-URAM,0,,,1,HA,N,W,2464,D,3,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-12,Session 4,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,9,0000,1997-07-12,Stefan  Himmer,M-URAR,0,,grey-brown,1,HA,N,W,1818,A,1,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-12,Session 4,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,9,0000,1997-07-12,Stefan  Himmer,M-URAR,0,429,possibly the same bear as A1; 2 barbs separating,1,HA,N,W,1819,B,1,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-12,Session 4,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,9,0000,1997-07-12,Stefan  Himmer,M-URAR,0,,grey-brown,1,HA,N,W,1820,C,1,,VI
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-12,Session 4,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,9,0000,1997-07-12,Stefan  Himmer,M-URAR,0,,grey-brown; Psib > 0.05 so no individual assignment,1,HA,N,W,1821,C,2,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,,reddish-blonde,1,HA,N,W,2004,A,1,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,,blonde-white,1,HA,N,W,2005,A,2,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,2015,blonde-white,1,HA,N,W,2006,A,3,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,,reddish-blonde,1,HA,N,W,2007,A,4,,VI
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,2008,white-blonde; underfur,1,HA,N,W,2008,A,5,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,2008,reddish-blonde,1,HA,N,W,2009,A,6,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,MAMMALIA,0,,long,1,HA,N,W,2010,A,7,,
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,,reddish-blonde,1,HA,N,W,2011,A,8,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,,reddish-blonde,1,HA,N,W,2012,A,9,,VI
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,,reddish-blonde,1,HA,N,W,2013,A,10,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,,blonde,1,HA,N,W,2014,A,11,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,2015,reddish-blonde,1,HA,N,W,2015,A,12,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,MAMMALIA,0,,blonde-white,1,HA,N,W,2016,A,13,,
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,2015,reddish-white underfur,1,HA,N,W,2017,A,14,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,2015,reddish-white underfur,1,HA,N,W,2018,A,15,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,2008,brown-grey,1,HA,N,W,2019,B,1,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,2015,greyish-white,1,HA,N,W,2020,B,2,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAM,0,,,1,HA,N,W,2021,C,1,,VI
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAM,0,,black guard hair; brown underfur,1,HA,N,W,2022,D,1,,VI
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,,blonde,1,HA,N,W,2023,E,1,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,,white; Psib > 0.05 so no individual assignment,1,HA,N,W,2024,E,2,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,,blonde,1,HA,N,W,2025,E,3,,DNA
