SURVEY_NAME,Study Area Name,StudyAreaVisitStartDateTime,StudyAreaVisitNote,Design Component Label,Site Design Component Label,DC Type,Grid Cell,DC Comments,Trap Type,Easting DC,Northing DC,UTM Zone DC,DC Visit Comments,Nights Trapped,Time,Date,Surveyor,Species,Animal ID,Comments,Count,Sample Material,Sample Is Incidental,Sample Label,Species Guess,Sex,Species ID Method,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-06-29,CS1996 Session 1,1_1,1_1,SAMPLE STATION,1,,HR-BA-BS,443800,5469750,11,,10,0000,1996-06-29,A.  Walker,NULL,,,0,,,,,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-09,CS1996 Session 2,1_2,1_2,SAMPLE STATION,1,,HR-BA-BS,445050,5469750,11,,10,0000,1996-07-09,D.  Fear,M-URAM,,,1,HA,N,922-j,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-09,CS1996 Session 2,1_2,1_2,SAMPLE STATION,1,,HR-BA-BS,445050,5469750,11,,10,0000,1996-07-09,D.  Fear,M-URAM,,,1,HA,N,922-h,Unk,,DNA,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-09,CS1996 Session 2,1_2,1_2,SAMPLE STATION,1,,HR-BA-BS,445050,5469750,11,,10,0000,1996-07-09,D.  Fear,MAMMALIA,,,1,HA,N,922-g,Unk,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-09,CS1996 Session 2,1_2,1_2,SAMPLE STATION,1,,HR-BA-BS,445050,5469750,11,,10,0000,1996-07-09,D.  Fear,M-URAM,,,1,HA,N,922-f,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-09,CS1996 Session 2,1_2,1_2,SAMPLE STATION,1,,HR-BA-BS,445050,5469750,11,,10,0000,1996-07-09,D.  Fear,M-URAM,,,1,HA,N,922-e,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-09,CS1996 Session 2,1_2,1_2,SAMPLE STATION,1,,HR-BA-BS,445050,5469750,11,,10,0000,1996-07-09,D.  Fear,M-URAM,,,1,HA,N,922-d,Unk,,DNA,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-09,CS1996 Session 2,1_2,1_2,SAMPLE STATION,1,,HR-BA-BS,445050,5469750,11,,10,0000,1996-07-09,D.  Fear,M-URAM,,,1,HA,N,922-c,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-09,CS1996 Session 2,1_2,1_2,SAMPLE STATION,1,,HR-BA-BS,445050,5469750,11,,10,0000,1996-07-09,D.  Fear,M-URAM,,,1,HA,N,922-b,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-09,CS1996 Session 2,1_2,1_2,SAMPLE STATION,1,,HR-BA-BS,445050,5469750,11,,10,0000,1996-07-09,D.  Fear,M-URAM,,,1,HA,N,922-a,M-URAM,,VI,
